macallan	Macallan	distillery	GB-SCT	speyside	speyside	Edrington	single malt	none			unverified	high	https://en.wikipedia.org/wiki/The_Macallan_distillery https://uk.edrington.com/en/our-brands/scotch-whisky/the-macallan	Standard range unpeated; rare peated casks exist in limited editions (e.g. Rare Cask Black) but are not the house style
jameson	Jameson	blend	IE			Pernod Ricard	blend	none			unverified	high	https://en.wikipedia.org/wiki/Jameson_Irish_Whiskey https://en.wikipedia.org/wiki/New_Midleton_Distillery	Blended pot still + grain whiskey made at Midleton (Irish Distillers); malted barley is explicitly unpeated. Not parentSlug'd to a distillery row - treated as its own flagship line, same convention the brief uses for Johnnie Walker
lagavulin	Lagavulin	distillery	GB-SCT	islay	islay	Diageo	single malt	heavy			unverified	high	https://islaywhiskyacademy.scot/lagavulin-distillery/ https://thewhiskeywash.com/scotch-whiskey/the-ultimate-guide-to-the-lagavulin-16-year-old/	Peated to ~35 ppm phenol, Port Ellen maltings
bowmore	Bowmore	distillery	GB-SCT	islay	islay	Beam Suntory	single malt	medium			unverified	high	https://en.wikipedia.org/wiki/Bowmore_distillery https://www.whiskytorbati.it/en/bowmore-distillery-guide/	Peated to ~25-30 ppm phenol, mid-range on Islay
amrut	Amrut	distillery	IN			Amrut Distilleries	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Amrut_(whisky)	Standard single malt is unpeated. See rule.tsv for Peated (medium, ~23-24ppm) and Fusion (light, 25% peated Scottish malt); Kadhambam/Portonova/Raj Igala are cask-finish variants of the standard unpeated malt, no rule needed
kilchoman	Kilchoman	distillery	GB-SCT	islay	islay		single malt	heavy			unverified	high	https://www.kilchomandistillery.com/our-farm-distillery/ https://scotchwhisky.com/whiskypedia/1870/kilchoman/	Independent farm distillery, heavily peated floor-malted barley from Islay peat bogs
rebel	Rebel	blend	US			MGP Ingredients	bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Rebel_(bourbon) https://luxrowdistillers.com/rebel-bourbon/	Renamed from "Rebel Yell" in 2020 (catalogue lists both names, both aliased here to one row); distilled at Lux Row Distillers, Bardstown KY. No source explicitly states unpeated - inferred from standard bourbon mashbill with no peated-malt mention
black-velvet	Black Velvet	distillery	CA			Heaven Hill		none			unverified	low	https://en.wikipedia.org/wiki/Black_Velvet_(whisky) https://globalnews.ca/news/6110640/black-velvet-canadian-whisky-lethbridge-new-ownership-november/	Canadian blended whisky, own distillery in Lethbridge AB; owned by Heaven Hill since 2019 (previously Constellation Brands). No explicit peat statement found; Canadian whisky has no peat tradition. defaultTypeName left empty - Canadian whisky has no clean match in the closed type list
the-pogues	The Pogues	blend	IE			West Cork Distillers	blend	none			unverified	low	https://www.htfw.com/west-cork-distillers-the-pogues-irish-whiskey-13380 https://www.masterofmalt.com/whiskies/west-cork-distillers/the-pogues-whiskey/	Blend of 50% single malt / 50% single grain, produced by West Cork Distillers. No explicit peat statement; inferred unpeated from Irish tradition and absence of smoke in tasting notes
sierra-norte	Sierra Norte	distillery	MX					none			unverified	low	https://mexiconewsdaily.com/food/oaxacan-whiskey-blends-mexican-culture-with-international-tradition/ https://www.sierranortewhiskey.com/	Oaxacan corn whiskey (85% corn / 15% malted barley), own distillery near Oaxaca city. No peat/smoke mentioned anywhere; defaultTypeName left empty - corn whiskey has no clean match in the closed type list
fercullen	Fercullen	distillery	IE			Powerscourt Distillery		none			unverified	low	https://powerscourtdistillery.com/fercullen/ https://www.whisky.com/whisky/news/newsdetail/article/fercullen-irish-whiskey-from-the-powerscourt-distillery.html	Made at Powerscourt Distillery, Co. Wicklow; range is 75% malt whiskey / 25% Irish pot still so defaultTypeName left empty. No explicit peat statement; inferred unpeated from Irish tradition
port-charlotte	Port Charlotte	brand	GB-SCT	islay	islay	Rémy Cointreau	single malt	heavy	bruichladdich		unverified	high	https://www.remy-cointreau.com/en/brands/bruichladdich-port-charlotte-octomore/ https://roadtodram.com/port-charlotte-10-year-old-review-islay-peat-done-differently/	Bruichladdich's heavily peated brand, ~40ppm
bruichladdich	Bruichladdich	distillery	GB-SCT	islay	islay	Rémy Cointreau	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Bruichladdich_distillery https://www.remy-cointreau.com/en/brands/bruichladdich-port-charlotte-octomore/	Added because Port Charlotte (this batch) references it via parentSlug. Core Bruichladdich-branded range is unpeated; siblings Port Charlotte (heavy) and Octomore (extreme, not in this batch) are separate producer rows
chichibu	Chichibu	distillery	JP			Venture Whisky Ltd	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Chichibu_distillery https://88bamboo.co/blogs/brand-spotlights/the-story-of-how-the-little-chichibu-distillery-came-to-be-the-most-sought-after-japanese-whisky-in-the-world-part-2	Runs both peated (~45ppm, about a quarter of the year) and unpeated (~three quarters) malt, and often vats both together in one release; no reliable per-bottling signal from names alone ("On The Way", "Paris Edition", "Red Wine Cask"), so left unknown rather than guessed
kyro	Kyro	distillery	FI			Kyrö Distillery Company	rye	none			unverified	high	https://kyrodistillery.com/products/kyro-peat-smoke-whisky-700ml https://kyrodistillery.com/products/kyro-wood-smoke-whisky-700ml	Base "Malt Rye" (100% Finnish rye malt) is unpeated; sold as a distinct product line from the "Peat Smoke" and "Wood Smoke" variants, see rule.tsv
clan-macgregor	Clan MacGregor	blend	GB-SCT				blend	none			unverified	low	https://www.totalwine.com/spirits/scotch/blended-scotch/clan-macgregor-blended-scotch-whisky/p/2736750	Blend of 15 malt and grain whiskies; no explicit peat statement, inferred unpeated from "delicate sweet, smooth mellow" tasting description with no smoke mentioned. Owner commonly associated with Whyte & Mackay in trade chatter but not confirmed via a source actually opened, left empty
kurayoshi	Kurayoshi	blend	JP			Matsui Shuzo	malt	unknown			unverified	low	https://matsuiwhisky.com/en/item/kurayoshi/ https://impexbev.com/kurayoshi/	"The Kurayoshi" pure/vatted malt, blended from malt whiskies sourced from various Scottish distilleries plus Japanese malt; no peat information found for the sourced components, left unknown
restless-pony	Restless Pony	blend	US					unknown			unverified	unknown		Could not find a reliable source for this exact brand (searches surfaced an unrelated "Restless Spirits" company); kind/country are guesses from naming convention only
wilton-house	Wilton House	blend	GB-SCT			La Martiniquaise		unknown			unverified	low	https://www.spiritradar.com/whisky-db/wilton-house-speyside-single-malt-scotch-whisky-peated-cmi-94227-charenton-france-40-percent-700ml/ https://caskcartel.com/products/wilton-house-10-year-old-highland-single-malt-scotch-whisky-700ml	Private-label range (bottled by First Blending Co / SVS La Martiniquaise) spanning at least Speyside and Highland single malt bottlings under one name; base/default peat level unclear so left unknown - see rule.tsv for the explicit "Peated" bottling
eiregold	Eiregold	blend	IE			Hyde Irish Whiskey / Hibernia Distillers	blend	none			unverified	low	https://www.masterofmalt.com/whiskies/eiregold/eiregold-irish-whiskey/ https://www.irishmalts.com/blended/eiregold/	Blend of 80% single grain / 20% single malt, Co. Cork. No explicit peat statement; inferred unpeated from Irish tradition and tasting notes (honey, vanilla, toasted oak) with no smoke mentioned
james-king	James King	blend					blend	unknown			unverified	unknown		No web presence found; own-label, product name itself says "Blend"
old-virginia	Old Virginia	blend	US			La Martiniquaise	bourbon	none			unverified	low	https://bottleofitaly.com/en/products/bourbon-6-years-70cl-old-virginia https://caskcartel.com/products/old-virginia-original-kentucky-straight-bourbon-whiskey-700ml	Kentucky Straight Bourbon, La Martiniquaise portfolio (sourced, not own distillery). No explicit peat statement; inferred unpeated - standard bourbon mashbill, no peated malt mentioned
gladstone-axe	The Gladstone Axe	blend	GB-SCT			Biggar and Leith	malt	light			unverified	high	https://www.drinkhacker.com/2022/07/31/review-the-gladstone-axe-blended-scotch-american-oak-and-black-axe/ https://www.totalwine.com/spirits/scotch/blended-scotch/the-gladstone-axe-blended-malt-scotch-american-oak/p/242206750	Blended malt from 14 Highland and Islay whiskies; American Oak expression explicitly described as having "a touch of peat" / "hints of smoke" - a trace, not a peated whisky
auchroisk	Auchroisk	distillery	GB-SCT	speyside	speyside	Diageo	single malt	none			unverified	high	https://scotchwhisky.com/whiskypedia/1813/auchroisk/	"The whisky is unpeated ... malted barley used is entirely unpeated" (direct quote). Built for the J&B blend; own-name bottlings are the Flora & Fauna 10 Year Old
catoctin-creek	Catoctin Creek	distillery	US				rye	unknown			unverified	unknown		No search performed (small craft producer, 2 products); known from general knowledge as a Virginia craft rye distillery (Roundstone Rye), but no citation opened so peat left unknown rather than asserted
glen-parker	Glen Parker	blend	GB-SCT					unknown			unverified	unknown		No web presence found; own-label, "Glen" naming convention suggests Scotch but unconfirmed
jim-bardett	Jim Bardett	blend						unknown			unverified	unknown		No web presence found; own-label, origin unclear
mackmyra	Mackmyra	distillery	SE				single malt	none			unverified	low	https://www.masterofmalt.com/whiskies/mackmyra/mackmyra-svensk-rok-swedish-smoke-whisky/ https://whiskyanalysis.com/index.php/2018/12/16/mackmyra-svensk-rok/	Svensk Rök ("Swedish Smoke", ~70% peated malt) is explicitly Mackmyra's first/only dedicated smoky release, implying the core range (incl. this batch's Björksav and Moment Tolv) is unpeated; no direct statement for those two specific bottlings, confidence kept low. See rule.tsv for Svensk Rök, added defensively though not itself in this batch's samples
