river-queen	River Queen	blend	GB-SCT				blend	none			unverified	high	https://slaur.com/en/produit/river-queen-blended-scotch-whisky/ https://blindtaste.eu/product/river-queen-blended-scotch-whisky/	Confirmed genuine Blended Scotch Whisky (legally must be Scotland-made) via two retailer/export pages opened this session; sold through multiple unrelated négociants (SLAUR SARDET/France among others, also seen via Uruguay/Maldives retailers) with no single identifiable trademark owner, so owner left blank. No smoky or Islay branding found anywhere; peat corrected from unknown to none as an ordinary blend, country corrected from XX to GB-SCT.
robert-burns	Robert Burns	blend	GB-SCT			Isle of Arran Distillers	blend	light	arran		unverified	high	https://www.arranwhisky.com/shop-whiskies/arran-blended-whiskies/11-the-robert-burns-blend	Peat corrected from none to light: Arran's own site states the Robert Burns Blend carries "a subtle hint of peat smoke" alongside Arran single malt at its heart. Officially endorsed by the Robert Burns World Federation since 1998 (the only distillery permitted to use his name/signature). Arran also sells a separate Robert Burns single malt (unpeated) -- if the catalogue actually scrapes that product rather than the blend, peat should revert to none; flagged for reviewer to confirm which one this row represents. Added parentSlug=arran.
royal-canadian	Royal Canadian	blend	CA			Sazerac Company	blend	none			unverified	high	https://cluboenologique.com/product/royal-canadian-small-batch-canadian-whisky-2/	Confirmed as a genuine Sazerac Company Canadian whisky brand, barrels selected by Sazerac's own master blender; country Canada per the product's own listing. No peat/smoke mentioned; Canadian whisky is essentially never peated, category default retained but now backed by a real, confirmed brand.
saint-bernard	Saint Bernard	blend	XX				blend	unknown			unverified	low		Real product confirmed to exist via multiple Ukrainian retail listings (rozetka.com.ua, winestore.com.ua, magtorg.org.ua, gradus.market) describing an aged blended/grain whisky, apparently part of a "St Bernard dog"-themed own-label family alongside the similarly branded "Barry Bernard" (also Ukraine-market, per packagingoftheworld.com) and "Glant Bernard" seen in the same search results. Every specific product page attempted this session errored (500/404/403) or returned no usable detail, so producer, precise country and peat remain unconfirmed -- kept low.
sakurao	Sakurao	distillery	JP			Sakurao Brewery and Distillery Co., Ltd		unknown			unverified	high	https://www.sakuraobd.co.jp/en/blended/ https://www.sakuraobd.co.jp/en/singlemalt/	Confirmed via the distillery's own official site (Hatsukaichi, Hiroshima Prefecture; distilling since Oct. 2018). Range spans a "Sakurao" single malt, "Togouchi" blended whisky and gin, so defaultTypeName left empty. The single malt's finish is described on the official site as "smoky, barrel fragrance," attributed to cask character rather than a peating statement. Withheld peat proposal: light, per third-party reviews (wordsofwhisky.com, uisuki.com, jpwhisky.net) calling the single malt lightly peated -- no producer-domain statement of peated malt found this session, so kept unknown per the strict rule.
scots-earl	Scots Earl	blend	GB-SCT			Loch Lomond Group	blend	none			unverified	high	https://scotchwhisky.com/whiskypedia/2513/scots-earl/	Confirmed via scotchwhisky.com as a genuine, now-discontinued private-label blend made at Loch Lomond distillery and bottled at Glen Catrine during Sandy Bulloch's tenure, for the Italian market. No peat/smoke stated; treated as an ordinary own-label blend per the documented-unpeated allowance.
scottish-glory	Scottish Glory	blend	GB-SCT			Duncan Taylor Scotch Whisky	blend	none			unverified	high	https://scotchwhisky.com/whiskypedia/2230/duncan-taylor-scotch-whisky/	Confirmed as a genuine Duncan Taylor (independent bottler, Huntly, Aberdeenshire) blended Scotch brand, listed directly on scotchwhisky.com's Duncan Taylor company page. Three-year-old value blend; no peat/smoke character described, ordinary-blend default applied.
scottish-hunter	Scottish Hunter	blend	GB-SCT				blend	none			unverified	high	https://irecommend.ru/content/vypei-viski-scottish-hunter-oak-aged-pochuvstvui-sebya-aristokratom	Confirmed via a consumer review as a genuine blended Scotch whisky (grain + malt spirits, minimum 3 years, 40% ABV) with a Speyside-themed brand story, marketed mainly to the Russian market. Single-source evidence only (a review blog, not a trade reference) -- no specific bottling company identified. No peat/smoke mentioned; ordinary-blend default applied.
shefford-manor	Shefford Manor	blend	CA				rye	none			unverified	high	https://westmeathwhiskeyworld.wordpress.com/2020/07/08/shefford-manor-canadian-rye-40/	Corrected countryCode from GB-ENG to CA. It is a "100% Canadian Rye Whisky" (3-year-old, 40% ABV) named for a Prohibition-era Quebec lodge/blender who sold liquor to American visitors -- unrelated to the English town of Shefford (Bedfordshire) the seed guessed from the name alone. No distillery/company name found across several retailer listings tried. No peat; Canadian whisky category default applied.
shenks	Shenk's Homestead	brand	US			Michter's Distillery		none	michters		unverified	high	https://michters.com/shenks-homestead/	Confirmed via Michter's own official site. Part of Michter's annual Legacy Series (since 2018), honoring the 1753 Shenk's distillery that eventually became Michter's; a Kentucky sour mash whiskey (91.2 proof, distinct from bourbon per the source). defaultTypeName left empty since sour mash is not in the closed list. No peat. parentSlug=michters kept from seed (live).
shin	Shin	blend	JP			Shin Group	blend	unknown			unverified	high	https://shingroupcorp.com/products/the-shin-blended-whisky-mizunara-oak-finish/	Confirmed via the company's own product page: Shinobu Distillery / Shin Group, Niigata Prefecture, Japan. "The Shin Blended Whisky" is 50% malted barley / 50% grain, finished in Mizunara oak. No peat/smoke stated on the official page -- kept unknown rather than none since no explicit unpeated statement was found. Same company/cluster as the "Shinobu"-branded lines referenced in the seed's note.
