barclays	Barclays	blend	GB-SCT			Campbell Meyer & Company Ltd	blend	light			unverified	high	https://campbellmeyer.com/barclays-blended-scotch-whisky/	Confirmed real own-label blended Scotch (not the bank) by Campbell Meyer & Company Ltd, East Kilbride, Scotland -- verified on their own product page, which also states peatProfile=light ("a trace of peat smoke, suggesting some Islay malt has been used", "hint of smoke in the finish"), satisfying producer-domain corroboration for the positive peat claim.
barts	Bart's	blend	IE			Lough Ree Distillery	blend	unknown	lough-ree		unverified	high	https://www.whiskymag.com/tastings/barts-blended-irish-whiskey/	Corrected: real blended Irish whiskey, core release of Lough Ree Distillery (Lanesborough, Co. Longford) sold ahead of their own single malt maturing -- new row lough-ree added, parentSlug set. A search summary described the blend as including "peated malt" among grain/pot-still components, but Whisky Magazine's tasting notes (opened this session) show no smoky/peaty character at all, so peatProfile kept unknown rather than asserted; withheld peat proposal: possibly light if the peated-malt component is confirmed material, per an unopened secondary source.
bastille	Bastille	brand	FR					unknown	maison-daucourt		unverified	high	https://bastillewhisky.com/en/ https://daucourt.com/en	Corrected kind to brand (spans single malt and blended releases, not one blend recipe). Confirmed via the producer's own domain: made by Maison Daucourt, a French spirits house ("four generations of Charente expertise"), founded by Edouard Daucourt in 2010, produced entirely in France -- new row maison-daucourt added (also makes D.U.C, see d-u-c row), parentSlug set. No peat/smoke mentioned. The seed's note that "Daucourt" was "only a French surname, not a spirits company" was wrong -- Maison Daucourt is exactly the company behind this brand.
beara	Beara	distillery	IE					unknown			unverified	high	https://www.thebearadistillery.ie/beara-distillery-whiskey/beara-black-cask-blend-irish-whiskey/	Corrected kind from blend to distillery: Beara Distillery Ltd, Castletownbere Commercial Park, Co. Cork, Ireland. Makes single malt, single grain AND the Black Cask Blend (matches both catalogue samples exactly), so defaultTypeName left empty (multi-type range). No peat/smoke mentioned in the official description (toasted oak, malt, fruit, spice notes only).
beauchamp	Beauchamp	distillery	FR			Les Bienheureux		unknown			unverified	high	https://www.whisky.fr/en/beauchamp-triple-grain.html	Corrected: countryCode filled FR (was empty) and kind confirmed distillery -- produced by Les Bienheureux SAS, St Andre de Cubzac, France, who distil in Charentais pot stills and column stills ("reindustrializing French whiskey production"). Also makes a "Pur Malt" (single malt) expression besides Triple Grain, so defaultTypeName left empty rather than "grain". A secondary source (not opened this session) described Triple Grain as "not peated", but the whisky.fr product page itself (opened) makes no peat/smoke statement, so peatProfile kept unknown rather than asserted as none.
bell-rock	Bell Rock	brand	US			Global Spirits		unknown			unverified	high	https://globalspirits.com/usa/brand/bell-rock https://globalspirits.com/usa	Corrected kind to brand: Bell Rock American Whiskey is one of several brands (also Cumberland Falls Bourbon, plus vodka/gin/rum/tequila) owned by Global Spirits, a large European alcohol holding (Khortytsa Distillery, Odessa Cognac Factory); the liquid itself is made at a family-owned distillery in Florida. Four flavored/plain expressions (American Whiskey, Apple & Honey, Butterscotch Bourbon, Cinnamon), so defaultTypeName left empty. No peat/smoke mentioned.
boone-county	Boone County	distillery	US					none			unverified	high	https://boonedistilling.com https://en.wikipedia.org/wiki/Bourbon_whiskey	Confirmed: Boone County Distilling Co., Independence, Boone County, Kentucky ("Born in 1833 - Reborn in 2015") -- verified via the distillery's own site (previously only assumed from general knowledge). Its homepage describes itself as making Kentucky bourbon; a third-party site additionally claims a rye line, so defaultTypeName is left empty rather than asserting bourbon uniformly. peatProfile=none rests on the well-established bourbon-category fact (no peat-smoking step in bourbon production), confirmed by re-reading the Wikipedia bourbon article this session, not on a brand-specific statement.
brenne	Brenne	distillery	FR			Local Infusions LLC (Samson & Surrey)	single malt	unknown			unverified	high	https://www.brennewhisky.com/	Re-verified this session (was already high-quality in the seed): 100% organic, seed-to-spirit French single malt distilled in Cognac, founded by Allison Parc, now owned by Local Infusions LLC (a Samson & Surrey company). No peat/smoke mentioned; confidence raised from low to high since the identity/facts are directly confirmed on the producer's own domain.
bud-spencer	Bud Spencer	brand	DE					none	st-kilian		unverified	high	https://www.stkiliandistillers.com https://www.aquavitae.shop/en/st-kilian-bud-spencer-the-legend-mild-blended-malt-whisky-germania	Corrected: real German whisky, a licensed collaboration with actor Bud Spencer, produced by St. Kilian Distillers, Ruedenau, Germany -- new row st-kilian added, parentSlug set, countryCode corrected to DE (was XX). This batch's un-suffixed samples ("The Legend", "The Legend Mini") match St Kilian's "Legend Mild Blended Malt" expression, explicitly described by a retailer as harmonizing "the non-peated blend of grains" -- peatProfile=none. St Kilian separately also sells a smoky "Legend Rauchig Single Malt" and a stand-alone "St. Kilian PEATED" bottling; flagging for reviewer in case the 0.05L "Mini" ever turns out to be a mini of the Rauchig line rather than of the Mild one. defaultTypeName left empty since the brand's range spans both "blended malt" (Mild) and "single malt" (Rauchig) labels.
burnside	Burnside	blend	GB-SCT	speyside	speyside		malt	none	balvenie		unverified	high	https://maltfascination.com/category/burnside https://en.wikipedia.org/wiki/Balvenie_distillery	Corrected bottlerSlug: removed (was cadenhead) -- maltfascination.com (opened) confirms "Burnside" is a shared teaspoon pseudonym for Balvenie (with a touch of Glenfiddich) used by AT LEAST five different independent bottlers (Cadenhead's, Whisky Center, Archives, Berry Bros & Rudd, C. Dully Selection), not Cadenhead exclusively -- this batch's own second sample ("Scyfion Burnside 1999") independently confirms a sixth bottler, Scyfion, also uses it. parentSlug=balvenie kept (solidly confirmed). Corrected kind to blend and defaultTypeName from "single malt" to "malt": teaspooning legally requires the "blended malt" declaration, it is never sold as single malt. peatProfile=none reflects Balvenie's famously unpeated standard range; flag for reviewer: Balvenie has released occasional official "Peated Cask"/"Triple Cask...Peated" special editions per Wikipedia, so this is a house-style default rather than a guarantee no Burnside cask ever drew on peated stock -- no evidence found that any did.
caisteal-chamuis	Caisteal Chamuis	brand	GB-SCT	islands	highland	Mossburn Distillers	malt	heavy	torabhaig		unverified	high	https://torabhaig.com/collections/caisteal-chamuis https://torabhaig.com/collections/caisteal-chamuis/products/caisteal-chamuis-blended-malt-scotch-whisky	Major correction: this is a PEATED blended malt range, produced by Torabhaig Distillery (Skye) itself, owned by Mossburn Distillers -- confirmed directly on torabhaig.com, whose collection page describes the whole range as peated and smoky with a rugged Hebridean character, and whose entry-level bottling page states "heavy Island peat notes". parentSlug=torabhaig added (Torabhaig is already a live KB row) alongside owner=Mossburn Distillers. region=islands/legalRegion=highland per the market-vs-legal Skye pattern (same as Talisker/Highland Park/Tobermory/Jura/Arran). defaultTypeName=malt (all three listed expressions -- standard, 12yo, 15yo -- are "Blended Malt Scotch Whisky"). A further-elevated "12 Year Old Heavily Peated Oloroso Finish" line extension also exists; if the catalogue ever carries it as a distinctly named product it should get its own row rather than share this one.
canmore	Canmore	brand	GB-SCT				single malt	unknown		charles-edge	unverified	high	https://charlesedge.com/blogs/journal/canmore-the-warrior-spirit	Corrected: this is an independently-bottled single malt Scotch brand (NAS, 12 Year Old, and limited single-cask releases from named distilleries such as Ardmore and Bunnahabhain) from Charles Edge London, an independent bottler -- new row charles-edge added (kind=bottler), bottlerSlug set. The name does reference the historic King Malcolm III "Canmore" line as the seed guessed. defaultTypeName=single malt (every known expression is single malt). peatProfile kept unknown: single-cask sources vary (e.g. Ardmore is lightly peated Highland, Bunnahabhain's core range is unpeated), so no uniform level can be asserted for the brand.
catoctin-creek	Catoctin Creek	distillery	US				rye	unknown			unverified	high	https://catoctincreekdistilling.com	Confirmed via the distillery's own site (was previously unresearched, working from general knowledge only): Catoctin Creek Distilling Company, Purcellville, Loudoun County, Virginia, founded 2009, "The Virginia Rye Whisky", Roundstone Rye flagship -- matches both catalogue samples. defaultTypeName=rye confirmed (their whisky range, as opposed to gin/brandy, is rye-only). No peat/smoke mentioned on the official site; kept unknown rather than asserting none since American rye whiskey has no blanket no-peat guarantee as strong as bourbon's.
