agitator	rok	word			light	60	https://agitatordistillery.com/en/single-malt-whisky-rok/	Agitator Rok ("smoke" in Swedish) is confirmed smoky/peaty on the producer's own product page, matured in ex-Islay and chestnut casks; independent reviews call it mild/"far from Islay-level" smoke, so recorded light rather than medium.
armorik	roch du	word			light	60	https://armorik.bzh/en/our-peated-single-malt-whisky/	Producer's own page: the lightly peated version, delicate peat notes
armorik	yeun elez	word			heavy	60	https://armorik.bzh/en/our-peated-single-malt-whisky/	Producer's own page: a peated variation of Armorik on 50ppm Scottish peated malt
carpathian	peated	word			medium	60	https://carpathian-singlemalt.com/the-range	Producer's own range page describes a distinct, separately-marketed "medium peated" collection using Belgian malt smoked with Scottish peat (35ppm per press coverage), for "those who love smoked single malt whisky" -- distinct from this batch's Shiraz/Palo Cortado cask-finish samples, which stay none.
clan-denny	islay	word			heavy	60	https://www.douglaslaing.com/en-us/products/clan-denny-islay-single-malt	Islay edition of the Regional Malts range, sourced from Ardbeg/Bowmore/Bruichladdich/Bunnahabhain/Caol Ila and others per retailer listings. Producer's own Islay product page confirms region=Islay but does not itself state a ppm/peat level; multiple independent retailers additionally sell a "Clan Denny Heavily Peated"/"Traditional Islay Blended Malt" SKU consistently reviewed as heavily peated ("smoke bomb"). Baseline row (Highland/Speyside editions) stays none.
floki	sheep dung smoked	word	smoky	require		60	https://whiskyadvocate.com/sheep-dung-smoked-whisky-is-real-and-its-actually-pretty-good/	Confirmed non-peat smoke per Whisky Advocate: dried sheep dung, not peat, is burned to dry the malt for this expression -- a traditional Icelandic smoking method. Distinguishes the Sheep Dung Smoked Reserve from Floki's unsmoked core single malt and Birch Finish.
glen-scanlan	peated	word			light	60	https://glenscanlan.com https://scotchwhisky.com/whiskypedia/4881/glen-scanlan/	Producer's own site lists a "Peated Glen Scanlan Blended Scotch Whisky" among its range; scotchwhisky.com's Whiskypedia describes the peated expression as "light and fruity with sweet vanilla and traces of peat" -- light rather than medium/heavy.
gouden-carolus	peated	word			light	60	https://shop.hetanker.be/products/gouden-carolus-single-malt-peated-70cl	Het Anker also sells "Gouden Carolus Single Malt Peated" (distilled from a specially composed peated-barley mash); their own site calls it a "soft smoky character" (zacht gerookte toets), hence light rather than medium/heavy.
hellyers-road	peated	word			heavy	60	https://www.hellyersroaddistillery.com.au/	Hellyers Road's official site names a "Richly Peated 9 Year Old" expression distinct from the unpeated core range (Hellyers Road, Aurora Australis, Original Roaring 40s -- this batch's samples). Catches any bottling with "peated" in the name so it does not inherit the producer row's peatProfile=none.
high-west	campfire	word			light	60	https://ship.highwest.com/products/campfire	Producer's own shop page: blend of bourbon, rye and peated Scotch with a classic peat smoke accent
noble-rebel	smoke symphony	word			light	60	https://noblerebelmalts.com/products/noble-rebel-whisky-smoke-symphony	Smoke Symphony: producer's own copy describes "hints of smoky peat" nose/palate, in contrast to the range's other unpeated expressions (Orchard Outburst, Hazelnut Harmony). A producer-specific rule is needed since the name contains "smoke" but not "peat".
prologue	peated	word			heavy	60	https://chapter7whisky.com/pages/anthology-our-whisky	Chapter 7's own site (fetched this session) lists multiple "Prologue Peated" editions/batches (Edition 4 2024, World Edition 2/3) distinct from the standard unpeated Prologue vatting. Exact ppm not stated by the producer; "heavy" reflects independent review language ("buckets of peat", "a peated option for peat lovers") describing the same release.
rozelieures	fume	word			light	60	https://whiskyrozelieures.com/fume-collection	Fume Collection: producer's own copy describes "delicate" peat plus heavy ex-sherry cask char. A third-party retailer (vinadomus.fr, not opened as a citation) states 20ppm; kept light per the producer's own softer language.
rozelieures	tourbe	word			light	60	https://whiskyrozelieures.com/tourbe-collection	Tourbe Collection: producer's own copy describes the peat as "discreet, masked by great freshness" (la tourbe est discrete). A producer-specific rule is needed because the pattern is French and would not match an English "peated" keyword rule.
ruotkers	wilhelm	word			medium	60	https://davidgoelles.at/ruotkers-whiskey	Wilhelm III: producer's own copy states peated Scottish barley malt ("Getorftes schottisches Gerstenmalz"). A producer-specific rule is needed since "Wilhelm" is a proper name carrying no peat keyword.
sir-edwards	smoky	word			light	60	https://www.siredwards.com/marque-de-whisky-ecossais-sir-edwards/our-whisky-smoky/	Sir Edward's Smoky is confirmed peated ("Blended Scotch Whisky tourbe") on the producer's own domain; independent reviews describe it as gently/subtly peated rather than heavily, so recorded light.
st-kilian	peated	word			heavy	60	https://global.stkiliandistillers.com/se/products/peated https://global.stkiliandistillers.com/se/collections/core-range	Producer's own site: PEATED expression uses "heavily peated barley malt from the Scottish Highlands with a phenol content of 54 ppm"; Core Range page confirms CLASSIC (mild/fruity, unpeated) vs PEATED (54ppm) as the two core single malts.
togouchi	peated	word			light	60	https://togouchi.com/en/gamme-whisky-togouchi/peated-whisky/	Togouchi Peated is confirmed on the producer's own product page as containing 18% peated malted barley from Speyside - a minority proportion - so recorded light; the base Togouchi range (Kiwami/Premium/9yo) is unpeated per japanhandbook.com.
