Glenmorangie	85	Glenmorangie ; Glenmorangie ; Glenmorangie ; Glenmorangie ; Glenmorangie X ; Glenmorangie X
Loch Lomond	32	Loch Lomond ; Loch Lomond ; Loch Lomond ; Loch Lomond ; Loch Lomond ; Loch Lomond
Talisker	24	Talisker ; Talisker ; Talisker ; Talisker ; Talisker ; Talisker
Isle of Jura	17	Jura ; Jura ; Jura ; Isle of Jura ; Isle of Jura ; Isle of Jura
Artist	13	Ardmore ; Karuizawa Artist #13 1999 ; Artist Caol Ila Artist #10 ; Artist Macallan Artist #14 ; Artist Bowmore Artist #12 2001 ; Artist Linkwood Artist #15 1995
Old Pulteney	11	Old Pulteney ; Old Pulteney ; Old Pulteney ; Old Pulteney ; Old Pulteney ; Old Pulteney Harbor
Spey	10	Spey ; Spey ; Spey ; Spey ; Spey Tenne ; Spey Fumare
Blanton's	8	Blanton's Gold ; Blanton's Original ; Blanton's Gold Edition ; Blanton's Silver Edition ; Blanton's Original Single Barrel ; Blanton's Gold Edition 2023 Release
William Peel	8	William Peel ; William Peel ; William Peel ; William Peel ; William Peel ; William Peel Glen Rogers
Speyburn	7	Speyburn ; Speyburn ; Speyburn Bourbon Cask ; Speyburn Bradan Orach ; Speyburn Bradan Orach ; Speyburn Rum Cask Finish
Fettercairn	6	Fettercairn ; Fettercairn ; Fettercairn ; Fettercairn Koval Cask ; Fettercairn Vintage 1995 ; Fettercairn Koval/Brandy vs Porto Cask
Scots Gold	6	Scots Gold ; Scots Gold ; Red Label Scots Gold ; Scots Gold Red Label ; Black Label Scots Gold ; Scots Gold Black Label
Clynelish	5	Clynelish ; Clynelish ; Clynelish ; Clynelish Vintage 1995 ; Clynelish Special Release 2025
Macduff	5	Macduff ; Macduff Koval ; Macduff Tokay ; Macduff Bastardo ; Macduff - The First Editions
Claymore	4	Claymore ; Claymore ; Claymore White & Mackay ; Claymore White & Mackay
Longmorn	4	Longmorn ; Longmorn ; Longmorn ; Longmorn Vintage 1991
Rossville Union	4	Rossville Union Rye ; Rossville Union Barrel Proof Rye ; Rossville Union Single Barrel Rye ; Rossville Union Bottled in Bond Rye
Achill Island	3	Achill Island Distillers ; Achill Island Distillers Peated ; Achill Island Distillers Single Sherry Cask
Elements of Islay	3	Elements of Islay ; Elements of Islay Bourbon Cask ; Bowmore Elements Of Islay BW8 (Elixir Distillers)
Journeyman Distillery	3	Journeyman Distillery Featherbone ; Journeyman Distillery Corsets Whips& ; Journeyman Distillery Not a King Rye
Pearse	3	Pearse Founders ; Pearse Distillers Blend ; Pearse Lyons Distillery
The Kinship	3	The Kinship Bowmore ; The Kinship Caol Ila ; The Kinship Bunnahabhain
Ballina	2	Ballina Dubailte Double Distilled ; Ballina Triarach Triple Distilled
Clydeside	2	Clydeside Napier ; Clydeside Stobcross
Glen Ryan	2	Glen Ryan ; Glen Ryan
Jiu Hai Bu Gan	2	Jiu Hai Bu Gan Meido ; Jiu Hai Bu Gan Craft White
Masahiro	2	Masahiro Oloroso Sherry Cask ; Masahiro Kaijin Limited Release
Rittenhouse	2	Rittenhouse Rye ; Rittenhouse Rye
The Hive	2	The Hive ; The Hive
Yellow Edition	2	Yellow Edition Teaninich ; Yellow Edition Blair Athol 2011
Bandwagon	1	Bandwagon
Crabbie&cree	1	Crabbie&Cree
Flora&fauna,mannochmore	1	Mannochmore Flora and Fauna
Greign	1	Greign
Johnny Drum	1	Johnny Drum Private Stock
Machrie Moor	1	Machrie Moor
Morrison Mackay	1	Morrison&Mackay Old Perth Original
Old Route 8	1	Old Route 8 Single Cask Strength
Pure Kentucky XO	1	Pure Kentucky XO
Shackleton	1	Shackleton
The Deacon	1	The Deacon
Tincup	1	Tincup
