Gordon & MacPhail	53	Caol Ila 1985 ; Strathisla 1980 ; Macallan Speymalt ; Gordon & MacPhail Mortlach ; Gordon & MacPhail Glenrothes ; Gordon & MacPhail Ardmore 2003
Chivas Regal	30	Chivas Regal ; Chivas Regal ; Chivas Regal ; Chivas Regal ; Chivas Regal ; Chivas Regal
Tullamore Dew	23	Tullamore Dew ; Tullamore Dew ; Tullamore Dew ; Tullamore Dew ; Tullamore Dew ; Tullamore Dew
Mars	17	Mars IWAI ; Mars Cosmo ; Mars Kasei ; Mars Tsunuki ; Mars The Y.A #1 ; Mars Maltage Cosmo
Edradour	13	Edradour ; Edradour ; Edradour Caledonia ; Edradour Caledonia ; Edradour Enigma No.1 ; Edradour Sherry Cask
Tamdhu	11	Tamdhu ; Tamdhu ; Tamdhu ; Tamdhu ; Tamdhu ; Tamdhu Ambar
Whyte Mackay	10	Whyte & Mackay ; Whyte & Mackay ; Whyte & Mackay ; Whyte & Mackay ; Whyte & Mackay ; Whyte & Mackay 1980's
Coalition	8	Coalition Barrel Proof ; Coalition Barrel Proof ; Coalition Margaux Barriques ; Coalition Margaux Barriques ; Coalition Pauillac Barriques ; Coalition Pauillac Barriques
Balblair	7	Balblair ; Balblair ; Balblair ; Balblair ; Balblair ; Balblair 1989 Vintage
Togouchi	7	Togouchi ; Togouchi ; Togouchi ; Togouchi Kiwami ; Togouchi Peated ; Togouchi Premium
Grace O Malley	6	Grace O'Malley ; Grace O'Malley Rum Cask ; Grace O'Malley Stout Cask ; Grace O'Malley Maritime Cask ; Grace O'Malley Dark Char Cask ; Grace O'Malley Independence Edition
Woodford Reserve	6	Woodford Reserve ; Woodford Reserve ; Woodford Reserve Wheat ; Woodford Reserve Double Oaked ; Woodford Reserve Baccarat Edition ; Woodford Reserve Distiller's Select
Douglas Laingcompany	5	Douglas Laing Scallywag ; Douglas Laing The Gauldrons ; Douglas Laing & Co Vintage 1986 ; Douglas Laing & Co Vintage 1993 ; Douglas Laing&Company Jura Vintage 1995
Old Malt Cask	5	Old Malt Cask Jura ; Old Malt Cask Blair Athol ; Old Malt Cask Auchentoshan ; Braeval 1997 The Old Malt Cask (Hunter Laing) ; Miltonduff 1995 The Old Malt Cask (Hunter Laing)
Croithli	4	Croithli Sessile ; Croithli Sessile Oak ; Croithli Quercus Alba ; Croithli Quercus Robur
MacArthur's	4	MacArthur's ; MacArthur's ; MacArthur's ; MacArthur's Select
Scarabus	4	Scarabus ; Scarabus ; Scarabus ; Scarabus Batch Strength
Blood Oath	3	Blood Oath Pact 11 2025 ; Blood Oath Pact No.9 LE ; Blood Oath Pact 10 2024 release
Evade	3	Evade ; Evade Peated ; Evade Wine Cask Finish
Kentucky Jack	3	Kentucky Jack ; Kentucky Jack ; Kentucky Jack
Port Askaig	3	Port Askaig ; Port Askaig ; Port Askaig
The Singleton	3	The Singleton of Dufftown Luscious Nectar ; The Singleton Glen Ord Special Release 2025 ; The Singleton of Glendullan Special Release 2023
Basil Hayden	2	Basil Hayden's ; Basil Hayden Red Wine Cask
Copper Dog	2	Copper Dog ; Copper Dog
Grand Moldaviens	2	Grand Moldaviens ; Grand Moldaviens
John Lee	2	John Lee Straight Old Reserve ; John Lee Straight American Old Reserve
Matt D Arcy	2	Matt D'Arcy ; Matt D'Arcy
Rozelieures	2	Rozelieures Rare Collection ; Rozelieures Subtil Collection
The Speaker	2	Speaker ; Speaker
1770	1	1770 The Original
Beinn Dubh	1	Beinn Dubh Thunder in the Glens Anniversary GB
Cromwells Royal	1	Cromwell's Royal
Fuji	1	Fuji
Haig Club	1	Haig Club Clubman
Johnny Smoking Gun	1	Johnny Smoking Gun
Manhattan	1	Manhattan
Naked Grouse	1	Naked Grouse
Old Tullymet	1	Old Tullymet
Rammstein	1	Rammstein
Shenk's	1	Shenk's Homestead Sour Mash
The Famous Grouse	1	The Famous Grouse
Umiki	1	Umiki Godzilla
