Aberargie	Lowland	Morrison Scotch Whisky Distillers	malt
Abhainn Dearg	Islands	Mark Tayburn	malt
Annandale	Lowland	Annandale Distillery Company	malt
Arbikie	Highland	Arbikie Highland Estate	malt
Ardgowan	Lowland	Ardgowan Distillery Company	malt
Ardross	Highland	Greenwood Distillers	malt
Ballindalloch	Speyside	Ballindalloch Distillery LLP	malt
Balmaud	Highland	Balmaud Distillery Co. Ltd.	malt
Balmenach	Speyside	Inver House Distillers	malt
Ben Cumhaill	Lowland	Simpson family	malt
Benbecula	Islands	Angus A. MacMillan	malt
Blackness	Lowland	Colm O'Rourke	malt
Bonnington	Lowland	Halewood Artisanal Spirits	malt
Borders	Lowland	The Three Stills Company	malt
Brora	Highland	Diageo	malt
Burn O'Bennie	Highland	Deeside Brewery & Distillery Ltd.	malt
Cabrach	Speyside	The Cabrach Trust	malt
Cairn	Speyside	Gordon & MacPhail	malt
Deerness	Islands	Deerness Distillery Ltd	malt
Dornoch	Highland	Dornoch Distillery Company	malt
Dunphail	Speyside	Bimber	malt
Eden Mill	Lowland	Paul Miller	malt
Falkirk	Lowland	Fiona Stewart	malt
Galloway	Lowland	Sam Heughan	malt
Glasgow	Lowland	The Glasgow Distillery Company	malt
Glendullan	Speyside	Diageo	malt
Glengyle	Campbeltown	Mitchell's Glengyle Ltd	malt
GlenWyvis	Highland	GlenWyvis Distillery Ltd.	malt
Harris	Islands	Isle of Harris Distillers Ltd.	malt
Holyrood	Lowland	David Robertson	malt
Inchdairnie	Lowland	John Fergus & Co.	malt
Jackton	Lowland	RAER Spirits	malt
