glen-moray	Glen Moray	distillery	GB-SCT	speyside	speyside	La Martiniquaise	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Glen_Moray_distillery https://scotchwhisky.com/whiskypedia/1846/glen-moray/	Core range is standard unpeated Speyside malt (majority goes into Label 5/Cutty Sark blends). A distinct Peated/Smoky expression exists, see rule.tsv.
highland-park	Highland Park	distillery	GB-SCT	islands	highland	Edrington	single malt	medium			unverified	high	https://en.wikipedia.org/wiki/Highland_Park_distillery	Whole range uses local Orkney peat (higher heather content) at a moderate level, matching the brief's own medium examples (Talisker/Bowmore).
royal-salute	Royal Salute	blend	GB-SCT			Chivas Brothers (Pernod Ricard)	blend	none			unverified	low	https://en.wikipedia.org/wiki/Royal_Salute_(whisky) https://scotchwhisky.com/whiskypedia/2504/royal-salute/	Luxury 21yo+ blend based on Strathisla (Speyside); no peat/smoke mentioned anywhere in the scotchwhisky.com profile I read in full. Treated as none on absence of any smoke/peat descriptor, not an explicit unpeated statement, hence low confidence.
akashi	Akashi	distillery	JP			Eigashima Shuzo		light			unverified	high	https://www.ei-sake.jp/en/whisky.html https://en.wikipedia.org/wiki/White_Oak_distillery	Official site (ei-sake.jp) describes the Akashi single malt's taste as '...medium, light, slightly peaty'; the Akashi blended whisky is described as smooth/dry with no peat mention. Legal distillery name is White Oak (Eigashima Shuzo); no separate White Oak catalogue entry in this batch so Akashi is modelled as the distillery-level row. defaultTypeName left empty: range spans single malt and blended.
deanston	Deanston	distillery	GB-SCT	highland	highland	CVH Spirits Limited	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Deanston_distillery	Standard unpeated Highland malt, un-chill filtered, natural colour. NOTE FOR REVIEWER: Wikipedia (fetched today) names the current owner as CVH Spirits Limited, successor to Distell/Burn Stewart Distillers -- flag if another batch's Bunnahabhain/Tobermory rows (same ownership family) assume plain 'Distell'.
penderyn	Penderyn	distillery	GB-WLS			Welsh Whisky Company	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Penderyn_(whisky)	Core Madeira/Sherrywood/Portwood expressions are unpeated. A distinct Peated expression (and the Dragon range's 'Celt') exists, see rule.tsv.
auchentoshan	Auchentoshan	distillery	GB-SCT	lowland	lowland	Suntory Global Spirits	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Auchentoshan_distillery	Triple-distilled Lowland malt; universally unpeated house style, samples (Three Wood, American/Blood/Dark Oak) are all cask-finish variants of the same unpeated spirit.
the-irishman	The Irishman	blend	IE					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Irish whiskey range (Founder's Reserve style blend + Harvest editions) by Walsh Whiskey; ownership not independently re-verified this session. Irish whiskey is 'almost always' unpeated per the general Whisky article; defaultTypeName left empty since the range spans blend and single-malt-style expressions.
makers-mark	Maker's Mark	distillery	US			Suntory Global Spirits	bourbon	none			unverified	high	https://en.wikipedia.org/wiki/Maker%27s_Mark	Wheated bourbon distilled in Loretto, Kentucky. American whiskey production does not use peat-smoked malt.
fauconnier	Fauconnier	blend						unknown			unverified	unknown		No web presence found this session: Wikipedia search (multiple phrasings), Bing search, and domain probes (fauconnier.fr is unrelated, other guesses did not resolve) all came up empty. Samples 'O'Brian Fauconnier'/'Fauconnier Hunting Lodge'/'Fauconnier Highland's Friends' suggest an obscure own-label blend, but country/type/peat could not be confirmed -- left unknown rather than guessed. Flag for human review.
pokeno	Pokeno	distillery	NZ			Pokeno Whisky Company	single malt	unknown			unverified	low	https://pokenowhisky.com	Small-batch New Zealand single malt distillery in the Waikato region (near the Bombay Hills). Official site's homepage and 'Our Whisky' page state no peat/smoke information for any expression (Ringbearer, Core Range, Exploration Series, Single Casks) -- left unknown rather than guessed.
caperdonich	Caperdonich	distillery	GB-SCT	speyside	speyside	Chivas Brothers (Pernod Ricard)	single malt	none			unverified	low	https://en.wikipedia.org/wiki/Caperdonich_distillery	Closed 1902 (as Glen Grant #2) then 1965-2002, demolished 2010; historically a standard Speyside blending malt for Chivas Regal, no peat mentioned anywhere in its Wikipedia article. IMPORTANT FOR REVIEWER: 3 of the 5 catalogue sample names read 'Caperdonich Peated' -- I could not find any citation confirming this expression exists or its intensity (scotchwhisky.com has no Caperdonich page at the URL I tried, no Wikipedia mention of a peated Caperdonich). Deliberately wrote NO rule for it rather than invent one; flag for human review, possibly an independent-bottler cask exception.
kentucky	Kentucky	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Catalogue brand string 'Kentucky' bundles apparently unrelated products: Fordman, Wiseman, Benchmark No 8, Kentucky Walker (x2). Benchmark is confirmed real (Sazerac Company's Benchmark Old No. 8 bourbon, https://en.wikipedia.org/wiki/Sazerac_Company), but Wiseman/Fordman/Kentucky Walker could not be confirmed and may be generic import-market bourbon-style products, possibly not even genuine American whiskey. peatProfile=none reflects the American-whiskey category norm (peat-kilning is a Scotch-specific technique per the Whisky article), not a verified single house style. Flag for human review -- this brand may need splitting per-product in a later pass.
cattos	Catto's	blend	GB-SCT			Inver House Distillers	blend	none			unverified	low	https://en.wikipedia.org/wiki/Blended_whiskey	Standard blended Scotch; owner (Inver House Distillers/International Beverage) is from general trade knowledge, NOT confirmed by a citation opened this session (the Inver House Distillers Wikipedia article I fetched does not actually mention Catto's by name) -- flag for reviewer to verify ownership independently. peatProfile=none is a category default for an ordinary blend (grain-whisky-led per the Blended whiskey article), not a Catto's-specific citation.
kura	Kura	blend	JP					unknown			unverified	unknown		Could not identify the producer. Investigated two candidates: Eigashima Shuzo's White Oak distillery (maker of Akashi) and Matsui Shuzo's Kurayoshi/Matsui brand family -- Matsui's own official site (matsuiwhisky.com) lists Kurayoshi/Matsui/Tottori/San-in/Daisen but no product called 'Kura', so that link is unconfirmed. 'White Oak' in the sample name 'Kura White Oak' may simply denote the American-white-oak cask species rather than a brand reference. Left fully unknown rather than guess; flag for human review.
rest-and-be-thankful	Rest & Be Thankful	bottler	GB-SCT					unknown			unverified	low		Independent bottler/whisky broker, named after the Argyll mountain pass; no dedicated citation found this session (Wikipedia and Bing searches returned nothing on point), general trade-knowledge identification only, hence low confidence even on category. Samples name two REAL distilleries (Benrinnes, Bruichladdich -- rows emitted below, per authority file) plus 'Strathenry' and 'Finglassie', which do NOT appear in the Wikipedia Scottish-distilleries authority list (259 rows) -- treated as invented/undisclosed single-cask names per the brief's undisclosed-label rule, no distillery row created for them and no guess made at the true source.
willett	Willett	distillery	US					none			unverified	high	https://en.wikipedia.org/wiki/Willett_Distillery	Family-owned (Kulsveen family) Bardstown, Kentucky producer of bourbon and rye (traded as Kentucky Bourbon Distillers 1984-2012). defaultTypeName left empty: range spans both bourbon and rye.
egans	Egan's	blend	IE					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Irish whiskey range (Vintage Grain, Fortitude, Legacy Reserve). No Wikipedia article found this session confirming producer/ownership; general knowledge points to P. & H. Egan Ltd (Tullamore) but this is unverified this session, left owner empty. Category default applied for peat (Irish whiskey almost always unpeated).
hellyers-road	Hellyers Road	distillery	AU			Hellyers Road Distillery (Betta Milk)	single malt	none			unverified	low	https://en.wikipedia.org/wiki/Hellyers_Road	Tasmanian (Burnie) distillery founded 1997 by Betta Milk dairy farmers. No peat/smoke mentioned in its Wikipedia profile -- treated as unpeated on absence of a statement rather than an explicit claim, hence low confidence.
old-ezra	Old Ezra	brand	US					none	lux-row		unverified	low	https://en.wikipedia.org/wiki/Whisky	Ezra Brooks-family line bottled by Lux Row Distillers (see lux-row row in this file). Samples span both rye ('Rye Full Proof') and bourbon ('7 Bourbon Barrel Strength'), so defaultTypeName left empty. American whiskey category default applied for peat.
the-charles-house	The Charles House	blend					blend	none			unverified	low	https://en.wikipedia.org/wiki/Blended_whiskey	No web presence found (Wikipedia search empty). All 3 samples are just 'Charles House' with no other descriptor. Treated as an ordinary own-label blend per the brief's long-tail rule; country left unknown rather than guessed.
angels-envy	Angel's Envy	distillery	US			Bacardi Limited	bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Louisville, Kentucky bourbon distillery known for port-cask finishing (its whole signature, not a separate 'Port Cask' sub-brand -- the two samples are both just the core product). Ownership (Bacardi Limited, acquired 2015) is from general knowledge; a dedicated Wikipedia fetch attempted this session 404'd on the title tried, so that specific fact is NOT independently re-verified -- only the general Whisky article backs the peat=none category claim.
cardhu	Cardhu	distillery	GB-SCT	speyside	speyside	Diageo	single malt	none			unverified	high	https://en.wikipedia.org/wiki/List_of_whisky_distilleries_in_Scotland	Major Johnnie Walker blend component; standard unpeated Speyside malt, uncontroversial and well documented.
