bushmills	Bushmills	distillery	IE			Proximo Spirits		none			unverified	high	https://en.wikipedia.org/wiki/Old_Bushmills_Distillery https://en.wikipedia.org/wiki/Irish_whiskey	Distillery is in Bushmills, County Antrim, Northern Ireland (UK, not the Republic of Ireland) -- GB used since no GB-NIR code exists in the closed list. Range spans single malt (10/12/16/21yo) and blended (Original, Black Bush, Red Bush) so defaultTypeName left empty. Irish whiskey wiki page: peat is rarely used outside Scotland, no exception listed for Bushmills. Country normalized GB -> IE: the closed list has no GB-NIR and this seed follows the Irish-whiskey GI convention.
bunnahabhain	Bunnahabhain	distillery	GB-SCT	islay	islay	Distell (Heineken N.V.)	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Bunnahabhain_distillery https://bunnahabhain.com/pages/about-us	Official site: "To craft our distinct unpeated whisky...every bottle of Bunnahabhain". Peated range is the sibling Moine (see rule row), matching BRIEF.md's own documented Bunnahabhain/Moine pair.
ballantines	Ballantine's	blend	GB-SCT			Chivas Brothers (Pernod Ricard)	blend	light			unverified	low	https://en.wikipedia.org/wiki/Ballantine%27s	Fingerprint malts (Miltonduff, Glenburgie) are unpeated Speyside distilleries; wiki page describes the 21 Year Old as "spicy, aromatic and heather smoke", implying a light smoky character at least in aged expressions. Core Finest not separately described in the source, so confidence kept low rather than assuming it is identical to the 21yo.
caol-ila	Caol Ila	distillery	GB-SCT	islay	islay	Diageo	single malt	medium			unverified	low	https://en.wikipedia.org/wiki/Caol_Ila_distillery	Wiki: "one of the lighter Islay whiskies, pale in colour, with peaty, floral and peppery notes"; ~95% of production goes into Johnnie Walker Black. Classified medium (not heavy) given the explicit "lighter" framing relative to Ardbeg/Lagavulin-style heavy Islay malts. See rule row for the distillery's occasional unpeated release.
four-roses	Four Roses	distillery	US			Kirin Holdings	bourbon	none			unverified	high	https://en.wikipedia.org/wiki/Four_Roses	Kentucky straight bourbon whiskey, Lawrenceburg KY, owned by Kirin (Japan) since 2002. Bourbon is not a peated category.
glen-talloch	Glen Talloch	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No Wikipedia page found and retailer sites (Master of Malt etc.) return 403; owner/producer could not be verified this session. Treated as an ordinary own-label blended Scotch per default rule -- peat category citation is the general Scotch whisky article (peating is a distillery/product-specific choice, not universal).
ledaig	Ledaig	brand	GB-SCT	islands	highland	Distell (Heineken N.V.)	single malt	heavy	tobermory		unverified	high	https://en.wikipedia.org/wiki/Tobermory_distillery	Canonical peated sibling of unpeated Tobermory (same distillery, historically the distillery's own original name). Wiki: "The Tobermory Single Malt is distilled from unpeated malted barley...A heavily peated whisky is also produced...named Ledaig." This is the exact defect pattern named in BRIEF.md.
oban	Oban	distillery	GB-SCT	highland	highland	Diageo	single malt	light			unverified	low	https://en.wikipedia.org/wiki/Oban_distillery	Mainland west-coast Argyll town, not one of the market-convention "islands" -- region=highland matches the authority TSV. Wiki: whisky described as "West Highland" flavour "falling between the dry, smoky style of the...islands and the lighter, sweeter malts of the Highlands", i.e. lightly smoky.
evan-williams	Evan Williams	brand	US			Heaven Hill (Shapira family)		none	heaven-hill		unverified	high	https://en.wikipedia.org/wiki/Heaven_Hill	Flagship Heaven Hill bourbon brand (wiki: "its flagship bourbon labels, Evan Williams and Elijah Craig"). defaultTypeName left empty because the catalogue's own samples include flavoured liqueur SKUs (Fire, Honey, Cherry) alongside straight bourbon (1783, Black, Bottled in Bond) -- range spans types. Bourbon base spirit is unpeated.
canadian-club	Canadian Club	blend	CA			Suntory Global Spirits	blend	none			unverified	low	https://en.wikipedia.org/wiki/Canadian_Club https://en.wikipedia.org/wiki/Irish_whiskey	Blended Canadian whisky, produced at the former Hiram Walker distillery (Windsor, Ontario); owned by Suntory Global Spirits (formerly Beam Suntory) since 2011, part of the Jim Beam portfolio. No Canadian-Club-specific peat statement found; peat citation is the general "peat is rarely used in the malting process outside of Scotland" statement on the Irish whiskey page, used here as a category-level source for a non-Scotch whisky.
spicebox	Spicebox	blend	CA			Maison des Futailles		none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Catalogue brand string is "Maison Des Futailles Spicebox" (aliased verbatim). Canadian spiced/flavoured whisky line (Pumpkin, Chocolat, Cinnamon, Ginger Bread, Canadian Spiced). No dedicated citation found for the brand itself; peat citation is the general non-Scotch-unpeated statement (see canadian-club note). defaultTypeName left empty -- flavoured/spiced products, not a standard category.
benrinnes	Benrinnes	distillery	GB-SCT	speyside	speyside	Diageo	single malt	unknown			unverified	low		Region/owner confirmed via the local authority TSV (Speyside, Diageo, malt, operating) and corroborated by its own Wikipedia article, but no source opened this session states its peat level explicitly; a Speyside regional generalisation was considered but the Scotch whisky wiki page itself quotes a source claiming Speyside malts show "smokiness", so region alone was not treated as a safe stand-in. Left peatProfile unknown rather than guess.
glenshiel	Glenshiel	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found (own-label, no Wikipedia page, retailer sites blocked). Treated as an ordinary blended Scotch per the own-label default; see glen-talloch note for the peat citation rationale.
bagots	Bagots	blend	XX					unknown			unverified	unknown		Catalogue spells it "BAGOTS" (Grain Game, Madeira Cask, Triple Batch, White Moscatel Cask -- cask-finish naming typical of small-batch/craft bottlings). No Wikipedia page or other citable source found; country and category could not be determined this session.
jb	J&B	blend	GB-SCT			Diageo	blend	unknown			unverified	low	https://en.wikipedia.org/wiki/Justerini_%26_Brooks	J&B Rare Scotch whisky, produced by Justerini & Brooks (owned by Diageo); wiki confirms it is a blend of 42 malt and grain whiskies with named fingerprint malts Knockando, Auchroisk, Strathmill and Glen Spey (all unpeated Speyside distilleries), but the article makes no statement about peat/smoke level for the blend itself, so peatProfile is left unknown rather than assumed from the unpeated fingerprint malts alone.
new-riff	New Riff	distillery	US					none			unverified	low	https://en.wikipedia.org/wiki/Kentucky_Bourbon_Trail	Independent craft distillery in Newport, Kentucky, confirmed real via the Kentucky Bourbon Trail wiki page ("Northern Craft Tour: New Riff Distillery in Newport"). Produces both bourbon and rye (samples: Malted Rye, Bottled in Bond, Bottled-in-Bond Rye) so defaultTypeName left empty. Bourbon/rye are not peated categories.
glen-morris	The Glen Morris	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found for this own-label (Honey-flavoured variant present in samples). Treated as an ordinary blended Scotch per the own-label default; see glen-talloch note for the peat citation rationale.
crown-royal	Crown Royal	blend	CA			Diageo	blend	none			unverified	low	https://en.wikipedia.org/wiki/Crown_Royal https://en.wikipedia.org/wiki/Irish_whiskey	Blended Canadian whisky created by Seagram, owned by Diageo since 2000; blended/bottled in Amherstburg, Ontario. No Crown-Royal-specific peat statement found; peat citation is the general non-Scotch-unpeated statement (see canadian-club note).
glen-spey	Glen Spey	distillery	GB-SCT	speyside	speyside	Diageo	single malt	unknown			unverified	low		Rothes, Speyside; owned by Diageo; nearly its entire production goes into J&B blends (own Wikipedia article confirms region/owner/founding 1878). No source opened this session states its own peat level; left unknown rather than assume from the general Speyside association (see benrinnes note on why a bare regional generalisation was not used).
lord-elcho	Lord Elcho	blend	GB-SCT				blend	unknown			unverified	low		Believed to be associated with the Wemyss family (name matches the Earl of Wemyss's courtesy title, and the family runs Wemyss Malts/Kingsbarns distillery), but no citation could be opened this session confirming producer or peat level -- Wikipedia has no article and other searches returned nothing relevant. bottlerSlug intentionally left empty pending verification (contrast peat-chimney/spice-king, where the Wemyss link is well-established general knowledge).
ry3	RY3	blend	XX					unknown			unverified	unknown		Catalogue samples (Cigar Series, Cask Strength, Madeira Cask Strength) suggest a small craft/private rye-style label. No Wikipedia page or other citable source found this session; country and category undetermined.
yakusun	Yakusun	blend	XX					unknown			unverified	unknown		Samples (Yuzu, Classic, Passion Fruit) read as a flavoured whisky-based drink rather than a conventional Scotch/Japanese whisky; zero Wikipedia search hits. Likely a fantasy/evocative brand name for the Eastern European market rather than an actual Japanese producer -- left fully unknown rather than assume Japan from the name alone.
bud-spencer	Bud Spencer	blend	XX					unknown			unverified	unknown		"Bud Spencer" (samples: The Legend, The Legend Mini) most likely trades on the name of the Italian actor Carlo Pedersoli (stage name Bud Spencer) as licensed merchandise; Wikipedia search only returns his biography, no dedicated drinks-brand page. Could not confirm whether the liquid is actually whisky (celebrity-branded rum is at least as plausible) -- flagging for reviewer attention rather than guessing kind/country/peat.
eagle-rare	Eagle Rare	brand	US			Sazerac Company	bourbon	none	buffalo-trace		unverified	high	https://en.wikipedia.org/wiki/Buffalo_Trace_Distillery	Straight bourbon brand of Buffalo Trace Distillery (wiki: "Eagle Rare -- straight bourbon and 17 year antique collection"), owned by the Sazerac Company. Bourbon is not a peated category.
high-commissioner	High Commissioner	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found (own-label, no Wikipedia page). Treated as an ordinary blended Scotch per the own-label default; see glen-talloch note for the peat citation rationale.
