gouden-carolus	vanilla	baseline	high	https://www.hetanker.be/en/drinks/gouden-carolus-single-malt	own site: "notes of wood and vanilla"
gouden-carolus	oak	baseline	high	https://www.hetanker.be/en/drinks/gouden-carolus-single-malt	own site: notes of wood, aged in first-fill bourbon then their own oak "Anker" casks
glenalmond	honey	baseline	high	https://scotchwhisky.com/whiskypedia/2109/glenalmond/	dedicated profile: "mellow, easy-going dram with honeyed notes of buttered toast"
gwalarn-pure	vanilla	baseline	high	https://maisonvillevert.com/en/products/gwalarn-pure-malt-1	own site: "suppleness of vanilla and honey"
gwalarn-pure	honey	baseline	high	https://maisonvillevert.com/en/products/gwalarn-pure-malt-1	own site: "suppleness of vanilla and honey"
grangestone	vanilla	baseline	high	https://www.qualityspiritsinternational.com/brands/grangestone/	own brand page: "vanilla, oak, fruit, and spice"
grangestone	oak	baseline	high	https://www.qualityspiritsinternational.com/brands/grangestone/	own brand page: "vanilla, oak, fruit, and spice"
fitzwilliam	vanilla	baseline	high	https://www.bbcspirits.com/gb/whiskies/683-whiskey-ireland-fitzwilliam-irish-blended-whiskey.html	own product page: grain whiskey aged in new American oak casks "to bring out powerful vanilla flavours"
fitzwilliam	spicy	baseline	high	https://www.bbcspirits.com/gb/whiskies/683-whiskey-ireland-fitzwilliam-irish-blended-whiskey.html	own product page: rye whiskey casks "add aroma and spice"
fitzwilliam	chocolate	baseline	high	https://www.bbcspirits.com/gb/whiskies/683-whiskey-ireland-fitzwilliam-irish-blended-whiskey.html	own product page: stout beer barrels "bring notes of coffee and chocolate"
grass-widow	nutty	baseline	high	https://twojames.com/our-spirits/grass-widow-bourbon/	own site: notes of "cashews and Marcona almonds", "hazelnuts"
grass-widow	fruity	baseline	high	https://twojames.com/our-spirits/grass-widow-bourbon/	own site: notes of "dried figs, plums", "dried raisins, wild berries"
