goalong	Goalong	distillery	XX			Goalong Liquor	single malt	unknown			unverified	high	https://www.goalongliquor.com/	Confirmed via the producer's own site: Goalong is a physical distillery in Liuyang, Hunan Province, China producing "Goalong Single Malt Whiskey" (corrected kind from blend to distillery; all three samples are single-malt cask-finish variants). No peat/smoke wording anywhere in the site's own flavor descriptions across multiple expressions; Chinese craft whisky is too new/heterogeneous a category to assume a none-vs-peated norm the way Western categories allow, so peatProfile is left unknown rather than guessed. countryCode XX retained -- China has no code in the closed list.
green-spot	Green Spot	brand	IE			Mitchell & Son	single pot still	none	midleton	mitchell-son	unverified	high	https://en.wikipedia.org/wiki/Green_Spot_(whiskey) https://mitchellandson.com/	Upgraded from low: Wikipedia's dedicated Green Spot (whiskey) article (not just the disambiguation page the seed cited) states it is "produced specifically for Mitchell & Son of Dublin" with "sole rights to market, sell, and develop" it, and is distilled at Midleton (Irish Distillers/Pernod Ricard) -- confirms owner and parentSlug directly. Mitchell & Son's own site confirms the Spot Whiskeys line and "Single Pot Still Irish Whiskey" labeling. peatProfile=none per the well-established unpeated Irish pot still category; no positive claim, so no domain corroboration needed.
hakushu	Hakushu	distillery	JP			Suntory	single malt	unknown			unverified	high	https://en.wikipedia.org/wiki/Hakushu_distillery	Re-opened the seed's Wikipedia citation this session and confirmed it directly: the article lists Hakushu's core range (Distiller's Reserve, 12/18/25yo) with no peat characterization at all, and names only a 2013 "Heavily Peated" limited series as an exception -- it does not itself state the core range's peat level. Suntory's own site (suntory.com) returned 403 this session, so per the peat-rule bar (producer domain or Islay for a positive claim) the seed's "light" call is downgraded to unknown. withheld peat proposal: light, per general whisky literature describing Hakushu's standard style as faintly smoky versus Yamazaki's unpeated style -- not confirmed against a producer-domain page this session. Identity facts (owner, country, single malt) are solid via Wikipedia, so confidence is raised to high independent of the peat question.
hardenberg	Hardenberg	blend	DE			Hardenberg-Wilthen AG		none			unverified	high	https://www.hardenberg-wilthen.de/en/	Opened the producer's own site this session (hardenberg-wilthen.de): confirms the company (Norten-Hardenberg, Lower Saxony) has been "distilling spirits for more than 300 years" and shows a "Club-Malt-Whiskey" product image, corroborating the Hardenberg Club whisky line the seed found via Master of Malt/whisky.com (both 403 this session). "Straight Malt"/"Straight Wheat" variants mean defaultTypeName spans types, left empty. No peat/smoke wording found anywhere; German whisky has no peat tradition (category-level, not an explicit producer denial).
hatozaki	Hatozaki	blend	JP					unknown			unverified	low	https://www.nomunication.jp/2018/12/18/kaikyo-distillery-and-hatozaki-whisky/	Found and opened a real source this session (the seed had zero search hits). Kaikyo Distillery near Akashi, Japan makes Hatozaki: "Pure Malt" is a blend of different single malts, "Blended" combines Japanese whiskies from two distilleries plus some Scottish malt -- confirms kind=blend and countryCode=JP. Ownership is unresolved: the same article says both that "Mossburn acquired the distillery" and that the facility operates from the Akashi Sake Brewery, owned by the Yonezawa family since 1856 -- a real conflict I could not resolve this session (hatozaki-whisky.com: DNS failure; akashisakebrewery.com/brands/hatozaki/: 503). Left owner empty rather than guess between the two. No peat statement found. Kept confidence low because the ownership conflict is unresolved.
hellyers-road	Hellyers Road	distillery	AU			Hellyers Road Distillery (Betta Milk)	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Hellyers_Road_Distillery https://www.hellyersroaddistillery.com.au/	Confirmed via Wikipedia (re-opened this session): "Founded in 1997 by Betta Milk, a group of dairy farmers" in Burnie, Tasmania. IMPORTANT CORRECTION: the producer's own official site lists a "Richly Peated 9 Year Old" expression -- Hellyers Road is not uniformly unpeated. peatProfile=none is kept on this row because none of the three sampled bottlings (Hellyers Road, Aurora Australis, Original Roaring 40s) is the peated line, but see rule.tsv for a name-pattern override so a "Peated" bottling under this same producer does not inherit none.
inchmurrin	Inchmurrin	brand	GB-SCT	highland	highland	Loch Lomond Group	single malt	unknown	loch-lomond		unverified	low	https://en.wikipedia.org/wiki/Loch_Lomond_distillery	Re-opened the seed's Wikipedia citation this session with a peat-focused query: the article lists Inchmurrin/Inchmoan 12yo among the 2020-rebrand range and separately calls out a "Single Grain Peated Scotch Whisky", but draws no comparison between the malt expressions' own peat levels -- no improvement over the seed's finding. Kept confidence low and peatProfile unknown, same as seed. REVIEWER FLAG (carried over): whisky literature widely treats Inchmurrin as the unpeated/fruity style versus peated sibling Inchmoan, but this remains unconfirmed against a citable page; do not average with Inchmoan/Croftengea if resolved later.
james-king	James King	blend	GB-SCT			Quality Spirits International	blend	unknown			unverified	high	https://www.qualityspiritsinternational.com/brands/james-king/	Upgraded from unknown: the producer's own brand page (qualityspiritsinternational.com, opened this session) confirms James King is a blended Scotch owned by Quality Spirits International, combining Highland malt whiskies with Lowland grain whisky ("where the Highlands meet the Lowlands") -- hence no single region assigned. No peat/smoke wording on the page; tasting notes mention only vanilla and fruit. Confidence raised to high on country/kind/owner; peat left unknown for lack of any statement either way.
jeffersons-ocean	Jefferson's Ocean	blend	US			Pernod Ricard	bourbon	none			unverified	high	https://en.wikipedia.org/wiki/Castle_Brands	Upgraded from low: opened Wikipedia's Castle Brands article this session (the seed had only cited the generic Whisky article) -- confirms Castle Brands acquired McLain & Kyne, expanding its portfolio with Jefferson's Bourbon, then Pernod Ricard purchased Castle Brands in October 2019. This directly corroborates owner=Pernod Ricard, which the seed had flagged as unverified general knowledge. peatProfile=none per standard bourbon mashbill/category norm (no peated malt in bourbon production).
journeyman-distillery	Journeyman Distillery	distillery	US			Journeyman Distillery		none			unverified	high	https://www.journeyman.com/	Confirmed via the producer's own site this session (root domain; the seed's specific featherbone-bourbon product page was not re-opened): Three Oaks, Michigan, "grain to bottle", "locally sourced Midwest organic grains", and "ONE OF FEW CERTIFIED ORGANIC & KOSHER DISTILLERIES IN THE COUNTRY". No peat/smoke wording anywhere on the site. defaultTypeName left empty -- range spans bourbon and rye. peatProfile=none per American craft grain-whiskey category norm (peated malt is essentially never used outside the Scotch/Irish tradition).
