lewis-clark	Lewis&Clark	blend	US			Hood River Distillers		none			unverified	high	https://www.hrdspirits.com/lewis-and-clark-spirits	Verified via producer's own site (Hood River Distillers, Oregon): Lewis and Clark is a spirits line including Northwest Bourbon (Kentucky bourbon finished with Oregon oak, described on-site as "blended bourbon") and a Straight Corn Whiskey, plus non-whiskey spirits (vodka, gin, rum). Corrects seed's low-confidence country guess to a verified US/Oregon producer. defaultTypeName left empty since the row spans bourbon and corn whiskey. Peat=none per American whiskey norm; no smoke/peat mentioned on site.
lighthouse	Lighthouse	blend	GB-SCT				blend	none			unverified	high	https://www.bravenewspirits.com/whiskies/lighthouse-whisky	Verified via producer's own site (Brave New Spirits): Lighthouse is a blended Scotch whisky with two expressions, Unpeated (baseline, this row) and Lightly Peated. The Lightly Peated expression is a distinct sibling profile expected to be caught by the KB's existing global "lightly peated" keyword rule (it literally contains the word "peat"), so no producer-specific rule.tsv row was added. This row represents the unpeated baseline.
lux-row-distillers	Lux Row Distillers	distillery	US			Luxco	bourbon	none			unverified	high	https://www.luxrowdistillers.com/	Verified via producer's own site: Bardstown, KY distillery owned by Luxco, producing Rebel Bourbon, Ezra Brooks (see ezra-brooks, already live), Daviess County, Lux Row Double Barrel, David Nicholson and Blood Oath, all bourbon. defaultTypeName=bourbon since every named product is bourbon. Peat=none per American-bourbon norm (no peated malt used); not explicitly addressed on site.
masahiro	Masahiro	distillery	JP			Masahiro Shuzo		none			unverified	high	https://masahiromalt.jp/	Verified via producer's own site: Okinawan awamori distiller (Masahiro Shuzo) also producing whisky, a Pure Malt Whisky and a 12 Year Oloroso Sherry Cask expression plus a blended Kaijin release, tropical-fruit/vanilla profile, no smoke/peat. Confirms seed's identification; defaultTypeName left empty as range spans pure malt and blend.
matt-darcy	Matt D'Arcy	blend	IE			Echlinville Distillery	blend	none			unverified	high	https://echlinville.com/brands/matt-darcy-irish-whiskey	MAJOR CORRECTION from seed (which found no web presence and guessed GB-SCT): Matt D'Arcy is a real historic Irish whiskey brand (Newry, Co. Down, est. 1817), revived by Echlinville Distillery (Co. Down, Northern Ireland) as a blend of 10-year-old grain whiskey and 17-year-old Irish single malt, Port-cask finished. Country coded IE per the marketed "Irish whiskey" category (no Northern-Ireland-specific code exists in the closed list). No peat/smoke mentioned; fruit/oak/spice profile.
muirheads	Muirhead's Blue Seal	blend	GB-SCT				blend	none			unverified	high	https://www.muirheads-whisky.com/our-whisky/	Verified via producer's own site (muirheads-whisky.com/our-whisky): Muirhead's offers a Blue Seal (blended) range and a separate Silver Seal (Speyside single malt) range; this row covers Blue Seal. No peat/smoke in tasting notes. Search results indicated a 2008 acquisition by Terroir Distillers (also owner of Tullibardine), but that page would not render this session, so owner is left blank rather than asserted from an unopened source.
muteki	Muteki	blend	XX			Les Grands Chais de France	blend	none			unverified	high	https://thedailypour.com/spirit/muteki-japanese-whisky/	Identified: Muteki is a blended Japanese-style whisky bottled by Les Grands Chais de France (French drinks group); true distillation origin is undisclosed on the pages found, so countryCode is kept XX rather than asserted JP. Matured 3 years in sherry/bourbon casks plus a Mizunara finish. No peat/smoke mentioned (vanilla, ginger, citrus profile). Corrects seed's unknown/unverified status with a verified identity.
naked-grouse	The Naked Grouse	blend	GB-SCT				malt	none			unverified	high	https://scotchwhisky.com/magazine/latest-news/15718/the-naked-grouse-becomes-a-blended-malt/	Re-verified directly: blended malt Scotch (malt only, no grain) from Glenturret, Highland Park and Macallan, owned by Edrington. Despite Highland Park being a peated contributor, the finished blend's own tasting notes (fudge, cooked apple, cherry) show no smoke, so peat=none for the finished product. Owner recorded as Edrington per this source; the seed's caveat that sibling brand Famous Grouse reportedly moved to William Grant & Sons in 2024/2025 could not be confirmed either way for Naked Grouse specifically and may need re-checking.
noble-rebel	Noble Rebel	blend	GB-SCT				malt	none			unverified	high	https://noblerebelmalts.com/products/noble-rebel-whisky-orchard-outburst https://noblerebelmalts.com/collections/blended-malt-scotch-whisky	IDENTIFIED (seed could not find this brand, WebSearch budget exhausted): Noble Rebel is a Blended Malt Scotch Whisky range by Loch Lomond Group (Loch Lomond Distillery, Alexandria, Scotland; loch-lomond already live in the KB). Three named expressions: Orchard Outburst (unpeated, fruity/citrus -- this baseline row), Hazelnut Harmony, and Smoke Symphony (peated -- see rule.tsv, matched by name pattern since "Smoke Symphony" contains no literal "peat" keyword).
o-brian	O'Brian	blend	IE			Fauconnier (La Martiniquaise)	blend	none			unverified	high	https://artdrink.com.ua/en/whisky/obrian-viski-category	Verified: O'Brian is a triple-distilled blend of grain and malt distillates, marketed as Irish whiskey; produced/bottled by Fauconnier (est. 1829, part of La Martiniquaise since 2011), with blending/filtration stated to occur in France. Coded IE per the marketed "Irish whiskey" category (consistent with Irish-origin distillate under the GI, final blending/bottling in France being common practice). No peat/smoke mentioned. Corrects seed's GB-SCT guess -- this is not Scotch.
