nikka	Nikka Whisky	blend	JP			Asahi Group Holdings		unknown			unverified	high	https://en.wikipedia.org/wiki/Nikka_Whisky_Distilling	Verified owner (Asahi Group Holdings) and structure via Wikipedia (opened): Yoichi (peated-style, maritime) + Miyagikyo (unpeated, lighter) distilleries plus Ben Nevis in Scotland (acquired 1989). Corrected defaultTypeName from blend to empty: samples span blend (Nikka, From The Barrel), single grain (Coffey Grain) and single malt via continuous still (Coffey Malt), not only blend. Peat kept unknown: Yoichi malt proportion is undisclosed per expression and Coffey Grain has no malt at all, so no single level applies across the row's samples.
mars	Mars	distillery	JP			Hombo Shuzo Co., Ltd.		unknown			unverified	high	https://en.wikipedia.org/wiki/Shinshu_Mars_distillery https://distilando.com/mars-shinshu	Confirmed Hombo Shuzo ownership (Wikipedia, opened) and the four barley peating levels used across releases - unpeated, lightly peated 3.5ppm, heavily peated 20ppm, super-heavily peated 50ppm (distilando.com, opened) - at both Shinshu and Tsunuki distilleries; Shinshu malt also feeds the Maltage Cosmo and Kasei blends. Peat kept unknown for this umbrella row since no single level applies; samples span both distilleries and several product lines (Iwai/Kasei/Cosmo/Tsunuki/Y.A).
lost-distillery	The Lost Distillery Company	blend	GB-SCT			The Lost Distillery Company	blend	unknown			unverified	high	https://lost-distillery.com/	Official site is reachable this session (the seed reported it unreachable/lapsed) - confirms Scotland-based (Dumfries House Estate, Ayrshire), a blending house that recreates historic distillery flavour profiles from aged single malts, self-operated with no separate parent company found. Peat kept unknown: the site's own regional lines vary sharply (Lossit/Islay markets 'Smoked Almond & Pear'; Towiemore/Speyside markets 'Green Apple & Cake'), confirming the seed's reasoning that one peat value would misrepresent the range. A human split into per-release rows (Lossit, Towiemore, Stratheden, Dalaruan/Jericho, Gerston) remains worth doing but is beyond this round's scope.
quiet-man	The Quiet Man	blend	IE			MGP Ingredients (Luxco / Niche Drinks)		unknown			unverified	high	https://mgpingredients.com/branded-spirits/niche-drinks	Confirmed via MGP's own page (opened): Niche Drinks (Derry, Northern Ireland) is described as 'Luxco's Irish extension', and MGP Ingredients now owns Luxco. No peat mentioned anywhere. countryCode kept IE per the seed's documented convention (the product is marketed/sold under the Irish whiskey geographic category) though Derry is politically in the UK. Range spans a blend and an 8-year single malt, so defaultTypeName stays empty.
scottish-leader	Scottish Leader	blend	GB-SCT			CVH Spirits (Capevin Holdings; formerly Burn Stewart Distillers / Distell International)	blend	none			unverified	high	https://cvhspirits.com/about-us/ https://www.whiskyinvestdirect.com/whisky-news/cvh-spirits-061620231	CORRECTED owner from Distell Group: Heineken acquired most of Distell Group in 2023; the Scotch whisky business (formerly Burn Stewart Distillers) was spun out under Capevin Holdings (59.5% owned by Remgro) and renamed CVH Spirits on 27 April 2023. CVH's own site (opened) confirms it now owns Scottish Leader plus Black Bottle and the Bunnahabhain/Deanston/Tobermory/Ledaig distilleries. Peat kept none: CVH's own sibling blend Black Bottle is the one marketed as 'Islay-influenced', implying Scottish Leader is the non-smoky mainstream blend in the same portfolio, though no explicit 'unpeated' statement for Scottish Leader itself was found.
spicebox	Spicebox	blend	CA			Maison des Futailles (now Station 22, majority-owned by the Dandurand Group since 2022)		none			unverified	high	https://www.liquormarts.ca/producer/maison-des-futailles https://station-22.com/en/about-us/	Confirmed via opened sources that Maison des Futailles (Montreal/Boucherville, Quebec, founded 1922) rebranded to Station 22 in March 2022 and is now majority-owned by the Dandurand Group after Kruger sold its stake; retailers still market the product as 'Maison Des Futailles Spicebox'. Canadian spiced/flavored whisky (Cinnamon, Pumpkin, Ginger Bread, Chocolat editions); no peat mentioned in any source found for this or any sibling edition.
tenjaku	Tenjaku	blend	JP			Minami Alps Wine & Beverage Co., Ltd.		unknown			unverified	high	https://www.falstaff.com/en/spirits/minami-alps-wine-and-beverage-co-ltd-tenjaku-whisky-pure-malt https://www.whiskysaga.com/blog/tenjaku-blended-whisky	Identified and confirmed the producer, previously blank in the seed row: Minami Alps Wine & Beverage Co., Ltd. (a subsidiary of Tokuoka Co., Ltd., established 2012), based in Fuefuki, Yamanashi Prefecture near Mt Fuji; master blender Kenji Watanabe. Peat kept unknown: some reviews mention 'a light hint of peat' or a 'sweet smoky aroma', which reads as tasting-note language rather than a stated peated-malt component, and no producer-domain statement either way was found (tenjakuwhisky.co.uk and tenjakuwhiskyusa.com, both opened, are silent on peat/smoke as a specified ingredient).
agitator	Agitator	distillery	SE				single malt	unknown			unverified	high	https://agitatordistillery.com/en/ https://agitatordistillery.com/en/single-malt-whisky-rok/	Confirmed real Swedish single malt distillery in Arboga via its own domain (agitatordistillery.com, opened). Added defaultTypeName=single malt (the whole range - base, Rok/Rok, Argument series - is single malt whisky; no grain or blended product found). REVIEWER FLAG RESOLVED: 'Agitator Rok' is real and matches 'Rok' (Swedish for smoke) on the official site, which IS a smoky/peated expression - confirmed on the producer's own product page (opened): 'a smooth smokey single malt whisky' with 'flattering peaty notes', matured in ex-Islay and chestnut casks. Wrote a peat rule for pattern 'rok' (peatProfile=light, per independent reviews calling it mild/'far from Islay-level' smoke) - see rule.tsv. The umbrella row's peat stays unknown: whiskynotes.be documents both an unpeated 2019 release and a peated 2020 release under the plain 'Agitator' name, so no single level applies to the base range either.
glendale	Glendale	blend	GB-SCT				blend	none			unverified	low		No distillery of this name in Scotland, consistent with the seed. Multiple retailer/registry listings (whiskybase, a ProWein trademark listing, winestyleonline) title it 'Glendale Blended Scotch Whisky', and one real independent blender/bottler, Campbell Meyer & Company Ltd (East Kilbride/Glasgow - confirmed real via campbellmeyer.com, opened, which describes exactly this kind of own-label blending/bottling business), surfaced repeatedly in search results as its likely bottler. I could not open a page this session that names Campbell Meyer as Glendale's bottler specifically (campbellmeyer.com itself did not list its brand roster; iwsc.net and whiskybase.com both returned 403), so owner is left blank and confidence stays low pending a source I can actually open. Treated as a generic own-label Scotch blend; no peat evidence found in any source.
highland-baron	Highland Baron	blend	GB-SCT			Loch Lomond Distillery	blend	unknown			unverified	high	https://caskcartel.com/products/highland-baron-blended-scotch-whisky-700ml	CORRECTED: confirmed via caskcartel.com (opened) that Highland Baron is 'Made at Loch Lomond Distillery', blended from grain and Highland single malt whisky. Search results (an IWSC listing titled 'Loch Lomond Group | Highland Baron...', other retailers) additionally tie it to export house Mackay & McDavitt Co. for the Spanish market, but I could not open a page confirming that bottler relationship directly this session (iwsc.net, whiskybase.com and cgarsltd.co.uk all returned 403/406), so owner records only the confirmed production-site fact. Peat DOWNGRADED from the seed's none to unknown: one retailer description (not opened, search-synthesis only) mentions 'a delicate peat finish'; withheld peat proposal: light, uncorroborated by any producer-domain source, so kept unknown per policy rather than asserted either way. Catalogue carries both the typo 'Highiland Baron' and the correct 'Highland Baron' spelling.
john-barr	John Barr	blend	GB-SCT			Whyte & Mackay	blend	unknown			unverified	high	https://www.whyteandmackayltd.com/our-brands/john-barr/	Confirmed via Whyte & Mackay's own brand page (opened): range is Finest plus Reserve (Highland malt + Speyside malt + grain, 40 components, double sherry-cask maturation for Reserve), blended by Richard Paterson. CORRECTED peat from the seed's none to unknown: the official page makes no peat statement either way, while independent reviews (The Scotch Noob and others, not producer-confirmed) describe John Barr Reserve specifically with 'a stream of tangy peat at the finish' and 'a subtle wisp of peat smoke', so a blanket unpeated claim covering the whole row (which includes Reserve) is not safe. Withheld peat proposal: light for Reserve specifically, per uncorroborated third-party reviews only.
sir-edwards	Sir Edward's	blend	GB-SCT			La Martiniquaise (Bardinet)	blend	none			unverified	high	https://www.siredwards.com/ https://www.la-martiniquaise.com/en/the-group/an-international-group/	Confirmed via siredwards.com (own site, opened): 'Product of Scotland', range = Finest / Smoky / Beer Reserve / Aged 12 Years. Confirmed via la-martiniquaise.com (opened) that La Martiniquaise owns Sir Edward's, listed among its 'millionaire brands' alongside Label 5 - this resolves the seed's caveat that the owner was not independently re-confirmed. 'Finest' (catalogued here as 'Sir Edwards Finests', a typo) is the unpeated base; see rule.tsv for the separately-named 'Smoky' line, independently confirmed peated via its own producer-domain page.
black-velvet	Black Velvet	distillery	CA			Heaven Hill		none			unverified	high	https://globalnews.ca/news/6110640/black-velvet-canadian-whisky-lethbridge-new-ownership-november/	Confirmed via globalnews.ca (opened): own distillery in Lethbridge, Alberta; Heaven Hill Brands purchased it effective 1 November 2019 (from Constellation Brands). No peat mentioned; Canadian whisky has no peat tradition. defaultTypeName kept empty - Canadian blended whisky has no clean match in the closed type list.
