glenfiddich	Glenfiddich	distillery	GB-SCT	speyside	speyside	William Grant & Sons	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Glenfiddich_distillery	
benriach	BenRiach	distillery	GB-SCT	speyside	speyside	Brown-Forman	single malt	none			unverified	high	https://whiskyadvocate.com/benriach-new-look-whisky https://www.benriachdistillery.com/our-whiskies/birnie-moss/	Core range (The Original Ten/Twelve etc.) is unpeated. Distillery also bottles peated expressions under distinct line names within the BenRiach brand itself (Curiositas, Smoky Ten/Twelve, Birnie Moss, Septendecim, Authenticus) -- captured as rules below rather than sibling brands, since they are always sold as "BenRiach <name>", not a standalone brand name. Owner Brown-Forman inferred from the 2016 GlenDronach/BenRiach/Glenglassaugh group acquisition (corroborated on the Glenglassaugh distillery page), not independently opened for BenRiach itself.
scyfion	Scyfion	bottler	UA					unknown			unverified	high	https://www.whiskylifestyle.com/scyfion-a-ukrainian-independent-bottler/	Ukrainian independent bottler based in Odesa ("Scyfion Choice"), finishes single casks from various Scottish distilleries in wine casks. Peat depends entirely on the source distillery per bottling, not on the bottler -- see distillery rows below for Dailuaine/Aultmore/Dufftown (named in this batch's samples). "Scyfion Secret Speyside" is an undisclosed-source label; left unresolved per brief guidance.
glengoyne	Glengoyne	distillery	GB-SCT	highland	highland	Ian Macleod Distillers	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Glengoyne_distillery https://scotchwhisky.com/whiskypedia/1858/glengoyne/	Markets itself as exclusively unpeated -- air-dried malt only, no peat smoke at any stage.
slyrs	Slyrs	distillery	DE					none			unverified	high	https://www.masterofmalt.com/distilleries/slyrs-whisky-distillery/ https://slyrs.com/shop/SLYRS-Single-Malt-Whisky-Bavarian-PEAT/150100/	Bavarian (Schliersee) distillery; core single malt is unpeated (peated malt is only ~10% of annual barley intake). Also produces a dedicated "Bavarian PEAT" peated single malt -- captured as a rule below, not a sibling brand. Range also includes a "Bavarian RYE"; defaultTypeName left empty since the range spans malt and rye.
aberfeldy	Aberfeldy	distillery	GB-SCT	highland	highland	John Dewar & Sons (Bacardi)	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Aberfeldy_distillery	
artist-collective	Artist Collective	bottler	FR			La Maison du Whisky		unknown			unverified	high	https://www.whisky.fr/en/independant-bottlers/la-maison-du-whisky/collective.html	French independent-bottler range from La Maison du Whisky; deliberately spans every Scotch region and style, peated and unpeated, so no house peat level. Samples name Ardmore (own row in this batch), Caol Ila, Ben Nevis, Glen Elgin, Glen Ord and Linkwood -- distillery rows added below per the independent-bottler rule.
glenrothes	Glenrothes	distillery	GB-SCT	speyside	speyside	Edrington	single malt	none			unverified	high	https://en.wikipedia.org/wiki/The_Glenrothes_distillery https://scotchwhisky.com/whiskypedia/1864/glenrothes/	
cailleach	Cailleach	blend						unknown			unverified	unknown		Brand identity not confidently established this pass -- no distinguishing samples beyond the bare name repeated six times. No search performed (budget spent on higher-volume brands); left unknown rather than guessed.
amahagan	Amahagan	blend	JP			Hombo Shuzo (Mars Whisky)		unknown			unverified	low		Japanese "World Blended Whisky" from Mars Whisky (Hombo Shuzo / Mars Shinshu distillery), released in numbered wood-finish editions (sherry cask, Mizunara, red wine, Yamazakura). Lookup attempts for this brand specifically returned no usable content this pass; peat left unknown rather than assumed.
