kimbland	Kimbland	distillery	GB-SCT	islands	highland	Kimbland Distillery Ltd	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Kimbland_distillery	Micro-distillery on Sanday, Orkney; mothballed since 2023 and, per a December 2025 Food Standards Scotland warning, told consumers not to buy or drink ANY of its products (whisky, gin or new-make) over safety-regulation failures. Uses Orcadian bere barley. No characterized whisky exists to assess peat.
kininvie	Kininvie	distillery	GB-SCT	speyside	speyside	William Grant & Sons	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Kininvie_distillery	Built 1990 on Balvenie's site, sharing Balvenie's mash house/washbacks; output mostly feeds Grant's blends (Clan MacGregor). No source directly states its own peat level, so left unknown rather than inferred from the unpeated Balvenie link. Historically its single malt was released as 'Hazelwood' (tribute bottlings, pre-2013); the company began official 'Kininvie'-branded releases in 2013. Since 2015 'House of Hazelwood' is a revived line but is a BLEND featuring Kininvie among other Grant's malts, not itself a Kininvie brand, so no separate brand row was created for it - flag for a human reviewer if 'Hazelwood'/'House of Hazelwood' turns out to be a catalogue brand string.
kythe	Kythe	distillery	GB-SCT	lowland	lowland	Kythe Distillery Co.	single malt	unknown			unverified	low	https://kythedistillery.com/	Pre-production as of this research: official site states construction completed summer 2025 and distilling was expected to begin H2 2025, aiming to revive an 'old style' single malt not made since the 1960s. No product exists yet to characterize. The site's own copy calls this a return to 'old style Highland distilling' (likely the traditional method, not the SWA legal region) - the given region (Lowland) is used unchanged per instructions.
laggan-bay	Laggan Bay	distillery	GB-SCT	islay	islay	Ian MacLeod Distillers	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Ian_Macleod_Distillers	Still under construction as of the source's Jan 2026 snapshot (a cited construction-news article projected 2025 completion); no new-make spirit reported yet, so no peat basis exists. Owner Ian Macleod Distillers also markets the heavily-peated Islay blend 'Smokehead' (sourced from an undisclosed third-party distillery, not their own), so an Islay-peated future house style is plausible but is NOT claimed here.
lerwick	Lerwick	distillery	GB-SCT	islands	highland	Lerwick Distillery Ltd	single malt	unknown			unverified	low	https://shetlandwhisky.com/	Official site (lerwickdistillery.com redirects to shetlandwhisky.com) brands itself 'Home of Shetland Single Malt Scotch Whisky' and sells a 'Haad Still' cask-ownership scheme, consistent with stock still maturing rather than a released, characterized product. No peat statement found. Per Wikipedia's Kimbland article this distillery was established in Shetland in 2022.
leven	Leven	distillery	GB-SCT	lowland	lowland	Diageo	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Leven_distillery	Diageo's experimental/R&D distillery (est. 2013, Diageo's 29th working distillery) attached to the world's biggest bottling/packaging plant - built for pilot distillation projects, not a defined consumer single-malt line, so no house peat style is established. 'Leven' is also a common Scottish place name; kept the alias brand-scope for collision safety per this task's instructions.
lindores-abbey	Lindores Abbey	distillery	GB-SCT	lowland	lowland	Lindores Distilling Co.	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Lindores_Abbey_distillery	First single malt (MCDXCIV) released 2021; no peat statement found in Wikipedia or a quick check of the official site. Site of the 1494 Exchequer Rolls entry, the earliest surviving written record of Scotch whisky distilling.
lochlea	Lochlea	distillery	GB-SCT	lowland	lowland	Neil McGeoch	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Lochlea_distillery	Working farm distillery in Ayrshire; inaugural single malt Oct 2021, a cask-strength release May 2023, 'Our Barley' Jan 2025. No peat statement found.
moffat	Moffat	distillery	GB-SCT	lowland	lowland	Dark Sky Spirits	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Moffat_distillery	First whisky cask filled March 2024 (unusual wood-fired stills, worm-tub condensers); too young for a released/characterized single malt as of this research. Originally founded 2017 as the 'Dark Sky Spirits' independent bottler before building its own distillery in Moffat, Dumfries and Galloway.
north-point	North Point	distillery	GB-SCT	highland	highland	North Coast Distillers Ltd.	single malt	unknown			unverified	low		No dedicated Wikipedia article; two guessed official domains (northpointdistillery.com, northpointdistillers.com) both answered 200 but rendered no readable text on a plain fetch (JS-heavy site), so no citable content was found either way.
north-uist	North Uist	distillery	GB-SCT	islands	highland	North Uist Distillery Company	single malt	unknown			unverified	low	https://www.northuistdistillery.com/	Official site confirms its whisky ('Uist Whisky') is 'soon to launch' as of this research, with a 2026 founders-club cask scheme still selling - no released/characterized spirit yet. Their existing product line is the 'Downpour' gin range (a different brand name, gin only, out of scope here).
orkney	Orkney	distillery	GB-SCT	islands	highland	Orkney Distilling Ltd.	single malt	unknown			unverified	low	https://www.orkneydistilling.com/	IMPORTANT correction to this task's framing: Orkney Distilling Ltd's flagship 'Kirkjuvagr' name is GIN ONLY (confirmed via the official site's own product navigation: 'Kirkjuvagr Gin', 'Special Edition Gin') - it is NOT their whisky brand. Their actual whisky is sold as 'Fara' and 'Rysa' (both labelled Blended Malt Scotch Whisky, i.e. vatted from multiple distilleries' malt, not a single-distillery malt of their own), added below as separate kind=blend rows with real peat citations from the same official site. This distillery-level row is left peatProfile=unknown since the range spans both an unpeated line (Fara) and a lightly-peated one (Rysa) - never averaged, per this task's own sibling-brand rule. Collision safety: the catalogue's 'An Orkney'/'Cask Orkney'/"Probably Orkney's Finest" are Highland Park or undisclosed, NOT this company - alias kept brand-scope.
fara	Fara	blend	GB-SCT			Orkney Distilling Ltd.	blend	none			unverified	high	https://www.orkneydistilling.com/	Orkney Distilling Ltd's core Blended Malt Scotch Whisky, named for the uninhabited Orkney island of Fara. Official site describes it with sweet heather-honey, vanilla and spiced-apple notes; no peat mentioned, unlike its sibling Rysa.
rysa	Rysa	blend	GB-SCT			Orkney Distilling Ltd.	blend	light			unverified	high	https://www.orkneydistilling.com/	Orkney Distilling Ltd's peated Blended Malt Scotch Whisky, named for the uninhabited Orkney island of Rysa. Official site: 'Gentle peat smoke meets rich dried fruit and creme brulee sweetness, with hints of burnt leather and pepper' - a gentle/light peat, not a heavy one.
port-ellen	Port Ellen	distillery	GB-SCT	islay	islay	Diageo	single malt	heavy			unverified	high	https://www.malts.com/en-row/distilleries/port-ellen https://en.wikipedia.org/wiki/Port_Ellen_distillery	Diageo's own site (malts.com) describes it as having an 'elegant, peated coastal character' and calls the whisky 'prized for its rarity and refined peated character' - confirms peated but not an exact intensity. Classed 'heavy' rather than 'medium' on well-established historical consensus grouping it with Lagavulin/Caol Ila (same regional maltings/era) rather than Highland Park/Bowmore's medium tier - a reviewer may want a source with an explicit ppm figure. Closed 1983, reopened 2024; one of the most sought-after 'ghost distilleries' among independent bottlers for decades.
port-of-leith	Port of Leith	distillery	GB-SCT	lowland	lowland	Muckle Brig	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Port_of_Leith_distillery	UK's first vertical distillery (Edinburgh; opened to the public Oct 2023, but new-make production only began early 2024) - under the 3-year minimum, so no legal Scotch has been released yet to characterize.
pulteney	Pulteney	distillery	GB-SCT	highland	highland	Inver House Distillers	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Old_Pulteney_distillery	The distillery's own name is 'Pulteney' (est. 1826, Wick); 100% of its retail output is marketed as 'Old Pulteney'. An existing out/02/producer.tsv row already covers slug=old-pulteney (kind=distillery, no parentSlug, peatProfile=none/high) - this row is added alongside it so an independent bottler's cask labelled the bare distillery name 'Pulteney' (without 'Old') still resolves, exactly the Gordon & MacPhail Ledaig-style pattern this whole task targets. ARCHITECTURE NOTE for a human reviewer: ideally old-pulteney would carry kind=brand + parentSlug=pulteney to match the intended distillery/brand split (see this task's own worked example for Pulteney/Old Pulteney) - I have not edited that file, only flagged it here. Wikipedia: marketed 'The Genuine Maritime Malt', character attributed to sea-air exposure during maturation; no peat mentioned anywhere in the article.
raasay	Raasay	distillery	GB-SCT	islands	highland	R&B Distillers	single malt	light			unverified	high	https://www.raasaydistillery.com/ https://en.wikipedia.org/wiki/Isle_of_Raasay_distillery	Official site: the flagship single malt is 'Lightly peated and balanced with rich, dark fruit flavours' - a deliberate house style combining peated and unpeated new-make. First legal whisky released Sept 2020; the earlier 'While We Wait' releases (2017-2020) were independently-bottled previews, not the distillery's own matured spirit.
rosebank	Rosebank	distillery	GB-SCT	lowland	lowland	Ian Macleod Distillers	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Rosebank_distillery	Classic triple-distilled Lowland malt, historically dubbed 'King of the Lowlands'; Wikipedia describes its character as fruits, grasses and flowers, with no peat mention anywhere in the article. Closed 1993 (original stills stolen 2008/09), trademark and site acquired by Ian Macleod Distillers in 2017, rebuilt and reopened 2023. One of the most famous 'ghost distilleries' among independent bottlers for the decades it was closed.
saxa-vord	Saxa Vord	distillery	GB-SCT	islands	highland	Shetland Distillery Company	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Saxa_Vord_distillery	Wikipedia titles this article 'Saxa Vord distillery' but describes it as a GIN distillery (Unst, Shetland) releasing under the 'Shetland Reel' brand; a proposed single-malt whisky distillery announced in 2018 had not raised construction funding as of the article's 2022-sourced text, so it is unclear whether they now distil their own whisky at all - a reviewer may want to check for a post-2022 update. They separately released independently-bottled whisky under the Shetland Reel name in 2015, sourced from Glenglassaugh casks and finished on-site - not their own distillate, and possibly a one-off rather than an ongoing line. peatProfile left unknown since no own-distilled whisky (peated or not) is confirmed. See the 'Shetland Reel' alias below, pointed at this row for that reason.
stannergill	Stannergill	distillery	GB-SCT	highland	highland	Dunnet Bay Distillers	single malt	unknown			unverified	low		No dedicated Wikipedia article; parent company Dunnet Bay Distillers' official site (checked this session) shows only its established gin/vodka/rum range (Rock Rose Gin, Holy Grass Vodka, Mapmaker's Rum) with no live whisky operation or 'Stannergill' mention anywhere - consistent with a very early-stage or announced-only project. No basis for any peat claim.
stirling	Stirling	distillery	GB-SCT	lowland	lowland	June & Cameron McCann	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Stirling_distillery	Confirmed correct entity via the owner match (June and Cameron McCann). First whisky new-make run Oct 2023 - reported as the first whisky distilled in Stirling since 1852; no peat statement found. Currently better known for Stirling Gin (stocked in Co-op since 2024) than for its whisky, which may not yet be legally aged Scotch.
strathearn	Strathearn	distillery	GB-SCT	highland	highland	Douglas Laing & Co.	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Strathearn_distillery	Small craft distillery (2013), acquired by independent bottler Douglas Laing & Co in 2019 (first Strathearn single malt under the new ownership, 'The Heart', released 2022). Also blends a honey-based whisky. No peat statement found in the source checked.
strathmill	Strathmill	distillery	GB-SCT	speyside	speyside	Diageo	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Strathmill_distillery	Diageo Speyside malt distillery (Keith) whose output is used 'primarily for the production of blends such as J&B whisky' per Wikipedia; the article covers history/ownership only and states nothing about flavour or peat either way, so left unknown rather than assumed from Speyside/blending-component convention.
tiree	Tiree	distillery	GB-SCT	islands	highland	Tiree Whisky Company Ltd.	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Isle_of_Tiree_distillery	First single malt released Jan 2025 (matured across virgin oak, Heaven Hill bourbon and two oloroso sherry casks; 800 bottles); also makes gin, corn whisky and rye whisky. No peat statement found.
toulvaddie	Toulvaddie	distillery	GB-SCT	highland	highland	Heather & Bobby Nelson	single malt	unknown			unverified	low		No dedicated Wikipedia article; the official site (toulvaddiedistillery.com) answered 200 but rendered only script/style content on a plain-text fetch (JS-heavy site), so no citable content was retrieved. No information found on production status or peat.
uile-bheist	Uile-bheist	distillery	GB-SCT	highland	highland	Victoria and John Erasmus	single malt	unknown			unverified	low		No dedicated Wikipedia article beyond the list page (which places it in Inverness, Highland, matching the given region); no official site resolved under an obvious domain guess. Name is Scottish Gaelic for 'monster'. No information found on production status or peat.
8-doors	8 Doors	distillery	GB-SCT	highland	highland	Kerry and Derek Campbell	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/8_Doors_distillery	John O'Groats, Caithness; first spirit run 2022, officially opened by King Charles III in Aug 2023. No peat statement found in the Wikipedia article.
invergordon	Invergordon	distillery	GB-SCT			Whyte & Mackay	grain	none			unverified	high	https://en.wikipedia.org/wiki/Invergordon_distillery	Conventional column-still grain whisky distillery (Easter Ross; est. 1959, operating from 1961), feeding Whyte & Mackay blends alongside Tamnavulin. Grain whisky is produced from unmalted cereal via continuous distillation and is not peated. No official single-grain release from the owner, but independent bottlers (e.g. Signatory, Douglas Laing) commonly release single-cask 'Invergordon' single grain - exactly the gap this row exists to close.
reivers	Reivers	distillery	GB-SCT			Mossburn Distillers Ltd.	grain	none			unverified	high	https://mossburndistillers.com/reivers	Mossburn's own site contrasts its two distilleries directly: 'Torabhaig and Reivers are poles apart, sitting at opposite ends of the whisky-making spectrum' - Torabhaig makes 'an extremely characterful, peated new-make spirit', so Reivers (first Single Grain Scotch Whisky planned for 2020, Scottish Borders) is positioned as its unpeated opposite. Note: this URL currently returns HTTP 404 despite serving this real page content (a site-routing quirk on their end) - a human reviewer may want to re-check it lands correctly.
starlaw	Starlaw	distillery	GB-SCT			La Martiniquaise	grain	none			unverified	high	https://en.wikipedia.org/wiki/Starlaw_distillery	Large grain whisky distillery plus vatting/blending/bottling plant (Livingston, West Lothian; 25 million litres/year capacity) feeding La Martiniquaise's blends. Conventional column-still grain whisky, not peated.
strathclyde	Strathclyde	distillery	GB-SCT			Chivas Brothers	grain	none			unverified	high	https://en.wikipedia.org/wiki/Strathclyde_distillery	Wikipedia: 'there is no official bottling. However, the Scotch Malt Whisky Society and other independent bottlers have purchased and bottled some aged casks of this as Single Cask Single Grain whisky' - confirms real independent-bottler activity (the exact scenario this research batch targets) for this conventional, unpeated grain whisky distillery (Gorbals, Glasgow; est. 1927).
