aberargie	Aberargie	distillery	GB-SCT	lowland	lowland	Morrison Scotch Whisky Distillers	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Aberargie_distillery	Morrison family (ex-Morrison Bowmore: Auchentoshan/Glen Garioch/Bowmore) craft distillery, founded 2017, own heritage Golden Promise barley; inaugural single malt scheduled for release March 2026. No peat/smoke level stated anywhere fetched (Wikipedia article is history-focused).
abhainn-dearg	Abhainn Dearg	distillery	GB-SCT	islands	highland	Mark Tayburn	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Abhainn_Dearg_distillery	Isle of Lewis distillery (aka Red River distillery), operating since 2008; earliest release was 'Spirit of Lewis' before the current Abhainn Dearg-branded single malts. No peat/smoke level stated in Wikipedia's product list or the distillery's own site (fetched, JS-rendered, no extractable peat claim).
annandale	Annandale	distillery	GB-SCT	lowland	lowland	Annandale Distillery Company	single malt	unknown			unverified	high	https://en.wikipedia.org/wiki/Annandale_distillery	Distillery itself is never the bottling name: output is split into two differently-branded single-cask ranges, Man O' Words (unpeated, named for Robert Burns) and Man O' Sword (peated, named for Robert the Bruce) -- see those rows (parentSlug=annandale). peatProfile left unknown here since nothing is sold as plain 'Annandale'.
man-o-words	Man O' Words	brand	GB-SCT	lowland	lowland	Annandale Distillery Company	single malt	none	annandale		unverified	high	https://en.wikipedia.org/wiki/Annandale_distillery	Annandale's single-cask range named after Robert Burns. Wikipedia states explicitly '(unpeated) Man O' Words'.
man-o-sword	Man O' Sword	brand	GB-SCT	lowland	lowland	Annandale Distillery Company	single malt	medium	annandale		unverified	high	https://en.wikipedia.org/wiki/Annandale_distillery	Annandale's single-cask range named after Robert the Bruce. Wikipedia states explicitly '(peated) Man O' Sword' but does not quantify intensity beyond the peated/unpeated split with Man O' Words, so classified medium rather than heavy pending a tasting-note source.
arbikie	Arbikie	distillery	GB-SCT	highland	highland	Arbikie Highland Estate		unknown			unverified	low	https://en.wikipedia.org/wiki/Arbikie_distillery	Source list marks this 'malt' but Wikipedia's Products section only documents Arbikie 1794 Highland Rye (Scotland's first commercial rye whisky in 100+ years) alongside gin/vodka -- no single malt is described -- so defaultTypeName left empty rather than forced to 'single malt' (range may span types / may not include a malt at all). No peat/smoke level stated anywhere fetched.
ardgowan	Ardgowan	distillery	GB-SCT	lowland	lowland	Ardgowan Distillery Company	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Ardgowan_distillery	Original 1896 Ardgowan distillery in Greenock burned down in 1903 ('a river of flaming whisky'); modern distillery on Ardgowan Estate near Inverkip operating since 2016. No peat/smoke level found in the (history-focused) Wikipedia article.
ardross	Ardross	distillery	GB-SCT	highland	highland	Greenwood Distillers	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Ardross_distillery	Founded by master blender Andrew Rankin from 2015, ~GBP50m project, planning approved 2017. No peat/smoke level or distinct brand name found.
ballindalloch	Ballindalloch	distillery	GB-SCT	speyside	speyside	Ballindalloch Distillery LLP	single malt	none			unverified	high	https://web.archive.org/web/20250317171544/https://www.whisky.com/whisky-database/distilleries/details/ballindalloch.html https://en.wikipedia.org/wiki/Ballindalloch_distillery	Archived whisky.com page quotes distillery manager Colin Poppy: the intended style 'is not smoky, but strong and expressive'. Scotland's first single-estate distillery (own barley, own maturation).
balmaud	Balmaud	distillery	GB-SCT	highland	highland	Balmaud Distillery Co. Ltd.	single malt	unknown			unverified	low	https://balmauddistillery.com/	Official site (fetched) carries only marketing copy ('Nothing Wasted, Nothing Rushed, Nothing Ordinary'); no peat/smoke claim, and no Wikipedia article exists yet. Very new, obscure operation.
balmenach	Balmenach	distillery	GB-SCT	speyside	speyside	Inver House Distillers	single malt	none			unverified	high	https://web.archive.org/web/20160821181545/https://www.whisky.com/whisky-database/distilleries/details/fdb/Distilleries/Details//balmenach.html https://scotchwhisky.com/whiskypedia/1817/balmenach/	Archived whisky.com: 'The whiskies of Balmenach are rather fruity and not peated, which is very typical for a Speyside distillery... The malt of the Balmenach distillery is always unpeated.' scotchwhisky.com confirms Inver House has no plans to release it as a single malt at all -- almost everything on the market is via independent bottlers (Gordon & MacPhail, Douglas Laing).
ben-cumhaill	Ben Cumhaill	distillery	GB-SCT	lowland	lowland	Simpson family	single malt	unknown			unverified	low	https://bencumhaill.com/	Official site (fetched) describes a small-batch triple-distilled single malt/single cask project near Dumfries; founders 'one Scottish, one Irish' drawing on 'Irish and Scottish whisky making traditions' (triple distillation is an Irish-style choice, but no explicit peated/unpeated statement was made). No Wikipedia article; the site's own target opening was 2023, current status unconfirmed.
benbecula	Benbecula	distillery	GB-SCT	islands	highland	Angus A. MacMillan	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Benbecula_Distillery	First spirit flowed June 2024; first bottling not expected until 2029. Wikipedia (Times, 2024) says production uses 'local peat and heather... in the process' alongside bere barley, but does not say this is peated malt/kilning versus some other use of peat, and the intended profile is described only as 'classically maritime'. Left unknown rather than guessing an intensity from that one ambiguous phrase -- flagged for reviewer to re-check once the whisky is actually released.
