river-queen	River Queen	blend	XX					unknown			unverified	unknown		Catalogue supplied no type/country guess; no web presence found. Own-label, origin unclear.	river queen	1	River Queen
robert-burns	Robert Burns	blend	GB-SCT			Isle of Arran Distillers	blend	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Tribute blend licensed by the World Federation of Robert Burns Clubs, produced by Isle of Arran Distillers; treated as an ordinary unpeated blended Scotch, not independently re-verified this pass.	robert burns	1	Robert Burns
royal-canadian	Royal Canadian	blend	CA				blend	none			unverified	low	https://en.wikipedia.org/wiki/Canadian_whisky	Brand not independently confirmed beyond the category (no hits found); Canadian whisky category default (conventionally a blend, conventionally unpeated) applied.	royal canadian	1	Royal Canadian Small Batch
saint-bernard	Saint Bernard	blend	XX				blend	unknown			unverified	unknown		No web presence found; own-label, origin unclear. Catalogue's own country guess was blank.	saint bernard	1	Saint Bernard
sakurao	Sakurao	distillery	JP			Sakurao Brewery and Distillery Co., Ltd		unknown			unverified	unknown	https://en.wikipedia.org/wiki/Japanese_whisky	Hiroshima Prefecture distillery, distillation started October 2018; range includes gin as well as whisky, peat level not confirmed this session.	sakurao	1	Sakurao
scots-earl	Scots Earl	blend	GB-SCT					none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No independent web presence found; treated as an ordinary own-label blended Scotch at the category default (peat/smoke concentrated in Islay per cited page).	scots earl	1	Scots Earl
scottish-glory	Scottish Glory	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Blended_whiskey	No web presence found (single product). Own-label blended Scotch pattern, category default applied per the brief's long-tail rule.	scottish glory	1	Scottish Glory
scottish-hunter	Scottish Hunter	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found; treated as an ordinary own-label blended Scotch per budget policy.	scottish hunter	1	Scottish Hunter Oak Aged
shefford-manor	Shefford Manor	blend	GB-ENG					unknown			unverified	low		Not researched (budget). "Shefford" is a town in Bedfordshire, England; countryCode inferred from the name only.	shefford manor	1	Shefford Manor Old
shenks	Shenk's Homestead	brand	US			Michter's Distillery		none	michters		unverified	low	https://thebourbonconcierge.com/collections/michters	'Shenk's Homestead' is a Michter's Kentucky Straight Sour Mash Whiskey bottling; defaultTypeName left empty since sour mash whiskey is not one of the closed category values. American whiskey, no peat. parentSlug=michters expected to be seeded by another batch (well-known US heritage distillery brand) -- not created here.	shenks	1	Shenk's Homestead Sour Mash
