powers-johns-lane	Powers John's Lane	brand	IE			Irish Distillers (Pernod Ricard)	single pot still	none	midleton		unverified	low	https://en.wikipedia.org/wiki/Whisky	Historic Powers brand's flagship pot-still expression, distilled at Midleton. 'midleton' is a well-known Irish distillery slug that another batch will very likely emit (home of Jameson/Redbreast/Midleton Very Rare) -- not created in this file to avoid a low-value duplicate. Category default applied for peat.	powers johns lane	3	Powers John's Lane
prologue	Prologue	blend	GB-SCT				blend	unknown			unverified	unknown		No web presence found (no Wikipedia page, no resolvable official site) despite three samples in this batch (Bourbon Casks, Peated Small Batch No.2, Selected Casks) suggesting a small/single-cask-style range. See rule.tsv for the "Peated" exception, evidenced directly by the product's own name rather than an external source.	prologue	3	Prologue Bourbon Casks ; Prologue Peated Small Batch №2 ; Prologue Selected Casks
rabbit-hole	Rabbit Hole	distillery	US			Pernod Ricard		none			unverified	low	https://www.rabbitholedistillery.com/	Louisville, KY distillery; Core Four line (Cavehill, Heigold, Dareringer, Boxergrail) spans bourbon and a 95%-rye whiskey (Boxergrail), so defaultTypeName left empty. Official site describes mashbills with no peated malt; American whiskey mash bills do not use peat, but no source explicitly states "unpeated", hence confidence=low.	rabbit hole	3	Rabbit Hole Boxergrail ; Rabbit Hole Cavehill ; Rabbit Hole Heigold
redwood-empire	Redwood Empire	distillery	US					none			unverified	low	https://redwoodempirewhiskey.com/	Northern California craft whiskey producer. Official site (fetched this session) confirms "Emerald Giant" as a rye whiskey; range also spans bourbon and a "Foggy Burl Single Malt", so defaultTypeName is left empty. No peat/smoke mentioned anywhere on the fetched page; rye/bourbon mashbills do not use peated malt by convention.	redwood empire	3	Emerald Giant Rye Redwood Empire ; Lost Monarch Blend Redwood Empire ; Pipe Dream Redwood Empire
river-proof-series	River Proof Series	blend	XX					unknown			unverified	unknown		Could not identify this brand (WebSearch budget exhausted, no working URL found via WebFetch). All 3 sample names are just "River Proof Series" with no other descriptor - flagged for a human reviewer with search access; "Proof" naming hints at American whiskey but this is a guess, not asserted in any field.	river proof series	3	River Proof Series
royal-stag	Royal Stag	blend	IN			Pernod Ricard	blend	none			unverified	low	https://en.wikipedia.org/wiki/Royal_Stag https://www.pernod-ricard.com/en/brands/royal-stag	Catalogue brand string for this row is "Seagram's Gin" but the sample product is "Seagram's Royal Stag Deluxe" - an Indian whisky (blend of grain spirits + imported Scotch malts), not a gin; almost certainly a shop miscategorisation. Row created for the actual (whisky) product; exact "Seagram's Gin" catalogue string aliased here - FLAG FOR HUMAN REVIEW. No explicit peat statement; inferred unpeated	royal stag|seagrams gin|seagrams royal stag|seagrams royal stag deluxe	3	Royal Stag Deluxe ; Seagram's Royal Stag Deluxe
ry3	RY3	blend	XX					unknown			unverified	unknown		Catalogue samples (Cigar Series, Cask Strength, Madeira Cask Strength) suggest a small craft/private rye-style label. No Wikipedia page or other citable source found this session; country and category undetermined.	ry3	3	RY3 Cask Cask Strength ; RY3 Cigar Series ; RY3 Madeira Cask Strength
seagrams	Seagram's	blend	CA			Sazerac Company	blend	none			unverified	low	https://en.wikipedia.org/wiki/Seagram https://en.wikipedia.org/wiki/Sazerac_Company https://en.wikipedia.org/wiki/Canadian_whisky	Models "Seagram's V.O." Canadian whisky. Wikipedia: "Seagram's V.O. is produced by Sazerac" following the 2000 break-up of the original Seagram company (assets split between Diageo, Pernod Ricard and others). The sample "100 Pipers 1970's (Seagram's)" is a different, Pernod-Ricard-India-owned Scotch blend that merely carries the historical Seagram name in some listings; not modeled by this row.	seagrams	3	100 Pipers 1970's (Seagram's) ; Seagram's VO
secret-orkney	Secret Orkney	blend	GB-SCT	islands	highland			unknown			unverified	low		Undisclosed-distillery label per brief rule 3 (same pattern as "Probably Orkney's Finest"/"Secret Speyside") - likely sourced from Highland Park or Scapa but deliberately not guessed. Region is stated by the brand name itself (Orkney).	secret orkney	3	Secret Orkney Lacryma Christi ; Secret Orkney Madera ; Secret Orkney Refill Sherry
spirit-of-voodoo	Spirit of Voodoo	blend	XX					unknown			unverified	unknown		Catalogue brand string is "Whisky of Voodoo" but every sampled product actually reads "Spirit of Voodoo ..." - modelled under the real product-line name with both spellings aliased. Could not identify the producer/country (WebSearch budget exhausted; the guessed domain spiritofvoodoo.com does not resolve). Flagged for a human reviewer.	spirit of voodoo|whisky of voodoo	3	Spirit of Voodoo Blood Moon ; Spirit of Voodoo Mask of Death II ; Spirit of Voodoo The Dancing Cultist II
stronachie	Stronachie	blend	GB-SCT				blend	unknown		dewar-rattray	unverified	low		Dewar Rattray's own recreated blended-malt brand, named after a long-closed distillery not present in the Wikipedia operating-distilleries authority file; no further citation found this session.	stronachie	3	Dewar Rattray Stronachie ; Dewar Rattray Stronachie Small Batch
