beverbach	Beverbach	blend						unknown			unverified	unknown		No web presence found: Wikipedia search returned zero hits (only suggested 'Bieberbach'), and guessed official domains (beverbach.de/.com) failed to resolve/connect. Name suggests a German/European craft origin given the cask-finish naming (Tri Cask, Sherry Cask, Tequila Cask, Mizunara Cask, Craftbeer Cask) but this is entirely unconfirmed.	beverbach	5	Beverbach Craftbeer Cask Finish ; Beverbach Mizunara Cask Finish ; Beverbach Sherry Cask Finish ; Beverbach Tequila Cask Finish ; Beverbach Tri Cask
breckenridge	Breckenridge Distillery	distillery	US				bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Colorado craft distillery, confirmed via Wikipedia as a cask supplier to Kilchoman and an award-winning aquavit producer; bourbon-based range (Blend, Rum/PX/Port cask finishes, Distiller's High Proof). No peat indication found; American whiskey is not traditionally peat-kilned per cited page.	breckenridge	5	Breckenridge Blend ; Breckenridge Distiller's High Proof ; Breckenridge Port Cask Finish ; Breckenridge PX Cask Finish ; Breckenridge Rum Cask
chichibu	Chichibu	distillery	JP			Venture Whisky Ltd	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Chichibu_distillery https://88bamboo.co/blogs/brand-spotlights/the-story-of-how-the-little-chichibu-distillery-came-to-be-the-most-sought-after-japanese-whisky-in-the-world-part-2	Runs both peated (~45ppm, about a quarter of the year) and unpeated (~three quarters) malt, and often vats both together in one release; no reliable per-bottling signal from names alone ("On The Way", "Paris Edition", "Red Wine Cask"), so left unknown rather than guessed	chichibu	5	Chichibu Distillery II ; Chichibu On The Way 2024 ; Chichibu Paris Edition 2024 ; Chichibu Paris Edition 2025 ; Chichibu Red Wine Cask
clan-denny	Clan Denny	blend	GB-SCT			Douglas Laing & Co		none		douglas-laing	unverified	low	https://www.douglaslaing.com/en-us/products/clan-denny-highland-single-malt https://www.douglaslaing.com/en-us/products/clan-denny-speyside-single-malt	Douglas Laing's regional "Remarkable Regional Malts" range - single-cask/small-batch bottlings labelled by region (Islay, Highland, Speyside, and others). Some regions are sold as single malt, others as blended malt on Douglas Laing's own site, which this batch's plain "Clan Denny Islay/Highland/Speyside" sample names cannot disambiguate - defaultTypeName left empty. Baseline set to unpeated for the Highland/Speyside editions (not explicitly confirmed for those two individually); the Islay edition is a heavily peated exception - see rule row.	clan denny	5	Cambus 1988 Clan Denny (Douglas Laing) ; Clan Denny Highland ; Clan Denny Islay ; Clan Denny Speyside ; Port Dundas 1990 Clan Denny (Douglas Laing)
crazy-charley	Crazy Charley	blend						unknown			unverified	low		Very little web presence found beyond an EU retailer (WineStyle) listing "Sour Mash", "Black Label" and "White Label" variants, suggesting an American-style whiskey, but no distillery, owner or country could be confirmed.	crazy charley	5	Crazy Charley ; Crazy Charley Black Label ; Crazy Charley Sour Mash ; Crazy Charley White Label
finlaggan	Finlaggan	blend	GB-SCT	islay	islay	The Vintage Malt Whisky Co. Ltd	single malt	unknown			unverified	low		Kind=blend per the brief's own example (no single distillery of origin disclosed). Widely known in the trade as a heavily peated Islay-style whisky from an undisclosed source distillery -- this batch's own samples include "Finlaggan Original Peaty" -- but every citation attempt this session failed (403/404, and the dedicated web search was queued exactly when the shared session search budget ran out). peatProfile is therefore left unknown rather than asserted from recall alone; a human reviewer should resolve this one specifically, it is very likely "heavy".	finlaggan	5	Finlaggan Eilean Mor ; Finlaggan Original Peaty ; Finlaggan Red Wine Cask ; Finlaggan Red Wine Cask Matured ; Finlaggan Sherry Finished
fuyu	Fuyu	blend	XX					unknown			unverified	unknown		Could not identify this brand: WebSearch budget was exhausted early in this session and no working URL could be guessed for it via WebFetch. Sample names ("Fuyu Mizunara", "Fuyu Sochu Small Batch Barley") suggest a Japanese-styled malt but this is unconfirmed. 5 products - flagged for a human reviewer with search access.	fuyu	5	Fuyu ; Fuyu Barley ; Fuyu Mizunara ; Fuyu Mizunara Finish ; Fuyu Sochu Small Batch Barley
glen-angel	Glen Angel	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found for this exact brand; "Glen"-prefixed name strongly suggests a generic/own-label Scotch blend for this market (4 products, all just "Glen Angel" with no descriptors). Treated per the long-tail own-label default: ordinary blended Scotch is conventionally unpeated.	angel|glen angel	5	Glen Angel
glen-scanlan	Glen Scanlan	blend	GB-SCT					unknown			unverified	low		No web presence found (official site, Wikipedia). "Glen-" naming convention suggests an own-label Scotch blend/vatting, common for private retail labels. Also appears inside a "Slaur Sardet Glen Scanlan" sample (see slaur-sardet row); relationship between the two brand strings is unclear.	glen scanlan	5	Glen Scanlan
glen-silvers	Glen Silver's	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No dedicated source found (Wikipedia search returned zero hits). 'Glen'-prefixed own-label naming strongly suggests an ordinary blended/vatted Scotch; treated per category convention.	glen silvers	5	Glen Silver's
glenshiel	Glenshiel	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found (own-label, no Wikipedia page, retailer sites blocked). Treated as an ordinary blended Scotch per the own-label default; see glen-talloch note for the peat citation rationale.	glenshiel	5	Glenshiel
islay-mist	Islay Mist	blend	GB-SCT					unknown			unverified	low		Long-established Islay-malt blend (historically linked to the Laphroaig-owning Johnston/Fergusson family); one catalogue sample is literally named Islay Mist Original Peated Blend. No Wikipedia article exists and the current owner (believed MacDuff International) could not be confirmed this session, so peat level is left unknown rather than guessed. Flag for reviewer, plausibly non-zero (medium?) peat.	islay mist	5	Islay Mist ; Islay Mist Deluxe ; Islay Mist Original ; Islay Mist Original Peated Blend
milam-greene	Milam & Greene	blend	US			Milam & Greene Whiskey		none			unverified	low	https://thewhiskeywash.com/bourbon/texas-milam-greene-whiskey-brings-forth-its-first-limited-edition-whiskey/ https://milamandgreenewhiskey.com/distillery-edition-bourbon/	Blanco, Texas whiskey house (own stills plus Kentucky-sourced/blended stock, "Texification" secondary aging); bourbon/rye/blend range so defaultTypeName left empty. Standard corn/rye/malted-barley mash bills; "none" is inferred from American-whiskey convention rather than an explicit statement, hence confidence low.	milam greene	5	Milam&Greene Port Cask Finish Rye ; Milam&Greene PXVery Small Batch ; Milam&Greene Single Barrel ; Milam&Greene Triple Cask Strength ; Milam&Greene Unabridged Blend
o-neills	O'Neill's	blend	IE				blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	No dedicated source found. Irish-surname branding with cask-finished Rum/Port/Sherry variants strongly suggests an own-label Irish blend. Peat via the Irish-whiskey category source.	o neills|oneills	5	O'Neills ; O'Neills Port Cask Finished ; O'Neills Rum Cask Finished ; O'Neills Sherry Cask Finished ; O'Neills Smooth Blend
paddy	Paddy	blend	IE			Sazerac Company	blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_Distillers	Brand sold by Irish Distillers/Pernod Ricard to Sazerac in 2016; production continues under contract at Midleton. No explicit peat statement found; inferred from standard Irish blend convention	paddy	5	Paddy ; Paddy Old
scottish-collie	Scottish Collie	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	Own-label budget blend, no web presence found. Peat=none per ordinary-blend category norm. Samples include a "Skottish Collie" misspelling, added as a bonus alias.	scottish collie|skottish collie	5	Scottish Collie ; Skottish Collie
sir-pitterson	Sir Pitterson	blend	GB-SCT				blend	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Own-label style blend, no independent web presence found; treated as an ordinary unpeated blended Scotch per brief long-tail default, not brand-verified.	sir pitterson	5	Sir Pitterson ; Sir Pitterson Premium
antiquary	Antiquary	blend	GB-SCT			Tomatin Distillery Company	blend	none			unverified	low	https://en.wikipedia.org/wiki/Tomatin_distillery	Own blended-Scotch brand of Tomatin Distillery Co (alongside Talisman). Tomatin's own house style is one of the least-peated Highland malts, so the blend is inferred unpeated; no source found stating this directly for Antiquary itself.	antiquary|the antiquary	4	Antiquary ; Antiquary Red
bagots	Bagots	blend	XX					unknown			unverified	unknown		Catalogue spells it "BAGOTS" (Grain Game, Madeira Cask, Triple Batch, White Moscatel Cask -- cask-finish naming typical of small-batch/craft bottlings). No Wikipedia page or other citable source found; country and category could not be determined this session.	bagots	4	BAGOTS Grain Game ; BAGOTS Madeira Cask ; BAGOTS Triple Batch ; BAGOTS White Moscatel Cask
black-bull	Black Bull	blend	GB-SCT			Duncan Taylor	blend	none			unverified	low	https://en.wikipedia.org/wiki/Duncan_Taylor_(company)	Listed as "Blended Scotch Whisky" among Duncan Taylor's own brands. Core range (Black Bull, Kyloe, Kyloe Sherry Finish) unpeated; a separate "Peated" variant exists (see rule.tsv).	black bull	4	Black Bull ; Black Bull Kyloe ; Black Bull Kyloe Sherry Finish ; Black Bull Peated Finish
carpathian	Carpathian	blend	XX					unknown			unverified	unknown		Could not identify producer or country of origin, no Wikipedia presence, no locatable official site found this session. Sample names (Shiraz, Palo Cortado cask finishes) suggest a wine-cask-finished whisky, possibly a market-exclusive brand. Flag for reviewer.	carpathian	4	Carpathian Palo Cortado ; Carpathian Shiraz
cattos	Catto's	blend	GB-SCT			Inver House Distillers	blend	none			unverified	low	https://en.wikipedia.org/wiki/Blended_whiskey	Standard blended Scotch; owner (Inver House Distillers/International Beverage) is from general trade knowledge, NOT confirmed by a citation opened this session (the Inver House Distillers Wikipedia article I fetched does not actually mention Catto's by name) -- flag for reviewer to verify ownership independently. peatProfile=none is a category default for an ordinary blend (grain-whisky-led per the Blended whiskey article), not a Catto's-specific citation.	cattos	4	Cattos ; Catto's Deluxe
clan-macgregor	Clan MacGregor	blend	GB-SCT				blend	none			unverified	low	https://www.totalwine.com/spirits/scotch/blended-scotch/clan-macgregor-blended-scotch-whisky/p/2736750	Blend of 15 malt and grain whiskies; no explicit peat statement, inferred unpeated from "delicate sweet, smooth mellow" tasting description with no smoke mentioned. Owner commonly associated with Whyte & Mackay in trade chatter but not confirmed via a source actually opened, left empty	clan macgregor	4	Clan MacGregor
