early-times	Early Times	blend	US				bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Canadian_Mist	Kentucky bourbon brand sold by Brown-Forman to Sazerac in 2020 alongside Canadian Mist; the cited page confirms that sale. Bourbon does not use peated malt. Row added during the P1.7 cross-check: agent 17 emitted the alias but no producer, which the merge reported as a dangling reference.	early times	1	Early Times
easy-rider	Easy Rider	blend						unknown			unverified	unknown		No identifiable web presence found for this exact brand; single-product own label, left fully unresolved.	easy rider	1	Easy Rider
ecosse-g	Ecosse G	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found this session ("Ecosse" = French for Scotland, likely an export-market own-label); assumed ordinary blend per budget guidance.	ecosse g	1	Ecosse G
fitzwilliam	Fitzwilliam	blend	IE				blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	No web presence found (single product). Named for Dublin's Fitzwilliam Square; treated as an Irish-themed own-label blend, category default applied.	fitzwilliam	1	Fitzwilliam
flannigans	Flannigans	blend	IE				blend	none			unverified	low	https://www.masterofmalt.com/blog/post/peated-irish-whiskey-a-lost-tradition-reignited/	No brand-specific source found; "Irish Blend" per catalogue sample name. peatProfile=none is a category-level inference (unpeated is the entrenched default style of Irish whiskey per the cited source), not a brand-specific confirmation - flagged for review	flannigans	1	Flannigans Irish Blend
fuji	Fuji	distillery	JP			Kirin Holdings (Kirin Distillery Company)		none			unverified	low	https://en.wikipedia.org/wiki/Fuji_Gotemba_distillery https://www.kirinholdings.com/en/newsroom/release/2025/0508_01.pdf	Flagship consumer brand of Fuji Gotemba Distillery (foot of Mt Fuji, Shizuoka), launched 2020; range spans Single Grain/Single Malt/Single Blended, defaultTypeName left empty accordingly. No peat mentioned in any source; the distillery is not known for peated production.	fuji	1	Fuji
galtee-mountain-boy	The Galtee Mountain Boy	blend	IE					unknown			unverified	low		Named after the Irish folk ballad (confirmed on Wikipedia, which covers only the song, not a whiskey brand); assumed Irish whiskey from the name but the brand/producer itself is unconfirmed	galtee mountain boy|the galtee mountain boy	1	The Galtee Mountain Boy
glant-bernard	Glant Bernard	blend	XX					unknown			unverified	unknown		Could not identify this brand within the research budget (possibly an own-label or a transliteration artifact); left entirely unknown.	glant bernard	1	Glant Bernard
glen-barley	Glen Barley	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	"Glen Barley №3", single product, generic "Glen"-prefixed own-label name typical of this market's cheap Scotch blends - treated per the long-tail own-label default.	glen barley	1	Glen Barley №3
glen-broch	Glen Broch	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No distillery of this name appears in the Scottish-distilleries authority file. Generic Scotch-sounding own-label name, likely a discount-retail blended Scotch (cf. Aldi's 'Glen Marnoch') - not verified via a fetched source this session. peatProfile via general blend-character inference.	glen broch	1	Glen Broch
glen-clan	Glen Clan	blend	GB-SCT			Glen Turner	blend	unknown			unverified	low		Legal producer "Glen Turner" per this project's own be/CLAUDE.md, read directly off a real alcomag/winebutik detail page's "Виробник" field (first-party scrape evidence, not a URL fetched this session, hence no sourceUrls here). This batch's only sample, "Glen Clan Smoky Peated Blend", names its own peat character directly in the product name -- captured as a rule below; base/default peatProfile left unknown since no non-smoky expression is evidenced.	glen clan	1	Glen Clan Smoky Peated Blend
