goalong	Goalong	blend	XX					unknown			unverified	unknown		Believed from general trade knowledge to be a Chinese whisky producer (Goalong Distillery, Hunan), but this was not confirmed via any source actually opened — all searches came back empty. China (CN) has no code in the closed country list, so XX is used rather than guessing a listed code.	goalong	3	Goalong Bourbon Barrel ; Goalong Bourbon Barrel&Brandy cask ; Goalong GB
green-spot	Green Spot	brand	IE			Mitchell & Son	single pot still	none	midleton	mitchell-son	unverified	low	https://en.wikipedia.org/wiki/Green_Spot https://en.wikipedia.org/wiki/Irish_whiskey	Wikipedia (disambiguation) confirms "an Irish pot still whiskey". Distilled at Midleton, owned/bottled by Mitchell & Son. Peat=none per Irish pot still/general category norm.	green spot|mitchells green spot	3	Mitchells Green Spot
hakushu	Hakushu	distillery	JP			Suntory	single malt	light			unverified	low	https://en.wikipedia.org/wiki/Hakushu_distillery	Suntory's "forest distillery" in Yamanashi. Source lists a "Heavily Peated" 2013 limited series as distinct from the core range (which includes the "Distiller's Reserve" in this batch's sample), implying the standard range is milder - but the source does not explicitly grade the core range's own peat level, so this is an inference. Recorded as light with low confidence rather than none, since Hakushu's standard style is commonly described as having a faint smokiness distinct from Yamazaki's unpeated style.	hakushu|the hakushu	3	Hakushu ; Hakushu Distiller's Reserve ; The Hakushu Suntory Distiller's Reserve
hardenberg	Hardenberg	blend	DE			Hardenberg-Wilthen AG		none			unverified	low	https://en.wikipedia.org/wiki/Hardenberg-Wilthen	Hardenberg-Wilthen AG is a confirmed German distiller (Norten-Hardenberg/Wilthen) primarily known for Korn/liqueurs; its Wikipedia page does not specifically describe a "Hardenberg" whisky line, so identification with this catalogue brand is not fully confirmed this session. "Straight Malt"/"Straight Wheat" variants mean defaultTypeName spans types. German whisky has no peat tradition (low confidence, category-level).	hardenberg	3	Hardenberg ; Hardenberg Straight Malt ; Hardenberg Straight Wheat
hatozaki	Hatozaki	blend	JP					unknown			unverified	unknown		Japanese blended/blended-malt whisky (believed Kaikyo Distillery/Akashi, per general knowledge); no Wikipedia article found this session (0 search hits) and no official-site fetch attempted after repeated API rate-limiting. Left unresearched, flag for another pass.	hatozaki	3	Hatozaki ; Hatozaki Kaikyo ; Hatozaki Triple Cask Reserve
hellyers-road	Hellyers Road	distillery	AU			Hellyers Road Distillery (Betta Milk)	single malt	none			unverified	low	https://en.wikipedia.org/wiki/Hellyers_Road	Tasmanian (Burnie) distillery founded 1997 by Betta Milk dairy farmers. No peat/smoke mentioned in its Wikipedia profile -- treated as unpeated on absence of a statement rather than an explicit claim, hence low confidence.	hellyers road	3	Hellyers Road ; Hellyers Road Aurora Australis ; Hellyers Road Original Roaring s Tasmania
inchmurrin	Inchmurrin	brand	GB-SCT	highland	highland	Loch Lomond Group	single malt	unknown	loch-lomond		unverified	low	https://en.wikipedia.org/wiki/Loch_Lomond_distillery	Loch Lomond distillery's own-named single malt brand (12 Year Old etc., per Wikipedia's product list). Whisky literature widely describes Inchmurrin as the unpeated/fruity style contrasted with peated sibling Inchmoan, but three fetches this session (Wikipedia raw text, lochlomondgroup.com, a scotchwhisky.com attempt) found no explicit peat statement, so left unknown rather than assert from memory. REVIEWER FLAG: likely 'none' if independently confirmed -- do not average with Inchmoan/Croftengea (heavily peated siblings, not in this batch).	inchmurrin	3	Hart Brothers Inchmurrin Port Pipe ; Inchmurrin 1975 ; Loch Lomond Inchmurrin
james-king	James King	blend					blend	unknown			unverified	unknown		No web presence found; own-label, product name itself says "Blend"	james king	3	James King Blend
jeffersons-ocean	Jefferson's Ocean	blend	US			Pernod Ricard	bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Non-distiller-producer bourbon aged/finished at sea; ownership (Pernod Ricard, via Castle Brands/Jefferson's Bourbon Co. since 2019) from general knowledge, not re-verified with a fresh citation this session -- only the general Whisky article backs the peat=none category claim.	jeffersons ocean	3	Jefferson's Ocean
journeyman-distillery	Journeyman Distillery	distillery	US			Journeyman Distillery		none			unverified	low	https://www.journeyman.com/spirits/featherbone-bourbon/	Craft distillery in Three Oaks, Michigan (est. 2011); organic-grain bourbon and rye. No peat/smoke found in any product description; American craft grain whiskey, malted-barley peating essentially never used. defaultTypeName left empty (range spans bourbon/rye).	journeyman|journeyman distillery	3	Journeyman Distillery Corsets Whips& ; Journeyman Distillery Featherbone ; Journeyman Distillery Not a King Rye
