slaur-sardet	Slaur Sardet	blend	XX					unknown			unverified	low		No web presence found this session. One of its own two sample names is "Slaur Sardet Glen Scanlan" (see glen-scanlan row) -- possibly an importer/retailer label bundling other own-brand whiskies rather than a single coherent brand; unconfirmed.	slaur sardet	2	Slaur Sardet Glen Scanlan ; Slaur Sardet River Queen
spey-river	Spey River	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No brand-specific source found. Name invokes the River Spey/Speyside but region left empty since actual sourcing is unconfirmed; treated as ordinary blended Scotch per category convention.	spey river	2	Spey River Bourbon Cask ; Spey River Sherry Cask
st-kilian	St Kilian	distillery	DE			St. Kilian Distillers		unknown			unverified	low	https://en.wikipedia.org/wiki/German_whisky	Founded 2014 in Rüdenau, Bavaria, Germany. Catalogue lists both "St.Kilian Classic" and "St.Kilian Peated" — could not confirm which is the true baseline or the peated variant's level; producer's own site was unreachable (TLS certificate mismatch on st-kilian-distillers.com) and no other source with the detail was found. Flagged for reviewer; no rule added for the Peated variant given the lack of a citation.	st kilian	2	St.Kilian Classic ; St.Kilian Peated
stag-hunter	Stag Hunter	blend	GB-SCT					unknown			unverified	low		Own-label blend ("Special Reserve"), no web presence found this session.	stag hunter	2	Stag Hunter Special Reserve
terence-hill	Terence Hill	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	Likely a celebrity/novelty Scotch blend (named for actor Terence Hill, popular in the German market) bottled for export; not verified this session, treated as an ordinary blend per budget guidance.	terence hill	2	Terence Hill The Hero
the-busker	The Busker	blend	IE					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Irish whiskey brand (believed Royal Oak Distillery); ownership not independently confirmed this session, no Wikipedia article found. Peat rare outside Scotland per cited page.	busker|the busker	2	Busker ; Busker Triple Cask Triple Smooth
the-dead-rabbit	The Dead Rabbit	blend	IE					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Irish whiskey blend named for the 1850s NYC gang / present-day NYC bar. No distillery/ownership citation found this session. Category default applied (Irish whiskey almost always unpeated, Connemara being the well-known exception).	the dead rabbit	2	The Dead Rabbit
the-glenlee	The Glenlee	blend	GB-SCT			Aceo Spirits	blend	none			unverified	low	https://www.passionforwhisky.com/en/whisky/scotch-whisky/blended-whisky/40110-the-glenlee.html https://www.whiskymag.com/articles/aceo-spirits-releases-a-special-blend-to-celebrate-the-125th-birthday-of-the-tall-ship-glenlee/	Named for the historic Glasgow tall ship, NOT related to Glenlivet - verified as a distinct brand. 40% malt/60% grain blend by Aceo Spirits (parent of independent bottler Murray McDavid). No explicit peat statement; inferred unpeated from tasting notes (malty, honeyed, spiced oak, orange zest, vanilla, toffee) with no smoke mentioned	glenlee|the glenlee	2	The Glenlee
tokinoka	Tokinoka	brand	JP			Eigashima Shuzo Co., Ltd.		unknown	eigashima		unverified	low		Sample name "Eigashima Shuzo Tokinoka White Oak Distillery" is strong self-evidence that Tokinoka is a label of Eigashima Shuzo's White Oak (Akashi) distillery - Eigashima Shuzo's existence and operation of White Oak was confirmed via Wikipedia (see the eigashima row), but that source does not mention "Tokinoka" by name or discuss peat, so left without its own sourceUrls and peatProfile=unknown rather than assumed.	tokinoka	2	Eigashima Shuzo Tokinoka White Oak Distillery ; Tokinoka Black
vulson	Vulson	blend	XX					unknown			unverified	unknown		Samples ("Rhino's Pastoral", "Old Rhino Rye Spirit") -- the "Spirit" wording may mean this does not even meet whisky's minimum-aging definition (an EU "spirit drink" rather than whisky). No web presence found; country/category undetermined, flagging for reviewer attention.	vulson	2	Vulson Old Rhino Rye Spirit ; Vulson Rhino's Pastoral
wilson	Wilson	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found this session; assumed ordinary own-label blended Scotch per budget guidance.	wilson	2	Wilson
wolfe-tone	Wolfe Tone	blend	IE					unknown			unverified	low		Named for the Irish revolutionary; catalogue has both a "single malt" (Beara) and a "blend" (Rich Blend Beara) variant of this brand, so defaultTypeName is left empty and kind is kept as blend (undisclosed single distillery of origin) rather than asserting one. No web presence found this session; "Beara" suggests a West Cork-area connection but this is unconfirmed, so no owner/parentSlug is guessed.	wolfe tone	2	Wolfe Tone Beara ; Wolfe Tone Rich Blend Beara
woody-creek	Woody Creek Distillers	distillery	US					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Basalt, Colorado craft distillery; identity confirmed only via Wikipedia search snippets (William H. Macy and Alberta Premium articles mention it as a Colorado Straight Rye Whiskey producer), no dedicated article opened directly. No peat indication.	woody creek|woody creek distillers	2	Woody Creek Distillers Colorado ; Woody Creek Distillers Colorado Rye
yamazakura	Yamazakura	blend	JP			Sasanokawa Shuzo	blend	none			unverified	low	https://www.masterofmalt.com/whiskies/yamazakura/yamazakura-blended-whisky/ https://www.thewhiskyexchange.com/p/36505/yamazakura-blended-whisky	Verified distinct from Yamazaki - made at Asaka Distillery by Sasanokawa Shuzo. Malt + grain blend. No explicit peat statement; inferred unpeated from tasting notes (orchard fruit, salted caramel, vanilla) with no smoke mentioned	yamazakura	2	Yamazakura ; Yamazakura Fine Blend
36-south	36 South	distillery	AU			Morris of Rutherglen	grain	none			unverified	low	https://www.morrisofrutherglen.com/pages/36-south-whisky	Contrary to my first guess (a New Zealand independent bottler), 36southwhisky.com redirects straight to morrisofrutherglen.com/pages/36-south-whisky: 36 South is produced by Morris of Rutherglen in Victoria, Australia (name references 36 degrees south latitude), matching the catalogue's own AU guess. "36 South Double Grain Whisky" made from local wheat/barley; page's own tasting language ("smooth yet complex") has no smoke/peat descriptor -- no cask-finish/Morris-cask connection stated on that page despite the sample name.	36 south	1	36 South Double Grain Morris
aberdour	Aberdour	blend	GB-SCT				blend	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Own-label style, no independent web presence found; treated as an ordinary unpeated blended Scotch per brief long-tail default, not brand-verified.	aberdour	1	Aberdour
aikan	Aikan	blend						unknown			unverified	unknown		No information found for this brand within budget (no Wikipedia coverage). Single sample 'Aikan Extra Collection Batch No.3' gives no clear indication of origin, distillery or type.	aikan	1	Aikan Extra Collection Batch No.3
