claymore	Claymore	blend	GB-SCT			Whyte & Mackay	blend	light			unverified	low	https://www.whyteandmackayltd.com/our-brands/claymore/	Retailer/producer copy mentions 'a gentle smoky note'; single non-technical source, low confidence.	claymore|the claymore	4	Claymore ; Claymore White & Mackay
croithli	Croithlí	distillery	IE				single malt	none			unverified	low	https://thecrollydistillery.com/our-whiskey-sessile/ https://www.firstfillspirits.com/product/croithli-single-malt-irish-whiskey-sessile-oak/	Crolly Distillery, County Donegal -- first licensed whiskey distillery in Donegal since the 1840s. Tasting notes show no smoke/peat character (vanilla, caramel, orchard fruit, oak). 'Croithlí' is the Irish-language place name spelled with a fada; catalogue brand string 'Croithli' drops it.	croithli	4	Croithli Quercus Alba ; Croithli Quercus Robur ; Croithli Sessile ; Croithli Sessile Oak
drofa	Дрофа&Люди	blend	UA					unknown			unverified	low		Ukrainian craft producer; samples describe short-aged/unaged distillates finished on oak chips ('Білий Distillate', 'Aged on Bourbon/American Oak Chips'), unclear this is conventional grain whisky rather than a young craft spirit. No citation found this session, no web search budget spent (long tail)	drofa|дрофа|дрофа люди	4	Дрофа&Люди Beer Pure Craft Beer Distillate ; Дрофа&Люди Білий Aged on American Oak Chips ; Дрофа&Люди Білий Aged on Bourbon Oak Chips ; Дрофа&Люди Білий Distillate
edderwick	Edderwick	blend	GB-SCT					unknown			unverified	low		Own-label blended Scotch, 3 products in this batch. No web presence found this session.	edderwick	4	Edderwick
filey-bay	Filey Bay	distillery	GB-ENG				single malt	none			unverified	low	https://www.spiritofyorkshire.com/ https://en.wikipedia.org/wiki/List_of_whisky_distilleries_in_England	Made by Spirit of Yorkshire Distillery Ltd, Hunmanby (founded 2016, first release 2019, per Wikipedia's list of English distilleries). Official site's own tasting notes for four expressions (Flagship, Moscatel Sherry Cask, STR Red Wine Cask, Yorkshire Day 2026) list only honey/vanilla/citrus/caramel/biscuit/fruit-cake descriptors with zero smoke/peat language across all of them -- inferred none from that consistent absence rather than an explicit "unpeated" statement.	filey bay|spirit of yorkshire	4	Filey Bay Flagship Spirit of Yorkshire ; Filey Bay Moscatel Sherry Cask Spirit of Yorkshire ; Filey Bay Nurture Spirit of Yorkshire ; Filey Bay STR Red Wine Cask Spirit of Yorkshire
glen-morris	The Glen Morris	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found for this own-label (Honey-flavoured variant present in samples). Treated as an ordinary blended Scotch per the own-label default; see glen-talloch note for the peat citation rationale.	glen morris|the glen morris	4	The Glen Morris ; The Glen Morris Honey ; The Glen Morris Original
glenaladale	GlenAladale	blend					blend	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Own-label style ("Red/Blue Edition"); country left unconfirmed -- "Glen-" prefixed names are not exclusively Scottish (cf. the EU "Glen Buchenbach" case), so origin is not assumed. Treated as an ordinary unpeated blend per brief long-tail default.	glenaladale	4	GlenAladale Blue Edition ; GlenAladale Red Edition
jb	J&B	blend	GB-SCT			Diageo	blend	unknown			unverified	low	https://en.wikipedia.org/wiki/Justerini_%26_Brooks	J&B Rare Scotch whisky, produced by Justerini & Brooks (owned by Diageo); wiki confirms it is a blend of 42 malt and grain whiskies with named fingerprint malts Knockando, Auchroisk, Strathmill and Glen Spey (all unpeated Speyside distilleries), but the article makes no statement about peat/smoke level for the blend itself, so peatProfile is left unknown rather than assumed from the unpeated fingerprint malts alone.	j b|j b rare	4	J&B Rare
kentucky	Kentucky	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Catalogue brand string 'Kentucky' bundles apparently unrelated products: Fordman, Wiseman, Benchmark No 8, Kentucky Walker (x2). Benchmark is confirmed real (Sazerac Company's Benchmark Old No. 8 bourbon, https://en.wikipedia.org/wiki/Sazerac_Company), but Wiseman/Fordman/Kentucky Walker could not be confirmed and may be generic import-market bourbon-style products, possibly not even genuine American whiskey. peatProfile=none reflects the American-whiskey category norm (peat-kilning is a Scotch-specific technique per the Whisky article), not a verified single house style. Flag for human review -- this brand may need splitting per-product in a later pass.	kentucky	4	Benchmark №8 ; Kentucky Walker ; Wiseman
kings	King's	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Producer/distillery not confidently identified — searches for "King's 107", "King's Rye", "King's Wheated", "King's Ryeconic" returned no usable results. American-whiskey naming (rye, wheated mashbill, proof-designated "107") strongly implies a US whiskey line, so the category default (peat is a Scotch-specific practice) is applied at low confidence. Range spans rye and wheated bourbon, so type is left empty.	kings	4	King's 107 ; King's Rye ; King's Ryeconic ; King's Wheated
