amahagan	Amahagan	blend	JP			Hombo Shuzo (Mars Whisky)		unknown			unverified	low		Japanese "World Blended Whisky" from Mars Whisky (Hombo Shuzo / Mars Shinshu distillery), released in numbered wood-finish editions (sherry cask, Mizunara, red wine, Yamazakura). Lookup attempts for this brand specifically returned no usable content this pass; peat left unknown rather than assumed.	amahagan	6	Amahagan Edition №1 ; Amahagan Edition No.2 Red Wine Wood Finish ; Amahagan Edition №2 Red Wine Wood Finish ; Amahagan Edition №3 Mizunara Wood Finish ; Amahagan Edition №5 Sherry Cask Finish ; Amahagan Yamazakura Wood Finish
armorik	Armorik	distillery	FR				single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/French_whisky	First French single malt (launched 1998), made by the Warenghem Distillery in Brittany. No peat information confirmed either way this session. FOR REVIEWER: the 'Yeun Elez' expression (in my sample list) is named for a peat bog/moor in the Monts d'Arree, Brittany, by Breton place-name - it may well be a peated bottling distinct from the 'Classic' line, but I found no fetched source confirming this; worth checking before assuming the whole range is uniform.	armorik	6	Armorik ; Armorik Classic ; Armorik Double Maturation ; Armorik Sherry Cask ; Armorik Yeun Elez
boulder	Boulder Spirits	distillery	US					none			unverified	low	https://boulderspirits.com/	Colorado craft distillery; its own site states "American Single Malt Whiskey" as its focus, with no bourbon mentioned. Core range presumed unpeated; catalogue also lists "Boulder Peated Malt" as a distinct expression -- likely already caught by the central "peated" keyword rule, no producer rule added. defaultTypeName left empty since it is unclear whether the whole range is single malt only.	boulder	6	Boulder ; Boulder American Port Cask Finish ; Boulder Bottled in Bond ; Boulder New ; Boulder Peated Malt ; Boulder Spirits-Bottled in Bond
canadian-club	Canadian Club	blend	CA			Suntory Global Spirits	blend	none			unverified	low	https://en.wikipedia.org/wiki/Canadian_Club https://en.wikipedia.org/wiki/Irish_whiskey	Blended Canadian whisky, produced at the former Hiram Walker distillery (Windsor, Ontario); owned by Suntory Global Spirits (formerly Beam Suntory) since 2011, part of the Jim Beam portfolio. No Canadian-Club-specific peat statement found; peat citation is the general "peat is rarely used in the malting process outside of Scotland" statement on the Irish whiskey page, used here as a category-level source for a non-Scotch whisky.	canadian club	6	Canadian Club
grace-omalley	Grace O'Malley	blend	IE			Grace O'Malley Spirits (Inis Tine Uisce Teoranta)		none			unverified	low	https://tradeinspirits.com/introducing-the-restyled-grace-omalley-irish-whiskey/ https://www.masterofmalt.com/distilleries/grace-o-malley/	Whiskey brand with no own distillery yet (one is under construction); sourced mainly from Great Northern Distillery and other suppliers, blended/finished at Good Spirits Bottling, Dundalk. No peat reported. defaultTypeName left empty: portfolio spans blends and single malt releases.	grace o malley|grace omalley	6	Grace O'Malley ; Grace O'Malley Dark Char Cask ; Grace O'Malley Independence Edition ; Grace O'Malley Maritime Cask ; Grace O'Malley Rum Cask ; Grace O'Malley Stout Cask
haran	Haran	blend	ES				malt	unknown			unverified	low		Consistently typed "malt" across this batch's 5 samples (cask-finish variants: cider/porto/sherry/original), suggesting a small Spanish blended/vatted-malt whisky brand. Producer not confirmed this session: haranwhisky.com does not resolve, and haran.es redirects to an unrelated Basque geology/topography firm (haran.eus) with no whisky connection. kind=blend used as the closest bucket for an unconfirmed producer, per this project's undisclosed-origin convention.	haran	6	Haran Finished in Cider Cask ; Haran Finished in Porto Cask ; Haran Finished in Sherry Cask ; Haran Original Casks Selection ; Haran Original Small Batch Reserve ; Haran Traditional Iberian Oak
high-west	High West	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/High_West_Distillery	Utah producer blending sourced whiskey (MGP and undisclosed others) with its own distillate across rye (Rendezvous Rye, Double Rye!) and bourbon (American Prairie) lines; defaultTypeName left empty since the range spans both. Full product lineup on the cited page lists no peated item and American rye/bourbon mash bills do not use peated malt, but no source explicitly states "unpeated", hence confidence=low.	high west	6	High West ; High West American Prairie ; High West Campfire ; High West Double Rye ; High West Rendezvous Rye
highland-chief	Highland Chief	blend	GB-SCT				blend	unknown			unverified	low		Budget blended Scotch. Suspected (not confirmed) to be an Angus Dundee Distillers export line based on general trade familiarity; their own website (fetched this session) lists Tomintoul/Glencadam/Old Ballantruan but did not mention Highland Chief, so left unconfirmed rather than asserted. No citation obtained, peat left unknown	highland chief	6	Highland Chief
highland-mist	Highland Mist	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	Budget blended Scotch. One sample is literally "Highland Mist Loch Lomond", suggesting a Loch Lomond Group connection, but Loch Lomond distillery's own Wikipedia product list does not mention this brand, so owner is left empty rather than guessed. Peat=none per ordinary-blend category norm.	highland mist	6	Highland Mist ; Highland Mist Loch Lomond
hunting-lodge	Hunting Lodge	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found this session; treated as an ordinary own-label blended Scotch per budget guidance (peat is a per-distillery exception, not the default, per cited source).	hunting lodge	6	Hunting Lodge
