the-gild	The Gild	blend	XX					unknown			unverified	unknown		Could not identify this brand within budget; left entirely unknown.	the gild	1	The Gild
the-hearach	The Hearach	brand	GB-SCT	islands	highland	Isle of Harris Distillers Ltd.	single malt	unknown	isle-of-harris		unverified	low	https://en.wikipedia.org/wiki/Isle_of_Harris_distillery	Wikipedia: 'a single malt whisky called The Hearach, the Gaelic word for a resident of Harris'. No fetched source states a peat level (see the isle-of-harris row's note for the sources checked and their outcome); folklore among reviewers suggests lightly peated but this was deliberately not asserted without a citation. ALIAS NOTE: out/15/alias.tsv already maps 'The Hearach' directly to slug isle-of-harris (no separate brand row there); this batch instead creates a dedicated kind=brand row per its task instructions, so 'The Hearach' now aliases to two different slugs across batches -- a human reviewer must pick one (recommend keeping this brand-row version for consistency with the Glengyle/Kilkerran pattern).	hearach	1	Isle of Harris The Hearach
the-highland-shepherd	The Highland Shepherd	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No source found for this specific brand. 'Highland Shepherd' reads as a generic pastoral-themed Scotch own-label name; treated as a supermarket-style blend by convention, not confirmed. peatProfile via general blend-character inference - genuinely marginal, could reasonably also be left unknown.	the highland shepherd	1	The Highland Shepherd
the-king-of-scots	King of Scots	blend	GB-SCT				blend	unknown		douglas-laing	unverified	medium	https://www.douglaslaing.com/en-us	Confirmed via Douglas Laing's own site as part of their "Specialist Selection" blended range; no tasting notes/peat statement found there.	king of scots|the king of scots	1	The King of Scots
the-kyoto	The Kyoto	blend	JP					unknown			unverified	low		"The Kyoto Aka-Obi Red Nishijin-ori" -- Nishijin-ori is a real, famous Kyoto textile; Japan is a reasonably confident country guess from the name/theming alone, but no citation confirms the producer, and Japanese blends can legitimately be peated (some Nikka/other blends use peated malt), so peatProfile is left unknown rather than assumed.	the kyoto	1	The Kyoto Aka-Obi Red Nishijin-ori
the-old-barrel	The Old Barrel	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No source found (single-product own label); treated as ordinary blended Scotch per category convention.	the old barrel	1	The Old Barrel
the-whistler	The Whistler	blend	IE			Prestige Beverage Group		none			unverified	medium	https://thewhistlerwhiskey.com/	Own site (fetched) confirms production at Boann Distillery, Co. Meath, by Prestige Beverage Group; range spans blend and single malt lines (Double Oaked, Trilogy, Cask Finish series, plus a dedicated Single Malt line) so defaultTypeName is left empty. No peat/smoke mentioned in the fetched range description; standard Irish whiskey.	the whistler	1	The Whistler Triple Oak Small Batch
the-wild-north	The Wild North	blend	XX					unknown			unverified	unknown		No web presence found this session; country/origin genuinely unclear (name could suit a Canadian or generic export blend) - left unknown rather than guessed.	the wild north|wild north	1	Wild North
the-woodsman	The Woodsman	blend	XX					unknown			unverified	unknown		Could not identify producer or origin this session. Flag for reviewer.	the woodsman	1	The Woodsman
thin-lizzy	Thin Lizzy	blend	IE				blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Officially-licensed Irish whiskey blend named after the rock band. No distillery/producer confirmed via citation this session. Category default applied.	thin lizzy	1	Thin Lizzy
