bercloux	Bercloux	blend						unknown			unverified	unknown		Single product, no information found this session; 'Bercloux' is a commune name in Charente-Maritime, France, but not confirmed as this brand's actual origin so countryCode left empty rather than guessed	bercloux	1	Bercloux
bernheim	Bernheim	brand	US			Heaven Hill		none	heaven-hill		unverified	low	https://en.wikipedia.org/wiki/Heaven_Hill https://en.wikipedia.org/wiki/Irish_whiskey	Bernheim Original, a straight wheat whiskey made by Heaven Hill at their (New) Bernheim distillery, Louisville. defaultTypeName left empty since "wheat whiskey" has no exact match in the closed type list. Peat=none per general American-whiskey category norm.	bernheim	1	Bernheim Original Wheat
bib-tucker	Bib & Tucker	blend	US				bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Bourbon_whiskey	Sourced small-batch bourbon (6 Year). American bourbon mash bills do not use peated malt, but no source specific to this brand was opened, hence confidence=low.	bib tucker	1	Bib&Tucker Small Batch
billy-bong	Billy Bong	distillery	US				bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Bourbon_whiskey	No producer identified this session (no useful search hits). peatProfile=none rests on the general bourbon-is-unpeated category convention, not a brand-specific source (matches this project's own batch-08 precedent for an equally unconfirmed US bourbon label).	billy bong	1	Billy Bong
blairfindy	Blairfindy	blend	GB-SCT	speyside	speyside			unknown			unverified	low	https://en.wikipedia.org/wiki/The_Glenlivet_distillery	"Blairfindy" is a real historic place/castle name in the Glenlivet area of Speyside (Wikipedia's Glenlivet article surfaces it), likely used here as an independent single-cask label name rather than a distillery of its own -- region/legalRegion given from that toponymy alone (low confidence). Treated as an undisclosed-origin label per the brief's rule 3: producer and true source distillery not guessed.	blairfindy	1	Blairfindy 1980 Raw Cask
bold-thady	Bold Thady	blend	IE					unknown			unverified	unknown		Likely named after the Irish folk-song character "Bold Thady Quill"; no producer identified this session.	bold thady	1	Bold Thady Bourbon Casks Matured
bombergers	Bomberger's	brand	US				bourbon	none	michters		unverified	low	https://en.wikipedia.org/wiki/Bomberger%27s_Distillery https://en.wikipedia.org/wiki/Bourbon_whiskey	Wikipedia: the modern 'Bomberger's'-branded whiskey (e.g. 'Bomberger's Declaration' in my sample) is a Michter's product with 'no direct connection' to the historic 1753-1989 Bomberger's/Michter's Distillery site in Pennsylvania (a National Historic Landmark, now non-operating). parentSlug=michters is not a row in my own producer.tsv - Michter's is a well-known US whiskey brand/producer another batch will very likely cover; flag if it does not. peatProfile via the generic bourbon-category fact.	bombergers	1	Bomberger's Declaration
bonailie	Bonailie	blend	GB-SCT	lowland	lowland		blend	unknown			unverified	low		Believed (general knowledge, not confirmed this session) to be a Bladnoch-associated blended Scotch from an earlier ownership era; the current Bladnoch site does not list it and no other citation was found.	bonailie	1	Bonailie
boulevardier	Boulevardier	blend	XX					unknown			unverified	unknown		Single generic product line with no other qualifier; "Boulevardier" is otherwise a classic bourbon/Campari/vermouth cocktail name, so this may be a bottled RTD cocktail mis-filed under whisky rather than an actual whiskey brand (same concern as Ice Drive, see final report) rather than a whiskey brand -- left fully unknown.	boulevardier	1	Boulevardier
buchanans	Buchanan's	blend	GB-SCT			Diageo	blend	none			unverified	low	https://en.wikipedia.org/wiki/Buchanan%27s	Standard Diageo blended Scotch since 1884; no peat or smoke character mentioned in sourced material.	buchanans	1	Buchanan's
cask-orkney	Cask Orkney	blend	GB-SCT	islands	highland			unknown			unverified	low		Undisclosed-distillery label, same pattern as Secret Orkney - likely Highland Park or Scapa, deliberately not guessed per brief rule 3.	cask orkney	1	Cask Orkney
catchers-rye	Catcher's Rye	blend	US				rye	none			unverified	low	https://en.wikipedia.org/wiki/Whisky	American rye whiskey; specific producer not identified this session. Treated at the American-rye category default (unpeated).	catchers rye	1	Catcher's Rye
