lewis-clark	Lewis&Clark	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Country inferred from the sample product names themselves ("Corn" is a defined American whiskey category; "Northwest" matches the historical Lewis and Clark expedition's Pacific Northwest route) rather than from a citation naming this specific brand -- no Wikipedia page or other source found. Peat citation is the general non-Scotch-unpeated statement (see canadian-club note). defaultTypeName left empty (Corn vs. an unspecified Northwest expression may differ in category).	lewis clark	2	Lewis&Clark Corn ; Lewis&Clark Northwest
lighthouse	Lighthouse	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No dedicated source found. One of its two SKUs is named 'Lighthouse Peated' -- per this brief's own instruction not to author producer rules for the generic 'peated' pattern (that is handled by a central rule), that specific bottling will be caught centrally; this base row represents the plain/standard line only.	lighthouse	2	Lighthouse ; Lighthouse Peated
lux-row-distillers	Lux Row Distillers	distillery	US			Luxco / MGP Ingredients	bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Bardstown, Kentucky distillery opened 2018; producer of the Ezra Brooks family (see old-ezra row), Rebecca Creek, and its own Lux Row-branded bourbons (Four Grain, Double Barrel/PX Sherry Finish). Ownership chain from general knowledge, not freshly verified this session -- only the general Whisky article backs the peat=none category claim.	lux row|lux row distillers	2	Lux Row Four Grain ; Lux Row PX Sherry Finish
masahiro	Masahiro	distillery	JP			Masahiro Shuzo		none			unverified	low	https://masahiromalt.jp/ https://www.hitimewine.net/masahiro-oloroso-sherry-cask-43-12yr-750ml-japanese-malt-whisky-okinawa-121066	Okinawan awamori distiller (est. 1883) also producing pure-malt whisky and a blended whisky (Kaijin); range spans single malt and blend so defaultTypeName left empty. No smoke/peat in any tasting note found.	masahiro	2	Masahiro Kaijin Limited Release ; Masahiro Oloroso Sherry Cask
matt-darcy	Matt D'Arcy	blend	GB-SCT					unknown			unverified	low		Own-label blended Scotch, no web presence found; fast-tracked per own-label rule. Input brand string 'Matt D Arcy' has no apostrophe; samples spell it 'Matt D'Arcy'.	matt d arcy|matt darcy	2	Matt D'Arcy
muirheads	Muirhead's Blue Seal	blend	GB-SCT					unknown			unverified	low		Historic-sounding Scotch blend name; no citation found this session (Wikipedia search returned nothing on point).	muirheads|muirheads blue seal	2	Muirhead's Blue Seal
muteki	Muteki	blend	XX					unknown			unverified	unknown		"Japanese Muteki" sample claims Japanese origin, but true origin was not verified this pass (some "Japanese-style" whiskies are blended/bottled outside Japan); countryCode left as XX (unspecified) and peat unknown rather than assumed.	muteki	2	Japanese Muteki ; Muteki
naked-grouse	The Naked Grouse	blend	GB-SCT				malt	none			unverified	low	https://uk.edrington.com/our-brands/scotch-whisky/naked-malt/ https://scotchwhisky.com/magazine/latest-news/15718/the-naked-grouse-becomes-a-blended-malt/	Sherry-cask blended malt from The Macallan, Highland Park, Glenturret and Glenrothes; rebranded 'Naked Malt' in 2018. One constituent (Highland Park) is medium-peated, but the finished blend's own tasting notes describe rich/fruity sherry character with no smoke, so recorded as none. Ownership was Edrington; ownership of the sibling Famous Grouse brand moved to William Grant & Sons in 2024/2025 (see famous-grouse) -- left owner empty here since Naked Malt's own sale was not separately confirmed.	naked grouse|naked malt|the naked grouse	2	Naked Grouse ; Naked Malt
noble-rebel	Noble Rebel	blend	XX					unknown			unverified	unknown		"Smoke Symphony" and "Orchard Outburst" - could not identify this brand this session (WebSearch budget exhausted, no working URL guessed). "Smoke Symphony" naming hints at a possible smoky/peated expression, which is exactly why it is left unknown rather than guessed - flagged for a human reviewer.	noble rebel	2	Noble Rebel Orchard Outburst ; Noble Rebel Smoke Symphony
o-brian	O'Brian	blend	GB-SCT					unknown			unverified	low		No web presence found this session; apostrophe-surname styling suggests an Irish-themed own-label, unconfirmed.	o brian|obrian	2	O'Brian
