franks-fiddle	Frank's Fiddle	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Fruit-flavored whiskey (Pineapple, Blackberry variants); no producer identified. Treated as an ordinary flavored American whiskey, not peated.	franks fiddle	2	Franks Fiddle Blackberry ; Franks Fiddle Pineapple
glen-parker	Glen Parker	blend	GB-SCT					unknown			unverified	unknown		No web presence found; own-label, "Glen" naming convention suggests Scotch but unconfirmed	glen parker	2	Glen Parker
glen-ryan	Glen Ryan	blend	GB-SCT				blend	light			unverified	low	https://toulouvin.com/en/whisky-ecossais/blended-scotch-glen-ryan-2561.html	Budget blend (20% malt content), produced in Scotland, mainly seen at retailers serving continental Europe. One retailer's tasting note explicitly mentions 'smoky and mineral notes' on the nose - treated as a light trace rather than none.	glen ryan	2	Glen Ryan
glenlassie	Glenlassie	distillery	GB-SCT					unknown			unverified	unknown		No web presence under this exact spelling: Wikipedia search returned zero hits and its own fuzzy-match suggestion was unrelated ('glentaisie'), not 'Glenlossie'. Possibly a misspelling of Glenlossie (Speyside, Diageo -- per the local authority file) or a genuinely obscure/fictional own-brand. Deliberately left unlinked to Glenlossie to avoid an incorrect alias -- flag for human review.	glenlassie	2	Glenlassie
grand-moldaviens	Grand Moldaviens	blend	MD				blend	none			unverified	low	https://moldstandart.md/wine/grand-moldaviens/	Moldovan whisky ('Scottish technology'), 3-year-old barley malt; cinnamon/vanilla/stone-fruit profile, no smoke reported. Sold mainly in Ukrainian/Eastern European retail (also listed on rozetka.com.ua and maudau.com.ua).	grand moldaviens	2	Grand Moldaviens
grave-digger	Grave Digger	blend						unknown			unverified	unknown		Heavy-metal-themed novelty brand ('Berry Metal', 'Field of Blood'); no information found this session, not searched (long tail budget)	grave digger	2	Grave Digger Berry Metal ; Grave Digger Field of Blood
great-barrel	Great Barrel	blend	XX					unknown			unverified	unknown		Own-label, 2 products, no web presence found and no naming evidence (unlike e.g. "Scottish Collie"/"Highland Mist") pointing to a specific country of origin, so left unknown rather than assumed Scotch.	great barrel	2	Great Barrel
great-oaks	Great Oaks	blend						unknown			unverified	unknown		"Single Cask" sample suggests a bottler-style single-malt release rather than an ordinary blend, so the usual own-label default was not applied; origin not identified. No search performed this pass.	great oaks	2	Great Oaks ; Great Oaks Single Cask
greenbar	Greenbar	blend	US					unknown			unverified	unknown		"Slow Hand" / "Slow Hand Organic" whiskey. Could not open a working source this session (official-domain guess failed on a TLS handshake error, WebSearch budget was already exhausted) - left fully unknown rather than rely on unverified recollection. Only 2 products; low priority but flagged in case a reviewer has a source handy.	greenbar	2	Greenbar Slow Hand ; Greenbar Slow Hand Organic
heavens-door	Heaven's Door	blend	US					none			unverified	low	https://www.heavensdoor.com/	Bob Dylan's American whiskey brand: Kentucky Straight Bourbon (Ascension, Revival/Tennessee Straight Bourbon), Straight Rye (Refuge), and Double Barrel (Revelation), produced with Six Mile Creek Distillery (Ken Pierce, master distiller). No peated expression found on site; defaultTypeName left empty since the range spans bourbon, rye and Tennessee whiskey.	heavens door	2	Heaven's Door Double Barrel ; Heaven's Door Tennessee
high-commissioner	High Commissioner	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found (own-label, no Wikipedia page). Treated as an ordinary blended Scotch per the own-label default; see glen-talloch note for the peat citation rationale.	high commissioner	2	High Commissioner
ichiros	Ichiro's	blend	JP			Venture Whisky		unknown			unverified	low		Catalogue brand spans both a Chichibu single malt expression ('Wine Wood Reserve') and 'Ichiro's Malt & Grain', a world blend combining malt and grain whiskies from several countries -- since the range is not from one single distillery, kind=blend. Peat left unknown: I could not confirm the exact composition or any peated content of the World Blend line from a page I opened.	ichiros|ichiros malt	2	Ichiro's Malt&Grain ; Wine Wood Reserve
james-e-pepper	James E. Pepper	distillery	US					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Historic Kentucky brand revived as 'James E. Pepper 1776', distilled at the rebuilt Pepper distillery (Lexington/Georgetown, KY). Range spans both bourbon and rye under the 1776 label, so defaultTypeName left empty. Ownership not freshly verified this session.	james e pepper	2	James E.Pepper 1776 ; James E. Pepper Batch 1
james-kilton	James Kilton	blend						unknown			unverified	unknown		No identifiable web presence found (searches only returned an unrelated TV editor of the same name). Input samples are just the bare name twice, no further evidence.	james kilton	2	James Kilton
james-wyld	James Wyld	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found this session; assumed ordinary own-label blended Scotch per budget guidance.	james wyld	2	James Wyld ; James Wyld Sherry Cask
jim-bardett	Jim Bardett	blend						unknown			unverified	unknown		No web presence found; own-label, origin unclear	jim bardett	2	Jim Bardett
jiu-hai-bu-gan	Jiu Hai Bu Gan	distillery	XX			Huzhujinquan Distillery	single malt	none			unverified	low	https://www.whisky.com/whisky-database/details/jiu-hai-bu-gan.html https://www.caskers.com/meido-jiu-hai-bu-gan-12-year-old-single-malt-whisky/	Tibetan Plateau single malt, matured in terracotta 'Jiu Hai' amphorae then finished in oak; 'Meido' and 'Craft White' are among its releases (both seen in samples). No ISO code for China/Tibet exists in the closed country list - used XX. No peat/smoke mentioned in any source found.	jiu hai bu gan	2	Jiu Hai Bu Gan Craft White ; Jiu Hai Bu Gan Meido
joe-got-a-gun	Joe Got A Gun	blend						unknown			unverified	low		Not researched (budget prioritised to larger brands). "Single Barrel" / "20 Barrels Selection Batch 1" naming suggests an American-style small-batch whiskey but origin is unconfirmed.	joe got a gun	2	Joe Got a Gun 20 Barrels Selection Batch 1 ; Joe Got a Gun Single Barrel
john-lee	John Lee	blend	US					unknown			unverified	low		Own-label American-style whiskey ('Straight Old Reserve'), no web presence found; fast-tracked per own-label rule.	john lee	2	John Lee Straight American Old Reserve ; John Lee Straight Old Reserve
johnny-cree	Johnny Cree	blend						unknown			unverified	unknown		No information found this session; likely an own-label/budget blend, not searched (long tail budget)	johnny cree	2	Johnny Cree
kentucky-owl	Kentucky Owl	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Sazerac_Company	Sourced/blended American whiskey ("Confiscated", "The Wiseman"); current ownership not verified this pass (checked, and it is NOT listed among Sazerac Company's own brands, so owner left empty rather than guessed). defaultTypeName left empty since the wider Kentucky Owl range also includes a rye. Treated as unpeated per the American whiskey category default (bourbon/rye mash bills do not use peated malt).	kentucky owl	2	Kentucky Owl Confiscated ; Kentucky Owl The Wiseman
king-charles	King Charles	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No dedicated source found for this exact brand name (search only surfaced unrelated one-off 'Coronation of King Charles III' commemorative editions from other brands). Treated as a generic royalty-themed own-label blended Scotch; peatProfile via general blend-character inference, not brand-specific.	king charles	2	King Charles
kirkcowan	Kirkcowan	blend	GB-SCT	lowland	lowland	Bladnoch Distillery	blend	unknown			unverified	low		This batch's own sample pairs it directly with the distillery ("Bladnoch Kirkcowan"). Bladnoch's current site (checked this session) no longer lists Kirkcowan, likely a discontinued release from an earlier ownership era (pre-David Prior). No peat citation found.	kirkcowan	2	Bladnoch Kirkcowan ; Kirkcowan
