nikka	Nikka Whisky	blend	JP			Asahi Group Holdings	blend	unknown			unverified	low	https://en.wikipedia.org/wiki/Nikka_Whisky_Distilling	Samples are the Gold & Gold sub-range. Nikka's two malt distilleries differ (Yoichi peated, Miyagikyo unpeated) and the fetched Wikipedia article does not state Gold & Gold's blend composition, so left unknown rather than guessed.	nikka|nikka whisky	25	Nikka ; Nikka Coffey Grain ; Nikka Coffey Malt ; Nikka Coffey Malt + Nikka Coffey Grain + Джин Nikka Coffey Gin ; Nikka Days ; Nikka From The Barrel
mars	Mars	distillery	JP			Hombo Shuzo Co., Ltd.		unknown			unverified	low	https://en.wikipedia.org/wiki/Shinshu_Mars_distillery	Hombo Shuzo operates TWO distilleries (Shinshu, Nagano + Tsunuki, Kagoshima) under the Mars brand; Shinshu alone runs FOUR peating levels (unpeated / 3.5ppm / 20ppm / 50ppm) depending on release, so no single peat profile applies -- left unknown deliberately. Samples span both distilleries and several product lines (Iwai, Kasei, Cosmo, Tsunuki, Y.A).	mars	17	Mars Cosmo ; Mars Cosmo Manzanilla Cask Finish ; Mars Cosmo Wine Cask Finish ; Mars IWAI ; Mars IWAI Tradition ; Mars Kasei
lost-distillery	The Lost Distillery	blend	GB-SCT			The Lost Distillery Company	blend	unknown			unverified	low		Recreates flavour profiles of historic CLOSED Scottish distilleries via blending malt from currently-operating distilleries (not the original spirit). Named releases in samples (Lossit=historic Islay, Towiemore=historic Speyside, Stratheden=historic Lowland/Fife, Dalaruan/Jericho=historic Campbeltown) plausibly differ in peat character by design - deliberately left unknown rather than averaged. Could not reach the official site this session (domain lapsed/unreachable); worth a human pass to split into per-release rows.	lost distillery|the lost distillery	14	Dalaruan Classic Selection The Lost Distillery ; Jericho Classic Selection The Lost Distillery ; Jericho Vintage Selection The Lost Distillery ; Lossit Classic Selection The Lost Distillery ; Stratheden Classic Selection The Lost Distillery ; The Lost Dalaruan
quiet-man	The Quiet Man	blend	IE			MGP Ingredients (Luxco / Niche Drinks)		unknown			unverified	low	https://www.luxco.com/our-story/niche-drinks/ https://www.bevnet.com/spirits/2016/luxco-introduces-a-new-handcrafted-irish-whiskey-the-quiet-man	Produced by Niche Drinks in Derry (first Irish whiskey bottled there in over 100 years) for Luxco, a US company now owned by MGP Ingredients. Range spans a blend and an 8-year-old single malt, so defaultTypeName left empty. Derry is technically in Northern Ireland (UK) but the product is marketed under the "Irish whiskey" geographic category, so countryCode is set to IE consistent with that convention. No source found confirming peat status, left unknown rather than assumed. Catalogue brand string for this row is "Luxco".	luxco|quiet man|the quiet man	13	The Quiet Man ; The Quiet Man Malt Amarone Finish ; The Quiet Man Marsala Cask Finish ; The Quiet Man Selection ; The Quiet Man Superior Irish Blend
scottish-leader	Scottish Leader	blend	GB-SCT			Distell Group	blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	Mainstream blended Scotch (Distell/Burn Stewart per general knowledge, not independently verified this session - no working source found). No distillery-specific peat statement found; defaulted to unpeated per the cited page's general point that peat is an optional, non-universal choice in Scotch production.	scottish leader	13	Scottish Leader ; Scottish Leader Original ; Scottish Leader Sherry Cask
spicebox	Spicebox	blend	CA			Maison des Futailles		none			unverified	low	https://en.wikipedia.org/wiki/Canadian_whisky	Canadian spiced/flavored whisky (Cinnamon, Pumpkin, Ginger Bread, Chocolat editions); maker confirmed via the samples themselves ("Maison des Futailles Spicebox ..."). The official spiceboxwhisky domain no longer resolves to the brand (parked/expired), so the peat claim is only backed by the general Canadian-whisky category page, which does not discuss peat explicitly - kept low confidence.	maison des futailles|maison des futailles spicebox|spicebox	11	Maison Des Futailles Spicebox ; Maison des Futailles Spicebox Canadian Spiced ; Maison des Futailles Spicebox Chocolat ; Maison des Futailles Spicebox Cinnamon ; Maison des Futailles Spicebox Ginger Bread ; Maison des Futailles Spicebox Pumpkin
tenjaku	Tenjaku	blend	JP				blend	unknown			unverified	low		Blend of malt and corn-heavy grain whisky from a distillery near Mt. Fuji (Fuefuki). Reviews mention "a touch of smoke" but it is unclear whether this is from peated malt or a generic cask/tasting descriptor, so left unknown rather than guessed.	tenjaku	10	Tenjaku ; Tenjaku Japan ; Tenjaku Mizunara Cask ; Tenjaku Sherry Cask
agitator	Agitator	distillery	SE					unknown			unverified	low		Real Swedish distillery in Arboga (agitatordistillery.com, "Agitator ar ett svenskt destilleri i Arboga"). Could not confirm peat level of any expression, so left unknown (no citation opened to support none/light/medium/heavy - sourceUrls therefore left empty per the peatProfile=unknown rule). REVIEWER FLAG: "Agitator Rok" - "rok"/"rok" resembles Swedish "rok" (smoke); this sample may be a smoky/peated expression but I could not verify it, so no rule was written - worth a manual check.	agitator	9	Agitator ; Agitator Argument Islay Pedro Ximenez ; Agitator Argument Sherry Butt ; Agitator Argument Sweet Toast ; Agitator Chestnut Cask ; Agitator Evidens Ice Cider Cask
glendale	Glendale	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/List_of_whisky_distilleries_in_Scotland https://en.wikipedia.org/wiki/Scotch_whisky	All 6 samples are just 'Glendale' with no distinguishing detail. No distillery of this name appears in the Scottish-distilleries authority file, so treated as a generic Scotch-sounding own-label blend rather than a real distillery; peatProfile via the same general regional-character inference as Black Ram.	glendale	9	Glendale ; Glendale Reserve
highland-baron	Highland Baron	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	Catalogue brand string is spelled "Highiland Baron" (extra i) in the input; samples show both that typo and the correct "Highland Baron" spelling. No web presence found; treated as an ordinary own-label blend.	highiland baron|highland baron	9	Highiland Baron ; Highland Baron
