shinobu	Shinobu	blend						unknown			unverified	unknown		One of a cluster of Japanese-styled budget brands in this batch (with Fujimi, Reki, Shin); no Wikipedia coverage found (fetch 404'd). Could not verify true origin/producer or peat status this session	shinobu	4	Shinobu ; Shinobu Daimyo-no Shinobu ; Shinobu Mizunara
springbank	Springbank	distillery	GB-SCT	campbeltown	campbeltown	J&A Mitchell & Company	single malt	light			unverified	high	https://en.wikipedia.org/wiki/Springbank_(distillery)	Parent of Longrow (heavy) and Hazelburn (unpeated, not in this batch). Core Springbank itself is medium-peated per the distillery's own process (6h peat smoke + 30h hot air, "medium-peated" per the cited article).	springbank	4	Signatory Springbank Symington's Choice 1989 ; Springbank
stateless	Stateless	blend						unknown			unverified	unknown		Samples ("Banana", "Green Apple", "Banana Flavored") indicate a flavored whiskey/spirit-drink line rather than a conventional whisky; identity, origin and peat left unknown -- no search performed.	stateless	4	Stateless ; Stateless Banana ; Stateless Banana Flavored ; Stateless Green Apple
the-speaker	The Speaker	blend	GB-SCT			Block, Grey & Block Ltd	blend	none			unverified	low	https://www.whiskybase.com/whiskies/brand/85673/the-speaker?language=en	Blended Scotch whisky, limited information available; 5- and 12-year expressions listed on Whiskybase. No peat/smoke character found in available sources, hence low confidence despite the citation.	speaker|the speaker	4	Speaker
tottori	Tottori	blend	JP			Matsui Shuzo (Matsui Whisky)		unknown			unverified	low		Japanese blended whisky (Matsui Whisky); lookup attempt for this brand returned no usable page content (marketing-asset page only), so peat left unknown.	the tottori|tottori	4	The Tottori Bourbon Barrel ; Tottori ; Tottori Barell
wilton-house	Wilton House	blend	GB-SCT			La Martiniquaise		unknown			unverified	low	https://www.spiritradar.com/whisky-db/wilton-house-speyside-single-malt-scotch-whisky-peated-cmi-94227-charenton-france-40-percent-700ml/ https://caskcartel.com/products/wilton-house-10-year-old-highland-single-malt-scotch-whisky-700ml	Private-label range (bottled by First Blending Co / SVS La Martiniquaise) spanning at least Speyside and Highland single malt bottlings under one name; base/default peat level unclear so left unknown - see rule.tsv for the explicit "Peated" bottling	wilton house	4	Wilton House ; Wilton House Constable's Iberica ; Wilton House Peated
yoichi	Yoichi	distillery	JP			Nikka Whisky Distilling	single malt	medium			unverified	low	https://nonjatta.blogspot.com/search?q=yoichi+peat https://en.wikipedia.org/wiki/Yoichi_distillery	Nikka's original 1934 Hokkaido distillery, coal-fired direct-flame stills; traditionally the peatier/smokier half of Nikka's pair (vs Miyagikyo). Wikipedia's own distillery article is a peat-silent stub; the only citation reachable this session is a Nonjatta blog search hit titled "Yoichi 12 - fruit and peat" -- real but weak evidence. Official Nikka pages, distiller.com, dekanta.com and whisky.com/whiskybase were all blocked (403/404/cert errors) this session. Set medium rather than heavy since Yoichi is generally described as less extreme than Islay's heaviest malts, but a human should re-verify against a stronger source. One of this batch's highest-value rows per the brief.	yoichi	4	Yoichi
big-moustache	Big Moustache	blend	US					unknown			unverified	unknown		Catalogue lists this same name 3 times with inconsistent country/type (DE/blend, US/rye, US/blend); countryCode=US taken as the majority value, not a confirmed fact. No producer identified this session.	big moustache	3	Big Moustache
bradan-orach	Bradan Orach	brand	GB-SCT	speyside	speyside	Inver House Distillers	single malt	none	speyburn		unverified	low	https://en.wikipedia.org/wiki/Speyburn_distillery	Bradan Orach is Speyburn's entry-level NAS single malt; catalogue lists it under this name rather than 'Speyburn'. Peat inferred from the parent distillery's standard unpeated Speyside profile, not a Bradan-Orach-specific citation, hence confidence=low.	bradan orach|speyburn bradan orach	3	Speyburn Bradan Orach
cedar-ridge	Cedar Ridge	distillery	US					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Iowa craft distillery; range spans bourbon and wheat whiskey per samples (defaultTypeName left empty). Could not load their own site this session (DNS/403 errors on several domain guesses). Peat=none per general American-whiskey category norm (cited page: peat rarely used outside Scotland), confidence kept low since not distillery-specific.	cedar ridge	3	Cedar Ridge ; Cedar Ridge Iowa ; Cedar Ridge Wheat
clan-campbell	Clan Campbell	blend	GB-SCT				blend	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Established mass-market blended Scotch, popular in continental Europe. Ownership not verified this pass (attempted lookup of La Martiniquaise's brand list did not include it, so owner left empty rather than guessed); treated as unpeated per the ordinary blended-Scotch default.	clan campbell	3	Clan Campbell ; Clan Campbell Dark
clonakilty	Clonakilty	distillery	IE					none			unverified	low	https://en.wikipedia.org/wiki/List_of_whiskey_distilleries_in_Ireland https://en.wikipedia.org/wiki/Irish_whiskey	Independent craft distillery, County Cork, founded 2016. One sample ('Double Oak Blend') indicates the range includes a blend, so defaultTypeName left empty. peatProfile via general Irish-whiskey category fact, not distillery-specific.	clonakilty	3	Clonakilty ; Clonakilty Double Oak Blend ; Clonakilty Galley Head
crabbie	Crabbie	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	John Crabbie & Co blended Scotch; commonly attributed to Halewood International but not verified this session (dedicated Wikipedia page 404'd), so owner left empty. "Crabbie and Cree" sample is unclear - possibly a set or a specific SKU name - not further resolved. Peat=none per ordinary-blend category norm.	crabbie|crabbie cree|john crabbie	3	Crabbie and Cree ; Crabbie&Cree ; John Crabbie
crown-royal	Crown Royal	blend	CA			Diageo	blend	none			unverified	low	https://en.wikipedia.org/wiki/Crown_Royal https://en.wikipedia.org/wiki/Irish_whiskey	Blended Canadian whisky created by Seagram, owned by Diageo since 2000; blended/bottled in Amherstburg, Ontario. No Crown-Royal-specific peat statement found; peat citation is the general non-Scotch-unpeated statement (see canadian-club note).	crown royal	3	Crown Royal
dalmahoy	Dalmahoy	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No dedicated source found. Dalmahoy is a real place name (estate near Edinburgh) used as an own-label; treated as ordinary blended Scotch per category convention.	dalmahoy	3	Dalmahoy Bourbon Cask Finish ; Dalmahoy Rum Cask Finish ; Dalmahoy Sherry Cask Finish
daviess-county	Daviess County	brand	US			Lux Row Distillers	bourbon	none	lux-row-distillers		unverified	low	https://luxrowdistillers.com/	Bourbon brand (core, French Oak finish, Cabernet Sauvignon finish variants) produced at Lux Row Distillers.	daviess county	3	Daviess County ; Daviess County Cabernet Sauvignon ; Daviess County French Oak
drummers-reserve	Drummers Reserve	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found this session; assumed ordinary own-label blended Scotch per budget guidance.	drummers reserve	3	Drummers Reserve
eddu	Eddu	distillery	FR			Distillerie des Menhirs		none			unverified	low	https://en.wikipedia.org/wiki/Buckwheat_whisky	Buckwheat whisky from Distillerie des Menhirs, Brittany. Production process described (malting/kilning) makes no mention of peat; buckwheat whisky is not in the closed defaultTypeName list so left empty.	eddu	3	Eddu Grey Rock ; Eddu Silver Broceliande Pure Buckwheat ; Eddu Silver Pure Buckwheat
egans	Egan's	blend	IE					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Irish whiskey range (Vintage Grain, Fortitude, Legacy Reserve). No Wikipedia article found this session confirming producer/ownership; general knowledge points to P. & H. Egan Ltd (Tullamore) but this is unverified this session, left owner empty. Category default applied for peat (Irish whiskey almost always unpeated).	egans	3	Egan's Fortitude ; Egan's Legacy Reserve Series III ; Egan's Vintage Grain
eiregold	Eiregold	blend	IE			Hyde Irish Whiskey / Hibernia Distillers	blend	none			unverified	low	https://www.masterofmalt.com/whiskies/eiregold/eiregold-irish-whiskey/ https://www.irishmalts.com/blended/eiregold/	Blend of 80% single grain / 20% single malt, Co. Cork. No explicit peat statement; inferred unpeated from Irish tradition and tasting notes (honey, vanilla, toasted oak) with no smoke mentioned	eiregold	3	Eiregold ; Eiregold Special Reserve
evade	Evade	distillery	FR			Whiskies Du Monde	single malt	none			unverified	low	https://www.whiskiesdumonde.fr/en/whiskies-1/evade https://www.platinaliquor.com/liquor/evade-peated-french-single-malt-whisky/5688	French single malt launched 2019 by Whiskies Du Monde, made exclusively from French raw materials, non-chill-filtered. Base range unpeated -- see rule.tsv for the separate Peated expression. Correct accented spelling is 'Evade' (with acute accent on the final e); catalogue brand string 'Evade' is the unaccented form.	evade	3	Evade ; Evade Peated ; Evade Wine Cask Finish
filliers	Filliers	distillery	BE				single malt	none			unverified	low	https://en.wikipedia.org/wiki/Filliers https://filliersdistillery.com/en/	Primarily a jenever/gin distillery (Bachte-Maria-Leerne, since 1880) that also bottles whisky. Official site (fetched this session) confirms a "Single Malt Whisky" described as "100% aged in Sherry casks" -- matches this batch's own "Fillers Sherry Cask(/Strength)" samples exactly (note the catalogue's own spelling drops one 'l'). No peat mentioned on either source.	fillers|filliers	3	Fillers Sherry Cask ; Fillers Sherry Cask Strength ; Filliers
fujimi	Fujimi	blend						unknown			unverified	unknown		Sample 'Fujimi Matsui Distillery' suggests a possible tie to Matsui Shuzo (Japan, Kurayoshi/Tottori) but this is unconfirmed; part of the same unresolved cluster as Shinobu/Reki/Shin	fujimi	3	Fujimi ; Fujimi Matsui Distillery ; Fujimi The 7 Virtues of the Samurai
