copper-rivet	Copper Rivet Distillery	distillery	GB-ENG					unknown			unverified	low	https://en.wikipedia.org/wiki/List_of_whisky_distilleries_in_England	Added because Masthouse (this batch) references it via parentSlug. Chatham, Kent; also makes Dockyard gin and Vela vodka (not whisky).		0	
courage-conviction	Courage & Conviction	brand	US				single malt	none	virginia-distillery-company		unverified	low	https://vadistillery.com/	Virginia Distillery Company's flagship 100%-Virginia-distilled single malt line, cask-finished (Bourbon/Sherry/Cuvee/etc.) -- named explicitly on the official site as "our Courage & Conviction brand". No peat/smoke stated; peatProfile=none by the same reasoning as the parent row.	courage and conviction|courage conviction	0	
dubliner	The Dubliner	blend	IE					unknown			unverified	unknown		"The Dubliner Irish Whiskey" is a real retail brand but its current owner could not be confirmed this session (thedublinerwhiskey.com does not resolve, no Wikipedia article). "Bourbon Cask" is a cask-finish descriptor, not evidence of American whiskey.	dubliner|the dubliner	0	
echlinville	Echlinville	distillery	IE					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey https://echlinville.com/	Northern Ireland distillery (Co. Down, est. 2013, the first new Northern Irish distillery in generations), custodian of the Dunville's brand. Coded IE since the Irish Whiskey GI covers the whole island of Ireland; physically located in the UK (Northern Ireland).	echlinville	0	
eigashima	Eigashima Shuzo	distillery	JP					unknown			unverified	low	https://en.wikipedia.org/wiki/White_Oak_distillery	Runs the White Oak distillery in Akashi, Japan ("Akashi" branded whisky since 2007). Parent for the Tokinoka brand in this batch. Peat level not stated in the source, left unknown.	eigashima|eigashima shuzo	0	
element	Element	blend	IE					unknown			unverified	unknown		Producer not identified this session (guessed Echlinville Distillery and ruled it out -- its own site lists no "Element" brand). IMPORTANT: this project's own be/CLAUDE.md documents that the catalogue separately holds "Elements of Islay", "M&H Elements" and "Glenmorangie Elementa" as unrelated products specifically as an example of why the 5-character alias floor exists -- so the alias is deliberately kept at brand scope only; it will not resolve either "Element Fusion" or "Element Lore" in-name, which is the correct, honest outcome here.	element	0	
embra	Embra	brand	GB-SCT	lowland	lowland	David Robertson	single malt	medium	holyrood		unverified	high	https://en.wikipedia.org/wiki/Holyrood_distillery	Part of Holyrood's 2024-25 'Founding Series' of three single malts. Wikipedia: 'Embra, a peated whisky' -- stated without further qualifying intensity, so classified medium rather than heavy pending a tasting-note source.	embra	0	
finity	Finity	blend	IE					unknown			unverified	unknown		Producer not identified this session; "Irish Honey" suggests a honey-flavoured whiskey liqueur akin to Irish Mist/Bushmills Irish Honey. Alias kept at brand scope only: "Finity" is a substring of the unrelated common word/brand "Infinity", a real collision risk for in-name matching.	finity	0	
helsinki-distilling	Helsinki Distilling Company	distillery	FI					unknown			unverified	low	https://hdco.fi/	Helsinki, Finland; founded 2014, described as the first distillery in Helsinki in over a century. Named in TBWC's sample products. Could not confirm peat status within budget - left unknown rather than guessed.	helsinki|helsinki distilling company	0	
highlands-friends	Highland's Friends	blend	GB-SCT				blend	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Sample "Fauconnier Highland's Friends" -- Fauconnier is a long-established French Scotch whisky negociant/importer; treated as an ordinary unpeated blended Scotch, not brand-verified.	highlands friends	0	
kentucky-artisan-distillery	Kentucky Artisan Distillery	distillery	US				rye	none			unverified	low	https://www.breakingbourbon.com/review/coalition-straight-rye-margaux-barriques-finish	Also referred to as Thompson's Kentucky Artisan Distillery, Crestwood, KY; pre-Prohibition-era all-copper pot still. Source of Coalition's rye. American rye whiskey, no peat.		0	
king-robert-ii	King Robert II	blend	GB-SCT			Angus Dundee Distillers	blend	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Recognizable budget blended Scotch; treated as unpeated per the ordinary blended-Scotch default, not independently brand-verified this pass. Input spells the roman numeral "Ii" -- preserved verbatim in alias.tsv.	king robert ii	0	
lost-monarch	Lost Monarch	brand	US				blend	none	redwood-empire		unverified	low	https://redwoodempirewhiskey.com/	Redwood Empire's "Lost Monarch Small Batch Craft Whiskey Blend" (confirmed via their own site) -- a blend of bourbon and rye. Standard American whiskey, no peat mentioned.	lost monarch	0	
macintyres-drop	MacIntyre's Drop	blend	XX					unknown			unverified	unknown		Catalogue supplied no type/country guess at all; no web presence found. Own-label, origin unclear.	macintyres drop	0	
man-o-sword	Man O' Sword	brand	GB-SCT	lowland	lowland	Annandale Distillery Company	single malt	medium	annandale		unverified	high	https://en.wikipedia.org/wiki/Annandale_distillery	Annandale's single-cask range named after Robert the Bruce. Wikipedia states explicitly '(peated) Man O' Sword' but does not quantify intensity beyond the peated/unpeated split with Man O' Words, so classified medium rather than heavy pending a tasting-note source.	man o sword|man osword	0	
pipe-dream	Pipe Dream	brand	US				bourbon	none	redwood-empire		unverified	low	https://redwoodempirewhiskey.com/	Redwood Empire's "Pipe Dream Bourbon Whiskey" (confirmed via their own site). Standard American whiskey, no peat.	pipe dream	0	
