lou-gal	Lou Gal	blend	FR					none			unverified	low	https://www.labellevie.com/produit/60354/whisky-francais-40-lou-gal-70-cl https://www.whiskybase.com/whiskies/whisky/217366/lou-gal-whisky-franais	French whisky from the Gers/Gascony region, barley malt. No smoke/peat mentioned in tasting notes (vanilla, dried fruit, almonds, hazelnuts, caramel, apricot)	lou gal	1	Lou Gal French
malt-b	Malt B	blend						unknown			unverified	low		Not researched (budget); no distinguishing information in the catalogue sample.	malt b	1	Malt B
manhattan	Manhattan	blend	US					unknown			unverified	low		Own-label, no web presence found (name likely evokes the cocktail); fast-tracked per own-label rule.	manhattan	1	Manhattan
marc-de-champagne	Marc de Champagne	blend	FR					unknown			unverified	low		Likely NOT whisky - 'marc de Champagne' is a French grape-pomace brandy (eau-de-vie) from the Champagne region, almost certainly miscategorised in this catalogue; flagging for reviewer rather than inventing a whisky producer for it	marc de champagne	1	Marc de Champagne
mash-cut	Mash Cut	blend	XX					unknown			unverified	unknown		Could not identify this brand within budget; left entirely unknown.	mash cut	1	Mash Cut
mastersons	Masterson's	blend	CA				rye	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Sourced Canadian rye whiskey (Alberta Distillers stock), bottled by 35 Maple Street; not independently re-verified this pass. Canadian rye does not use peated malt.	mastersons	1	Masterson's
masthouse	Masthouse	brand	GB-ENG					unknown	copper-rivet		unverified	low	https://en.wikipedia.org/wiki/List_of_whisky_distilleries_in_England	Copper Rivet Distillery's whisky brand (Chatham, Kent) -- confirmed via Wikipedia's list of English whisky distilleries ("Copper Rivet Distillery ... set to launch Masthouse whisky"). defaultTypeName left empty: this batch's own product name says "Column Distilled" (implying a continuous/grain still) while Wikipedia describes the first release as single malt, suggesting the range spans more than one type. No peat statement found (copperrivetdistillery.com returned 403 both times fetched).	masthouse	1	Masthouse Column Distilled
mccarthys	McCarthy's	brand	US			Clear Creek Distillery	single malt	unknown	clear-creek		unverified	low		McCarthy's Oregon Single Malt Whiskey, made at Clear Creek Distillery (Hood River, Oregon) - confirmed via Wikipedia's Clear Creek Distillery article. That article does not discuss peat, and no other working source could be reached this session (McCarthy's own Wikipedia page and a distiller.com guess both 404/403'd; clearcreekdistillery.com failed TLS verification). McCarthy's is WIDELY reported in whiskey literature as made with malt imported from Scotland and heavily peated (commonly cited around 50ppm) - this is exactly the kind of positive peat claim the brief asks to flag: I could not verify it with an opened source this session, so it is left peatProfile=unknown rather than asserted. A human reviewer should very likely resolve this to heavy/medium with a proper citation.	mccarthys	1	McCarthy's
mckintyres	McKintyre's Club & Casino	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	Catalogue spells it "Mckintrye's Club & Casino" (aliased verbatim); name corrected here to the likelier intended spelling "McKintyre's". No web presence found; treated as an ordinary blended Scotch own-label per default rule -- see glen-talloch note for the peat citation rationale.	mckintryes club casino|mckintyres club casino	1	McKintrye's Club & Casino
method-and-madness	Method and Madness	brand	IE			Irish Distillers (Pernod Ricard)		unknown	midleton		unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey https://en.wikipedia.org/wiki/Irish_Distillers	Irish Distillers' innovation/experimental range, produced at Midleton, spanning single malt, single pot still and single grain (Pernod Ricard's own brand list confirms it in their portfolio). Type left empty (spans several). Peat left unknown rather than assumed "none": an experimental range could plausibly include a peated release and none of the sources opened confirmed either way.	method and madness	1	Method and Madness
minor-case	Minor Case	blend	US				rye	none			unverified	low	https://en.wikipedia.org/wiki/Rye_whiskey	American rye whiskey brand (sample "Rye Sherry Cask Finish"); likely sourced/contract-distilled like many small US rye brands, not independently confirmed this session. American rye is categorically unpeated.	minor case	1	Minor Case Rye Sherry Cask Finish
misaki	Misaki	blend	JP					unknown			unverified	unknown		No Wikipedia article or independent confirmation found this session. Flag for reviewer.	misaki	1	Misaki
mizen-head	Mizen Head	blend	IE				blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	No web presence found (single product). Named for Ireland's southernmost point; own-label Irish whiskey pattern, category default applied.	mizen head	1	Mizen Head
moonshine-runners	Moonshine Runners	blend	US					unknown			unverified	unknown		No web presence found for this exact brand; American whiskey/moonshine style assumed from name only	moonshine runners	1	Moonshine Runners
moulin	Moulin	blend						unknown			unverified	low		Not researched (budget); "Moulin" is ambiguous (French for "mill"; also a place name in Highland Scotland), so countryCode left empty rather than guessed.	moulin	1	Moulin
neidhal	Neidhal	blend	XX					unknown			unverified	unknown		Could not identify this brand within budget (possibly a small/regional producer); left entirely unknown.	neidhal	1	Neidhal
nelsons-green-brier	Nelson's Green Brier	distillery	US				tennessee	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Nashville, TN revival distillery (Nelson's Green Brier Distillery); Tennessee whiskey is a corn-based, charcoal-mellowed style unrelated to peat. Not independently re-verified this pass.	nelsons green brier	1	Nelson's Green Brier Tennessee
nirasaki	Nirasaki	blend	JP					unknown			unverified	unknown		Could not verify this brand this session (no Wikipedia page, no resolvable official site). Flagged for a human to check authenticity -- some Japanese-sounding export blends are not actually distilled in Japan.	nirasaki	1	Nirasaki
nobushi	Nobushi	blend						unknown			unverified	unknown		No information found within budget (no Wikipedia coverage). Origin and type undetermined.	nobushi	1	Nobushi
nor-loch	Nor'Loch	blend	GB-SCT					unknown			unverified	low		Undisclosed-source single malt label per BRIEF.md's rule 3 (same pattern as "Secret Orkney"/"Speyside's Finest"), named after Edinburgh's historic (drained) Nor Loch. No web presence found this session; not guessing the source distillery.	nor loch|norloch	1	Nor'Loch
o-dohertys	O'Dohertys	blend	IE					unknown			unverified	low		No web presence found this session; Irish-surname styling suggests an Irish whiskey own-label, unconfirmed.	o dohertys|odohertys	1	O'Dohertys
o-liam	O'Liam	blend	IE					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Presumed Irish whiskey brand by name; could not find a dedicated source this session. Peat=none per general Irish-whiskey category norm, confidence low.	o liam|oliam	1	O'Liam
old-angus	Old Angus	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found; treated as an ordinary own-label blended Scotch per budget policy.	old angus	1	Old Angus
