powers-johns-lane	Powers John's Lane	brand	IE			Irish Distillers (Pernod Ricard)	single pot still	none	midleton		unverified	high	https://en.wikipedia.org/wiki/Powers_(whiskey)	Verified via Wikipedia (Powers (whiskey)), fetched this session: Irish Distillers/Pernod Ricard-owned, produced at Midleton; John's Lane Release is a 12yo single pot still expression (matured mainly in ex-bourbon casks with some sherry-cask input), a relaunch of the pre-1976 single-pot-still style, distinct from the standard Powers Gold Label blend. No peat mentioned; Irish pot still whiskey is never peated. Confidence raised from low to high.
prologue	Prologue	blend	GB-SCT			Chapter 7	blend	none		chapter-7	unverified	high	https://scotchnoob.com/2021/10/04/chapter-7-prologue/ https://chapter7whisky.com/pages/anthology-our-whisky	Identified this session (seed round found no web presence): Prologue is independent bottler Chapter 7 Whisky's blended-malt series, vatted from Speyside+Highland single malts in bourbon casks, ~6000-bottle batches, no age statement. New bottlerSlug row chapter-7 created (see below). Standard batches are unpeated per scotchnoob.com's review (no peat mentioned); "Prologue Peated" is a distinct small-batch edition confirmed directly on chapter7whisky.com's own site (Prologue Peated Edition 4, World Edition 2/3, IWCS Silver 90pts) - handled as a name-pattern rule rather than a separate row, per the Bruichladdich/Port Charlotte precedent - see rule.tsv.
rabbit-hole	Rabbit Hole	distillery	US			Pernod Ricard		none			unverified	high	https://www.rabbitholedistillery.com/ https://www.rabbitholedistillery.com/pages/the-creative-spirit	Louisville, KY distillery; confirmed via official site (fetched this session), whose footer links to pernod-ricard.com confirm Pernod Ricard ownership. Core Four line (Cavehill, Heigold, Dareringer, Boxergrail) spans bourbon and a 95%-rye whiskey, so defaultTypeName is left empty. Mash bills (corn/wheat/barley/rye combinations) confirmed to contain no peated malt; no peat/smoke mentioned anywhere on the official site. Confidence raised from low to high.
redwood-empire	Redwood Empire	distillery	US					none			unverified	high	https://redwoodempirewhiskey.com/products/	Northern California craft whiskey producer; official products page (fetched this session) confirms the full range spans bourbon (Pipe Dream, Colonel Armstrong, Screaming Titan, Grizzly Beast), rye (Emerald Giant, Van Duzen, Rocket Top, Devils Tower), a blend (Lost Monarch, Hyperion) and a single malt (Foggy Burl) - defaultTypeName correctly left empty. No peat/smoke mentioned anywhere on the page. Confidence raised from low to high.
river-proof-series	River Proof Series	brand	US			Augusta Distillery	bourbon	none			unverified	high	https://kybourbondirect.com/products/river-proof-series-wheated-bourbon-750ml https://caskcartel.com/products/augusta-river-proof-series-straight-bourbon-whisky	Identified this session (seed round exhausted its search budget with no match). "River Proof Series" is a distillery-exclusive bourbon line from Augusta Distillery (Augusta, Kentucky area; founded by Lance Bates and partners), sold via Kentucky Bourbon Direct (wheated bourbon) and CaskCartel (straight bourbon, 61.6% ABV). Both retailer pages were fetched directly this session; no official Augusta Distillery site could be located. Reclassified kind from blend to brand (a single distillery's exclusive line, not a blended product) and countryCode from XX to US. No peat mentioned; US bourbon mash bills are not peated.
royal-stag	Royal Stag	blend	IN			Pernod Ricard	blend	none			unverified	high	https://en.wikipedia.org/wiki/Royal_Stag https://www.pernod-ricard.com/en/brands/royal-stag	Catalogue brand string for this row is "Seagram's Gin" but the sample product is "Seagram's Royal Stag Deluxe" - an Indian whisky (blend of Indian grain spirits + imported Scotch malts, launched 1995, Pernod Ricard-owned since 2001), not a gin; almost certainly a shop miscategorisation - FLAG FOR HUMAN REVIEW of the "Seagram's Gin" catalogue string. Confirmed via Wikipedia and Pernod Ricard's own brand page (both fetched this session). No source states peat use; treated as an ordinary mass-market blend (no smoky/peaty marketing, only a generic "touch of smoke" tasting note). Confidence raised from low to high.
ry3	RY3	blend						unknown			unverified	low		Retried this session (Total Wine, CraftShack, WoodenCork, HiProof, DramFellows product pages checked directly): confirms "RY3 Cigar Series Cask Strength" is a real 60.6% ABV rye whiskey with rum/Madeira/naranja cask finishing, but no page names the actual distiller, producer, state or country - likely an NDP (non-distiller-producer) sourced-whiskey label. No Wikipedia page and no official site could be found. Country and category remain undetermined; kept at low confidence per the brief ("world is genuinely silent").
seagrams	Seagram's	blend	CA			Sazerac Company	blend	none			unverified	high	https://www.sazerac.com/our-brands/sazerac-brands/seagrams.html https://en.wikipedia.org/wiki/Seagram https://en.wikipedia.org/wiki/Canadian_whisky	Models "Seagram's V.O." Canadian whisky, produced at the Valleyfield distillery (Quebec); confirmed directly on Sazerac's own brand page (fetched this session) as "Canadian Whisky" under Sazerac Brands, sold to Sazerac by Diageo in 2018 following the 2000 break-up of the original Seagram company. Blend of separately-aged corn/barley/rye whiskies, min. 6 years. The sample "100 Pipers 1970's (Seagram's)" is a different, Pernod-Ricard-India-owned Scotch blend that merely carries the historical Seagram name in some listings; not modeled by this row. No peat mentioned; Canadian whisky mash bills are not peated. Confidence raised from low to high.
secret-orkney	Secret Orkney	brand	GB-SCT	islands	highland		single malt	unknown			unverified	high	https://www.moredramslessdrama.com/2025/10/13/three-independent-secret-orkney/ https://www.htfw.com/brands/undisclosed_orkney	"Secret Orkney"/"Undisclosed Orkney" is a generic descriptor used by many different independent bottlers (Signatory Vintage, Douglas Laing, Brühler Whiskyhaus, The Single Cask Ltd, Malt Grain & Cane, etc.) for undisclosed-source single malt from Orkney. Reclassified kind from blend to brand and added defaultTypeName=single malt, since it is never a blended product - confirmed via two independent review/reference sites fetched this session. Multiple sources agree it is "pretty much always" Highland Park, since Scapa does not release independent bottlings (Orkney has only these two distilleries) - deliberately not asserted as parentSlug since no single label discloses it. withheld peat proposal: light, per moredramslessdrama.com's tasting notes across three Secret Orkney bottlings ("delicate smoke", "faint ethereal smoke", "smoked oranges"), consistent with Highland Park's typical light peat - kept unknown since the source distillery is deliberately undisclosed by design on every release of this label, so no producer-domain confirmation is possible.
spirit-of-voodoo	Spirit of Voodoo	brand	GB-SCT					unknown		brave-new-spirits	unverified	high	https://www.masterofmalt.com/whiskies/brave-new-spirits/blood-moon-13-year-old-spirit-of-voodoo-whisky/ https://caskcartel.com/products/blood-moon-13-year-old-spirit-of-voodoo-whisky-700ml	Catalogue brand string is "Whisky of Voodoo" but every sampled product actually reads "Spirit of Voodoo ..." - modelled under the real product-line name, both spellings aliased - FLAG FOR HUMAN REVIEW of the "Whisky of Voodoo" catalogue string. Identified this session (seed round's search budget was exhausted): Spirit of Voodoo is a range from Brave New Spirits, a Glasgow-based independent bottler/blender (new bottlerSlug row created, see below) - corrected countryCode from XX to GB-SCT and kind from blend to brand. Blood Moon (13yo) is single grain Scotch from North British Distillery (Lowland), confirmed via CaskCartel's product page fetched this session; Mask of Death (10yo) is Speyside single malt and The Dancing Cultist (12yo) undisclosed Highland single malt per Master of Malt - spans grain+malt across three regions, so region/legalRegion/defaultTypeName are left empty. No peat stated for any of the three; kept unknown.
