johnnie-walker	Johnnie Walker	blend	GB-SCT			Diageo	blend	light			unverified	high	https://en.wikipedia.org/wiki/Johnnie_Walker	Brief's own calibration brand for "light". Cited article confirms Double Black was created by "adding more peaty malt whiskies" to Black Label, i.e. Black already carries a peaty component. This batch's samples are mostly Red Label (the lighter end of the light band).
hart-brothers	Hart Brothers	bottler	GB-SCT					unknown			unverified	low		Independent bottler. Distillery rows added below for Girvan/Royal Brackla/Dalmore/Tomatin/BenRiach, named in this brand's samples.
hankey-bannister	Hankey Bannister	blend	GB-SCT			Inver House Distillers	blend	none			unverified	low	https://en.wikipedia.org/wiki/Hankey_Bannister https://en.wikipedia.org/wiki/Inver_House_Distillers	Blended Scotch produced by Inver House Distillers (ThaiBev subsidiary). Inver House's own malt distilleries (Balmenach, Pulteney, Knockdhu, Speyburn) are not notably peated, so the blend is inferred unpeated; no source states this directly for the blend itself.
tomintoul	Tomintoul	distillery	GB-SCT	speyside	speyside	Angus Dundee Distillers	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Tomintoul_distillery	Core range (10/12/14/16/21yo, vintages) is unpeated. The distillery separately bottles a "Peaty Tang" expression (see rule) and the much heavier Old Ballantruan, which is not in this batch's samples.
benromach	Benromach	distillery	GB-SCT	speyside	speyside	Gordon & MacPhail	single malt	light			unverified	high	https://en.wikipedia.org/wiki/Benromach_distillery	Core range is Speyside's classic lightly-peated house style (brief's own calibration example). Peat Smoke is a separate heavily-peated bottling in the distillery's own lineup, see rule (matches brief's own worked example verbatim).
dunvilles	Dunville's	brand	IE			Echlinville Distillery		none	echlinville		unverified	high	https://en.wikipedia.org/wiki/Irish_whiskey https://echlinville.com/	Historic Belfast brand revived by Echlinville Distillery (Co. Down, Northern Ireland; coded IE because the Irish Whiskey GI covers the whole island). Core range (PX, 1808, Oloroso, Blend) is unpeated Irish-style, BUT the cited Wikipedia Irish-whiskey article names "Dunville's peated" as a specific, named exception to the Irish norm. This batch's "Dunville's Dead Island" sample may or may not be that peated release -- could not confirm either way this session, reviewer should check before trusting the base peatProfile for that particular bottling.
john-barr	John Barr	blend	GB-SCT			Whyte & Mackay	blend	none			unverified	low	https://en.wikipedia.org/wiki/Whyte_%26_Mackay	Blended Scotch sold under Whyte & Mackay. No peat-specific source found; inferred unpeated from the company's typical portfolio character (Dalmore/Fettercairn/Jura are not notably smoky).
murray-mcdavid	Murray McDavid	bottler	GB-SCT					unknown			unverified	high	https://en.wikipedia.org/wiki/Murray_McDavid	Confirmed independent bottler of vintage single malts, grains and blended malts. Distillery rows added below for Mortlach/Macallan/Bunnahabhain/Caol Ila/Bowmore/Laphroaig/North British, all named in this brand's samples.
dewar-rattray	Dewar Rattray	bottler	GB-SCT					unknown			unverified	low		Independent bottler (A. Dewar Rattray). Distillery rows added below for Glenrothes/Auchentoshan, named in this brand's samples. Also markets its own recreated blended-malt brand "Stronachie" (see stronachie row), named after a long-closed distillery not in the Wikipedia operating-distilleries authority file.
boulder	Boulder Spirits	distillery	US					none			unverified	low	https://boulderspirits.com/	Colorado craft distillery; its own site states "American Single Malt Whiskey" as its focus, with no bourbon mentioned. Core range presumed unpeated; catalogue also lists "Boulder Peated Malt" as a distinct expression -- likely already caught by the central "peated" keyword rule, no producer rule added. defaultTypeName left empty since it is unclear whether the whole range is single malt only.
