bercloux	Bercloux	distillery	FR					unknown			unverified	high	https://privatewhiskysociety.com/distillerie-bercloux/ https://bercloux.fr/index.php/hstory/	Confirmed real: Distillerie de Bercloux, founded 2002 by Philippe Laclie in the Cognac region of Charente-Maritime, France (16 Rue de la Mairie, Bercloux) -- began offering Single Malt Bercloux in 2016, confirmed via the distillery's own site (bercloux.fr) and a whisky retailer's history page. Corrected kind from blend to distillery (a real, named, operating French distillery, not an undisclosed-origin label). Third-party sources describe "future" peated/smoked whiskies as merely planned circa 2018; no producer-domain confirmation that a peated release exists today, so kept unknown rather than asserted.
bernheim	Bernheim	brand	US			Heaven Hill		none	heaven-hill		unverified	high	https://heavenhilldistillery.com/bernheim-straight-wheat-whiskey.php https://en.wikipedia.org/wiki/Bernheim_Original	Confirmed via Heaven Hill's own product page (corrected the seed's unrelated Irish-whiskey Wikipedia link): Bernheim Original is a 7-year-old Kentucky Straight Wheat Whiskey made at Heaven Hill's Bernheim plant in Louisville -- "the first new style of American whiskey since Prohibition." defaultTypeName stays empty (wheat whiskey has no match in the closed list). peatProfile=none: no peat/smoke on the producer's own page; American-whiskey convention (not a positive claim, so no domain corroboration required).
bib-tucker	Bib & Tucker	brand	US			Deutsch Family Wine & Spirits	bourbon	none			unverified	high	https://bibandtuckerbourbon.com/our-process/ https://oakr.com/bib-tucker-bourbon-ndp-guide/	Confirmed via the brand's own site (bibandtuckerbourbon.com): small-batch bourbon aged a minimum of 6 years in Tennessee, corn/rye/barley mash bill, matching the sample "Bib&Tucker Small Batch." Owner corrected via oakr.com's deep-dive: Deutsch Family Wine & Spirits owns it as a non-distiller producer sourcing Tennessee bourbon (widely attributed to Cascade Hollow/George Dickel, though officially undisclosed, so no distillery asserted). Kind corrected from blend to brand. peatProfile=none, no peat/smoke on the producer's own page; American-bourbon convention.
billy-bong	Billy Bong	brand	US			Les Producteurs Réunis		none			unverified	high	https://billy-bong.com https://www.lesproducteursreunis.com/product/billy-bong-straight-bourbon	Corrected: real cowboy-themed brand with its own site (billy-bong.com), owned by Les Producteurs Réunis (French spirits company) per their own product listing, which states the Straight Bourbon's origin as "US." The brand also carries a separate "Billy Bong American Whiskey" line, so defaultTypeName is left empty (spans more than one type) rather than the seed's "bourbon". Kind corrected from distillery to brand (no distillery of its own; sourced/bottled for the brand owner). peatProfile=none: no peat/smoke mentioned anywhere; American-whiskey convention.
blairfindy	Blairfindy	brand	GB-SCT	speyside	speyside		single malt	none	glenfarclas	blackadder	unverified	high	https://wordsofwhisky.com/?s=Blairfindy https://blackadder.com https://en.wikipedia.org/wiki/Blackadder_(whisky_bottler)	Resolved (the seed correctly spotted the Speyside/Glenlivet-area toponymy but stopped short of the producer): "Blairfindy" is Blackadder's substitute name for single malt Glenfarclas -- confirmed via wordsofwhisky.com (opened this session): "Glenfarclas isn't too keen on independent bottlers using their name...Blairfindy is what Blackadder settled on," corroborated by whiskybase's own brand summary and multiple auction listings titled "Glenfarclas 'Blairfindy'." parentSlug set to the already-live glenfarclas. bottlerSlug set to a new row, blackadder (Blackadder International Ltd, family-run independent bottler of single malt Scotch, est. 1995, whose signature "Raw Cask" series matches this batch's sample name exactly -- confirmed via the bottler's own site and Wikipedia). Corrected kind to brand and defaultTypeName to single malt (sources consistently call it single malt, not a blended-malt teaspoon). peatProfile=none per Glenfarclas's well-documented unpeated Speyside sherry-cask house style (also consistent with a whiskybase reviewer's comment that this bottling "destroys peaty whisky").
bold-thady	Bold Thady	blend	IE				blend	none			unverified	high	https://thinkboldstudio.com/our-work/portfolio/bold-thady	Upgraded from the seed's guesswork: confirmed via the bottle designer's own case-study page (thinkboldstudio.com, opened this session) that Bold Thady Irish Whiskey is a real commercial product, "a blend of the finest grain and malt," triple distilled and married in first-fill bourbon casks -- matches the sample "Bold Thady Bourbon Casks Matured" exactly. Name-origin guess (the folk song "Bold Thady Quill") is confirmed on the same page. No specific distillery/bottler company identified. peatProfile=none, no peat/smoke in the recipe description; ordinary Irish blend.
bombergers	Bomberger's	brand	US				bourbon	none	michters		unverified	high	https://michters.com/whiskeys/bombergers-declaration/ https://en.wikipedia.org/wiki/Bomberger%27s_Distillery	Confirmed via Michter's own product page: Bomberger's Declaration is a genuine Michter's Legacy Series release (108-proof Kentucky Straight Bourbon, aged in Chinquapin and Hungarian oak), validating the seed's parentSlug=michters (already live). Note for a reviewer: Wikipedia's Bomberger's Distillery article separately describes an unrelated modern "Bomberger's"-branded blend from Heritage Spirits/Thistle Finch Distillery (Lancaster, PA) that is NOT this product -- two different companies revived the name independently. peatProfile=none, no peat/smoke on Michter's own page; American-bourbon convention.
bonailie	Bonailie	brand	GB-SCT	lowland	lowland		malt	none	bladnoch		unverified	high	https://caskcartel.com/products/bonailie-blended-malt-scotch-whisky-700ml	Confirmed (the seed's "believed, not confirmed" is now settled): Bonailie Blended Malt Scotch Whisky is "produced by the team at the Bladnoch distillery in the Lowlands" (caskcartel.com, opened this session, cross-checked against a Master of Malt snippet naming Bladnoch too). parentSlug set to the already-live bladnoch. Corrected kind to brand and defaultTypeName to malt (blended malt specifically, not the seed's generic "blend"). "Bonailie" is Scottish Gaelic for a parting drink. peatProfile=none, no peat/smoke mentioned; matches Lowland's characteristically light, unpeated style.
buchanans	Buchanan's	blend	GB-SCT			Diageo	blend	none			unverified	high	https://en.wikipedia.org/wiki/Buchanan%27s	Re-verified this session (opened Wikipedia directly): "Buchanan's is a brand of Scotch whisky produced by Diageo in Scotland," established 1884 by James Buchanan & Co. Matches the seed exactly; confidence raised from low to high since the citation is now personally confirmed. peatProfile=none, no peat or smoke character mentioned.
cask-orkney	Cask Orkney	brand	GB-SCT	islands	highland		single malt	light		dewar-rattray	unverified	high	https://www.adrattray.com/our-whisky/casks-of-scotland https://www.adrattray.com/our-story	Confirmed via the bottler's own site (adrattray.com, opened this session): Cask Orkney 15 Year Old is "a lightly peated single malt, capturing the spirit of Orkney" from A.D. Rattray's Casks of Scotland collection -- source distillery deliberately undisclosed (parentSlug left blank), matching the Secret Orkney pattern (Orkney has only two distilleries, Highland Park and Scapa; Scapa releases no independent bottlings). peatProfile=light satisfies the gate via direct bottler-domain corroboration. bottlerSlug set to the already-live dewar-rattray: A.D. Rattray's own "Our Story" page confirms the company was founded by Andrew Dewar Rattray in 1868, run today by the Morrison family -- the same entity as "A Dewar Rattray." Corrected kind to brand.
