Burnside	burnside	any	Cadenhead Burnside is a real catalogue row; brand scope could never reach it.
Clan Denny	clan-denny	any	Douglas Laing range; the catalogue names it inside the product name.
Hepburn's Choice	hunter-laing	any	Hunter Laing range; Glengoyne - Hepburn's Choice is a real catalogue row.
Hepburns Choice	hunter-laing	any	Apostrophe-free spelling.
Old Particular	douglas-laing	any	Douglas Laing range appearing only inside product names.
Xtra Old Particular	douglas-laing	any	The XOP range, spelled out.
Provenance	douglas-laing	any	Douglas Laing range named only inside product names.
Timorous Beastie	douglas-laing	any	Douglas Laing blended malt range.
Scallywag	douglas-laing	any	Douglas Laing blended malt range.
Rock Oyster	douglas-laing	any	Douglas Laing blended malt range.
The Epicurean	douglas-laing	any	Douglas Laing blended malt range.
Big Peat	big-peat	any	Already a producer; the name-scope alias lets an IB-titled bottling reach it.
Cask Orkney	cask-orkney	any	Douglas Laing undisclosed Orkney label.
An Orkney	an-orkney	any	The teaspooned Highland Park label the plan names as an acceptance row.
