gordon-macphail	Gordon & MacPhail	bottler	GB-SCT					unknown			unverified	high	https://www.gordonandmacphail.com/our-whiskies/ranges/speymalt	Independent bottler founded 1895, Elgin. Speymalt is their dedicated range name for Macallan-sourced whisky (see speymalt row). Bottler has no single house peat level.
caol-ila	Caol Ila	distillery	GB-SCT	islay	islay	Diageo	single malt	medium			unverified	high	https://www.casktrade.com/whiskypedia/caol-ila-distillery-focus/ https://whiskylodge.com/en/235-caol-ila	30-35ppm; medium/gentler peat by Islay standards per multiple sources, less brash than Ardbeg/Lagavulin. Named in Gordon & MacPhail samples.
strathisla	Strathisla	distillery	GB-SCT	speyside	speyside	Chivas Brothers (Pernod Ricard)	single malt	none			unverified	high	https://www.whisky.com/whisky-database/distilleries/details/strathisla.html	Oldest continuously operating distillery in Scotland; malt predominantly unpeated. Named in Gordon & MacPhail samples; also the heart of the Chivas Regal blend.
macallan	Macallan	distillery	GB-SCT	speyside	speyside	Edrington	single malt	none			unverified	high	https://en.wikipedia.org/wiki/The_Macallan_distillery	Unpeated malted barley to tightly defined maltster specs. Named in Gordon & MacPhail samples (Speymalt range).
mortlach	Mortlach	distillery	GB-SCT	speyside	speyside	Diageo	single malt	none			unverified	high	https://www.whisky.com/whisky-database/distilleries/details/mortlach.html	'Beast of Dufftown' -- meaty/sulphury house character, not peat. Named in Gordon & MacPhail samples.
glenrothes	Glenrothes	distillery	GB-SCT	speyside	speyside	Edrington	single malt	none			unverified	high	https://en.wikipedia.org/wiki/The_Glenrothes_distillery	Unpeated or very lightly peated barley; sherry-cask-forward house style. Named in Gordon & MacPhail samples.
ardmore	Ardmore	distillery	GB-SCT	highland	highland	Beam Suntory	single malt	medium			unverified	high	https://scotchwhisky.com/whiskypedia/1809/ardmore/	Unusual peated Highland malt (most Highland distilleries are unpeated), 12-14ppm; historically the smoky backbone of Teacher's blend. Named in Gordon & MacPhail samples.
speymalt	Speymalt	brand	GB-SCT	speyside	speyside		single malt	none	macallan	gordon-macphail	unverified	high	https://www.gordonandmacphail.com/our-whiskies/ranges/speymalt	Gordon & MacPhail's dedicated range name reserved for independently-bottled Macallan; spirit is distilled at Macallan so peat profile is identical (none), not merely inherited.
chivas-regal	Chivas Regal	blend	GB-SCT			Pernod Ricard (Chivas Brothers)	blend	light			unverified	low	https://www.drinkspirits.com/scotch-whisky/deconstructing-chivas-regal-18/ https://www.diffordsguide.com/beer-wine-spirits/764/chivas-regal-12-year-old	Strathisla-led premium blend. Sources describe a subtle/elegant smokiness from cask finishing rather than heavy peating -- classified light rather than none out of caution; genuinely uncertain, hence low confidence. A separate 'Extra Smooth & Smoky' cask-finish SKU exists but no rule was written for it (finish-derived, not confirmed peat).
tullamore-dew	Tullamore Dew	blend	IE			William Grant & Sons		none			unverified	high	https://en.wikipedia.org/wiki/Tullamore_Dew	Irish blend (pot still + malt + grain); William Grant & Sons since 2010, new Tullamore distillery opened 2014. defaultTypeName left empty: the wider range also includes single malt and single pot still expressions beyond the flagship blend.
mars	Mars	distillery	JP			Hombo Shuzo Co., Ltd.		unknown			unverified	low	https://en.wikipedia.org/wiki/Shinshu_Mars_distillery	Hombo Shuzo operates TWO distilleries (Shinshu, Nagano + Tsunuki, Kagoshima) under the Mars brand; Shinshu alone runs FOUR peating levels (unpeated / 3.5ppm / 20ppm / 50ppm) depending on release, so no single peat profile applies -- left unknown deliberately. Samples span both distilleries and several product lines (Iwai, Kasei, Cosmo, Tsunuki, Y.A).
edradour	Edradour	distillery	GB-SCT	highland	highland	Edradour Distillery Company (Signatory Vintage / Andrew Symington)	single malt	none			unverified	high	https://scotchwhisky.com/whiskypedia/2644/edradour-distillery-company/ https://en.wikipedia.org/wiki/Edradour_distillery	Core Edradour range is unpeated. The distillery also produces the heavily-peated Ballechin line since 2003 (separate producer row, sibling brand -- do not average).
