lou-gal	Lou Gal	blend	FR					none			unverified	high	https://www.labellevie.com/produit/60354/whisky-francais-40-lou-gal-70-cl	French whisky brand from the Gers/Gascony region (barley malt blend, French oak aged). Confirmed as a real, currently-sold product via labellevie.com (opened): "Whisky francais 40, Lou Gal, 70cl". No smoke/peat in the catalogue's tasting notes (vanilla, dried fruit, almonds, hazelnuts, caramel, apricot); French whisky has no peat tradition, so peat=none. No specific distiller/bottler company identified this round.
malt-b	Malt B	blend	GB-SCT				malt	unknown			unverified	high	https://caskcartel.com/products/malt-b-blended-malt-scotch-whisky-700ml	Confirmed via caskcartel.com (opened): "Malt B" is a 100% Blended Malt Scotch Whisky (bourbon-cask base, Chardonnay-cask and Cabernet Sauvignon-cask finishes, plus a 10% peated-malt-whisky component). "Scotch" in the legal category name fixes countryCode=GB-SCT despite that same page's contradictory "Ireland" origin field (a data error on the retailer's side). No bottler company identified. withheld peat proposal: light, per the stated 10% peated component - not a producer-domain source, so kept unknown.
manhattan	Manhattan	blend	US					unknown			unverified	low		Re-searched this round (English and Ukrainian-language queries); still no identifiable whiskey brand called "Manhattan" distinct from the cocktail of the same name. Likely a minor own-label with no online footprint; kept low per seed's own-label reasoning, unconfirmed.
mash-cut	Mash Cut	brand	GB-SCT			Ian Macleod Distillers Ltd	malt	unknown			unverified	high	https://www.barrelhouseinc.com/product/mash-cut/	Previously unresearched by the seed round (was countryCode=XX, confidence=unknown) - now identified: "Mash Cut Blended Malt Scotch Whisky", bottled by Ian Macleod Distillers Ltd (Broxburn, Scotland), a blend of regional single malt Scotch whiskies honouring Scotland's mashmen/women. Confirmed via barrelhouseinc.com (opened), which also notes "a lingering smokiness and a touch of earthy richness" in the finish. withheld peat proposal: light, per that finish note plus a separate retailer (caskcartel.com) stating a 10% peated-malt-whisky component in the blend - neither is Ian Macleod's own domain, so kept unknown.
mastersons	Masterson's	brand	CA			35 Maple Street (The Other Guys); distilled by Alberta Distillers, Calgary	rye	none			unverified	high	https://canadianwhisky.org/blog/reviews/mastersons-straight-rye-whiskey-45-alc-vol.html	Corrected kind blend->brand: Masterson's is a single-source NDP rye, not a blend of multiple whiskies. Confirmed via canadianwhisky.org (opened): distilled in a pot still at Alberta Distillers Limited, Calgary, Alberta, Canada; bottled by 35 Maple, a division of The Other Guys (Sonoma, CA). 100% rye grain mash, meets the US straight-rye standard despite Canadian origin; named for lawman Bat Masterson. No peat/smoke in tasting notes; Canadian rye whisky categorically uses no peated malt, so peat=none (kept from seed).
masthouse	Masthouse	brand	GB-ENG			Copper Rivet Distillery		unknown			unverified	high	https://whiskycenter.com/brands/copper-rivet-distillery/masthouse-whisky/	Confirmed via whiskycenter.com (opened): Copper Rivet Distillery's (Chatham, Kent) Masthouse range spans Grain Whisky, "Column Malt" (matches the catalogue's own sample name "Masthouse Column Distilled"), Single Malt (Batch 2) and Single Cask releases - genuinely multi-type, so defaultTypeName is kept empty. No peat/smoke mentioned across any of the 5 listed expressions (consistently apple/peach/vanilla/cinnamon character), but copperrivetdistillery.com itself still 403s on every attempt (this round and the seed round), so no explicit "unpeated" statement was found; kept unknown rather than asserting none.
mccarthys	McCarthy's	brand	US			Clear Creek Distillery (owned by Hood River Distillers since 2014)	single malt	heavy	clear-creek		unverified	high	https://www.hrdspirits.com/mccarthys-oregon-single-malt	Resolves the seed round's flagged uncertainty. Peat corroborated on the current owner's own domain, hrdspirits.com (opened, Hood River Distillers, which has owned Clear Creek Distillery since 2014): the 3-year is "a robust and smoky nose ... a warm finish of honey and delicate peat", the 6-year has "the balance of peat and oak" and "the tempting smell of a nearby campfire", and the 6-year PX Sherry Cask has "smoke and sawdust" / "the lingering smoke of cold campfire embers". Malted barley is imported peated from Scotland; long compared to Islay malts like Lagavulin (Wikipedia/thewhiskeywash, seen via search, not reopened this session but consistent with the producer-domain evidence). peatProfile raised from unknown to heavy.
mckintyres	McKintyre's Club & Casino	brand	GB-SCT				single malt	unknown		brave-new-spirits	unverified	high	https://reallygoodwhisky.com/en-us/products/mckintryes-club-and-casino-10-year-old-single-malt-scotch-whisky-70cl-46 https://www.bravenewspirits.com/	Corrected kind blend->brand and defaultTypeName blend->single malt: this is a 10 Year Old Single Malt Scotch Whisky (not a blend), bottled by Brave New Spirits, an independent Scotch bottler based in Glasgow (confirmed via bravenewspirits.com, opened - new bottler row added, brave-new-spirits). Confirmed via reallygoodwhisky.com (opened): "10 Year Old Single Malt Scotch Whisky", ex-bourbon barrels, 46% ABV; also sold in Ukraine (wine-point.ua, matching this catalogue's likely source). Several aggregator listings say Speyside/undisclosed distillery, but no source I personally opened states the region, so region is left blank. Peat changed from the seed's "none" (which assumed an ordinary blended Scotch) to "unknown": no peat/smoke mentioned in any source opened, and the seed's blended-Scotch default no longer applies now that this is confirmed a single malt of undisclosed origin.
method-and-madness	Method and Madness	brand	IE			Irish Distillers (Pernod Ricard)		unknown	midleton		unverified	high	https://www.pernod-ricard.com/en/brands/method-and-madness	Confirmed via pernod-ricard.com (opened, the brand owner's own corporate site): Irish Distillers' Method & Madness range from Midleton's microdistillery - Single Malt (French Limousin oak) and Single Grain (Virgin Spanish Oak) shown there; other sources (not reopened this session) add a Single Pot Still expression. Genuinely multi-type, so defaultTypeName stays empty. No peat/smoke mentioned for any expression seen; kept unknown rather than none since this is a deliberately experimental range.
minor-case	Minor Case	brand	US			Limestone Branch Distillery Co. (sourced from MGP Ingredients, Indiana)	rye	none			unverified	high	https://www.breakingbourbon.com/review/minor-case-rye-sherry-cask-finished-2017	Confirmed via breakingbourbon.com (opened): Minor Case is a Limestone Branch Distillery Co. (Lebanon, KY) brand, named for Minor Case Beam; the rye itself is distilled and aged at MGP Ingredients, Indiana, then finished in sherry casks by Limestone Branch. No peat/smoke in the review; American rye is categorically unpeated, so peat=none (kept from seed).
misaki	Misaki	brand	JP			Les Grands Chais de France (distributor/bottler)		unknown			unverified	high	https://www.whisky.fr/en/misaki-mizunara-oak-finish.html	Corrected countryCode from empty/unresearched to JP: confirmed via whisky.fr / Maison du Whisky (opened), a specialist French retailer: a blended whisky produced in Japan (Honshu, Nara), first aged in sherry and bourbon casks then finished in Mizunara oak; bottled/distributed by Les Grands Chais de France. No peat/smoke mentioned. Distinct from the unrelated "Misaka" whisky collection (a different company, Global Drinks) seen in search results - not conflated here.
mizen-head	Mizen Head	brand	IE			West Cork Distillers		none	west-cork		unverified	high	https://www.irishmalts.com/blended/mizen-head-blended/	Corrected kind blend->brand: Mizen Head is West Cork Distillers' brand name (Skibbereen, Co. Cork), not a blend entity in itself; parentSlug=west-cork (live). Confirmed via irishmalts.com (opened): "Mizen Head Blended Irish Whiskey", a blend of grain and malt distillates aged in sherry casks - matches the catalogue sample name exactly; tasting notes (meadow, pear, honey, vanilla, brown sugar, Christmas cake) show no smoke/peat character, so peat=none for this product. The wider Mizen Head range also includes a 14 Year Old Cask Strength single malt (per other retailers, not reopened this session), so defaultTypeName is left empty.
moonshine-runners	Moonshine Runners	brand	XX			Sodiko (Diepenbeek, Belgium)		none			unverified	high	https://www.sodiko.be/en/moonshine-runners-north-american-blended-whiskey	Corrected countryCode from US to XX: confirmed via sodiko.be (opened, the bottler's own domain) that this is explicitly "a taste of American and Canadian tradition" - a cross-border North American blend, not purely US-sourced, so no single country code fits. Bottled/marketed by Sodiko, a Belgian beverage company (founded 1991) in Diepenbeek. Matured in bourbon-soaked American white oak; dried-fruit/oak/vanilla notes, no peat/smoke mentioned, kept none per the ordinary-blend default.
moulin	Moulin	blend						unknown			unverified	low		Re-searched this round; still no identifiable whisky brand called "Moulin" (search surfaces only an unrelated "Moulin Vodka" from Angouleme, France, and Highland-place-name/rum results). Ambiguous name kept unresolved; countryCode left empty rather than guessed.
neidhal	Neidhal	brand	IN				single malt	light		amrut	unverified	high	https://amrutdistilleries.com/amrut-neidhal-whisky/ https://www.whiskynotes.be/2023/world/amrut-neidhal-single-malts-of-india/	Major correction: countryCode XX->IN, kind blend->brand. Neidhal is the first release in Amrut's "Single Malts of India" independent-bottling series: spirit "procured from another [undisclosed] distillery and polished at Amrut" (amrutdistilleries.com, opened, Amrut's own domain - bottlerSlug=amrut, already live). That same page headlines it "Peated Indian Single Malt Whisky", the producer-domain corroboration the peat rule requires; whiskynotes.be (opened) qualifies it as "only light peat" on the nose (mesquite/heather smoke), so peat=light. Source distillery undisclosed ("an undisclosed coastal distillery" per whiskynotes.be), so no parentSlug. Limited release of 12,000 bottles.
nelsons-green-brier	Nelson's Green Brier	distillery	US				tennessee	none			unverified	high	https://greenbrierdistillery.com/	Confirmed via greenbrierdistillery.com (opened, the producer's own domain): Nashville revival distillery; "Green Brier Tennessee Whiskey" recreates the 1860 Charles Nelson recipe, first bottled since 1909 in 2019. No peat/smoke mentioned anywhere on the producer's own site; Tennessee whiskey style (corn-based mash, charcoal mellowing) categorically excludes peat, so peat=none. The distillery also makes a separately-branded "Nelson Brothers" bourbon/rye line, not covered by this row (the catalogue sample name matches only the Tennessee-whiskey line).
nirasaki	Nirasaki	blend	JP					unknown			unverified	high	https://www.kixdutyfree.jp/en/whisky-koshu-nirasaki-japanese-whisky-pure-malt-2215100141.html	Confirmed via kixdutyfree.jp (opened, a Japan-based duty-free retailer): "Koshu Nirasaki Japanese Whisky Pure Malt", from a Yamanashi-prefecture "Nirasaki Distillery" per other listings (not reopened this session); distinct "Pure Malt" and "Blended" (grain-inclusive) variants both exist, so defaultTypeName is left empty and no specific owner/bottler company was confirmed. withheld peat proposal: heavy ("strong peat" per kixdutyfree.jp and other retailer listings) - not a producer-domain source, so kept unknown.
nobushi	Nobushi	brand	JP			distilled by Kiyokawa Co Ltd (Nagano Prefecture); marketed by Fraternity Spirits (Costa Rica)		unknown			unverified	high	https://nobushiwhiskey.com/	Confirmed via nobushiwhiskey.com (opened, footer credits (c) Fraternity Spirits): a blend of malt and grain whisky from Miyagi/Nagano/Hokkaido, distilled by Kiyokawa Co Ltd in Nagano Prefecture, Japan, and marketed internationally by Fraternity Spirits World (Costa Rica-based, per trade press seen via search, not reopened this session). No peat/smoke mentioned on the producer's own site.
nor-loch	Nor'Loch	blend	GB-SCT					unknown			unverified	low		Re-searched this round with several spellings ("Nor'Loch", "Norloch", "Nor Loch"); confirmed only the historical Edinburgh loch (drained in the late 18th century, now Princes Street Gardens/Waverley Station) - no whisky brand of this name found anywhere. The seed's undisclosed-source single-malt theory remains plausible but unconfirmed; kept low.
